[APW19980903_1073.htm]
***************** Gold Standard: ***********************
	FN => Association of Art Museum Directors:[1030,35]; score:1.000000
	FP => listed companies:[81,16]; score:1.000000
	FP => cover:[1318,5]; score:1.000000
	FP => companies:[428,9]; score:1.000000
	FP => salary:[1037,6]; score:1.000000
	FP => Thai:[1102,4]; score:1.000000
	FP => legally:[499,7]; score:1.000000
	FP => company:[249,7]; score:1.000000
	FP => mail:[214,4]; score:1.000000
 => Thai people:[766,11]; score:1.000000
	FP => Organisation:[1249,12]; score:1.000000
	FP => punish:[798,6]; score:1.000000
	FP => justice:[648,7]; score:1.000000
	FP => financial:[1355,9]; score:1.000000
	FP => media:[330,5]; score:1.000000
	FP => play:[875,4]; score:1.000000
	FP => attention:[978,9]; score:1.000000
	FP => Thailand:[1265,8]; score:1.000000
	FP => job:[782,3]; score:1.000000
	FP => issues:[1329,6]; score:1.000000
	FP => collecting:[565,10]; score:1.000000
	FP => Telephone:[1239,9]; score:1.000000
 => corporate ethics:[129,16]; score:1.000000
	FP => lifestyle:[354,9]; score:1.000000
 => finance:[418,7]; score:1.000000
	FP => hard:[1025,4]; score:1.000000
	FP => subscribe:[232,9]; score:1.000000
	FP => job:[675,3]; score:1.000000
 => newspapers:[844,10]; score:1.000000
	FP => June 7:[1225,6]; score:1.000000
	FP => public:[971,6]; score:1.000000
	FP => support:[302,7]; score:1.000000
	FP => seminar:[1202,7]; score:1.000000
	FP => report:[339,6]; score:1.000000
	FP => socially:[789,8]; score:1.000000
	FP => reward:[1365,6]; score:1.000000
 => Bank of Thailand:[543,16]; score:1.000000
	FP => company:[55,7]; score:1.000000
	FP => people:[471,6]; score:1.000000
	FP => issue:[888,5]; score:1.000000
	FP => blessing:[1057,8]; score:1.000000
	FP => plan:[29,4]; score:1.000000
	FP => duty:[1310,4]; score:1.000000
	FP => monitor:[66,7]; score:1.000000
P/R/F:0.10344828/0.5/0.17142858; tpCount:6.0; fpCount:52.0; fnCount:6.0
[APW19990203_0315.htm]
***************** Gold Standard: ***********************
	FN => Brentwood:[1322,9]; score:1.000000
 => Italy:[135,5]; score:1.000000
	FN => B.C.:[487,4]; score:1.000000
	FN => excavated:[525,9]; score:1.000000
	FN => The J. Paul Getty Museum:[61,24]; score:1.000000
 => looting:[1228,7]; score:1.000000
	FN => Greek:[778,5]; score:1.000000
 => works of art:[116,12]; score:1.000000
	FN => Mithras:[592,7]; score:1.000000
	FN => Roman:[750,5]; score:1.000000
 => collection:[214,10]; score:1.000000
 => antiquities:[344,11]; score:1.000000
 => archaeological site:[546,19]; score:1.000000
	FN => thefts:[1176,6]; score:1.000000
 => sculpture:[190,9]; score:1.000000
	FN => torso:[572,5]; score:1.000000
	FN => 2nd century:[612,11]; score:1.000000
	FN => LOS ANGELES:[38,11]; score:1.000000

************************ System Result: ***************************
	FP => flown:[261,5]; score:1.000000
 => Italy:[135,5]; score:1.000000
	FP => Italian:[1097,7]; score:1.000000
 => looting:[1228,7]; score:1.000000
	FP => Greek:[778,5]; score:1.000000
	FP => sat:[202,3]; score:1.000000
	FP => return:[1006,6]; score:1.000000
	FP => god:[587,3]; score:1.000000
	FP => Italy:[270,5]; score:1.000000
	FP => this week:[276,9]; score:1.000000
	FP => J. Paul Getty Museum:[65,20]; score:1.000000
 => antiquities:[344,11]; score:1.000000
	FP => athlete:[726,7]; score:1.000000
	FP => (AP):[52,4]; score:1.000000
	FP => area:[1333,4]; score:1.000000
	FP => Getty:[406,5]; score:1.000000
	FP => cup:[473,3]; score:1.000000
	FP => Works:[29,5]; score:1.000000
	FP => priceless:[1188,9]; score:1.000000
	FP => dollar:[1281,6]; score:1.000000
	FP => museum:[898,6]; score:1.000000
	FP => head:[705,4]; score:1.000000
	FP => Museum:[3,6]; score:1.000000
	FP => exhibit:[358,7]; score:1.000000
	FP => Brentwood:[1322,9]; score:1.000000
	FP => museum:[1288,6]; score:1.000000
	FP => ancient:[107,7]; score:1.000000
	FP => archaeological sites:[1241,20]; score:1.000000
	FP => field:[1066,5]; score:1.000000
	FP => Return:[13,6]; score:1.000000
	FP => drinking:[464,8]; score:1.000000
	FP => worth:[941,5]; score:1.000000
	FP => concern:[1136,7]; score:1.000000
	FP => billion:[1273,7]; score:1.000000
	FP => thefts:[1176,6]; score:1.000000
 => sculpture:[190,9]; score:1.000000
	FP => Monday:[415,6]; score:1.000000
	FP => collection:[676,10]; score:1.000000
	FP => security:[876,8]; score:1.000000
	FP => officials:[1105,9]; score:1.000000
 => works of art:[116,12]; score:1.000000
	FP => private:[660,7]; score:1.000000
 => archaeological site:[546,19]; score:1.000000
	FP => works:[982,5]; score:1.000000
	FP => experts:[1051,7]; score:1.000000
	FP => loaned:[315,6]; score:1.000000
	FP => Italian:[668,7]; score:1.000000
	FP => International:[1122,13]; score:1.000000
	FP => Getty:[989,5]; score:1.000000
	FP => scientific:[843,10]; score:1.000000
	FP => victorious:[715,10]; score:1.000000
	FP => museum:[329,6]; score:1.000000
	FP => years:[234,5]; score:1.000000
	FP => Roman:[750,5]; score:1.000000
	FP => art:[1198,3]; score:1.000000
	FP => excavation:[854,10]; score:1.000000
 => collection:[214,10]; score:1.000000
	FP => work:[786,4]; score:1.000000
	FP => terra cotta:[452,11]; score:1.000000
	FP => hill:[1309,4]; score:1.000000
P/R/F:0.11666667/0.3888889/0.17948717; tpCount:7.0; fpCount:53.0; fnCount:11.0
[APW19981001_0866.htm]
***************** Gold Standard: ***********************
 => forints:[568,7]; score:1.000000
 => the Holocaust:[1024,13]; score:1.000000
	FN => Hungarian:[76,9]; score:1.000000
	FN => MTI:[268,3]; score:1.000000
 => social welfare:[824,14]; score:1.000000
	FN => Hungarian Jewish:[122,16]; score:1.000000
 => communist:[214,9]; score:1.000000
	FN => Vatican:[1302,7]; score:1.000000
 => nationalization:[398,15]; score:1.000000

************************ System Result: ***************************
	FP => Federation:[107,10]; score:1.000000
	FP => forints:[713,7]; score:1.000000
	FP => services:[813,8]; score:1.000000
	FP => Thursday:[173,8]; score:1.000000
	FP => executive director:[894,18]; score:1.000000
	FP => year:[690,4]; score:1.000000
	FP => education:[792,9]; score:1.000000
	FP => killed:[1013,6]; score:1.000000
	FP => charity:[862,7]; score:1.000000
	FP => percentage:[643,10]; score:1.000000
	FP => religious:[803,9]; score:1.000000
	FP => financial:[291,9]; score:1.000000
	FP => agreement:[163,9]; score:1.000000
	FP => victim:[387,6]; score:1.000000
	FP => agency:[260,6]; score:1.000000
	FP => era:[226,3]; score:1.000000
	FP => schools:[491,7]; score:1.000000
	FP => basis:[301,5]; score:1.000000
	FP => Jewish community:[601,16]; score:1.000000
	FP => Jewish communities:[28,18]; score:1.000000
	FP => nationalizations:[1115,16]; score:1.000000
	FP => Federation:[920,10]; score:1.000000
	FP => wave:[1107,4]; score:1.000000
	FP => power:[1077,5]; score:1.000000
	FP => communists:[1053,10]; score:1.000000
	FP => property:[476,8]; score:1.000000
	FP => agreement:[1215,9]; score:1.000000
	FP => kind:[1243,4]; score:1.000000
	FP => collectively:[618,12]; score:1.000000
 => nationalization:[398,15]; score:1.000000
	FP => communists:[426,10]; score:1.000000
	FP => Communities:[141,11]; score:1.000000
	FP => MTI:[268,3]; score:1.000000
 => social welfare:[824,14]; score:1.000000
 => communist:[214,9]; score:1.000000
	FP => collective:[185,10]; score:1.000000
	FP => Vatican:[1302,7]; score:1.000000
	FP => fell:[382,4]; score:1.000000
	FP => health service:[842,14]; score:1.000000
	FP => Jewish community:[1166,16]; score:1.000000
	FP => June 20:[1190,7]; score:1.000000
	FP => current:[682,7]; score:1.000000
	FP => annually:[654,8]; score:1.000000
 => forints:[568,7]; score:1.000000
	FP => buildings:[509,9]; score:1.000000
	FP => funding:[315,7]; score:1.000000
	FP => Jewish communities:[359,18]; score:1.000000
	FP => money:[762,5]; score:1.000000
 => Holocaust:[1028,9]; score:1.000000
	FP => real estate:[326,11]; score:1.000000
P/R/F:0.1/0.5555556/0.16949153; tpCount:5.0; fpCount:45.0; fnCount:4.0
[APW19980627_0596.htm]
***************** Gold Standard: ***********************
 => Calcutta University:[788,19]; score:1.000000
	FN => Indian newspapers:[323,17]; score:1.000000
 => brain cancer:[191,12]; score:1.000000
	FN => Prasar Bharati:[529,14]; score:1.000000
	FN => Communist Party of India:[1021,24]; score:1.000000
 => journalism:[959,10]; score:1.000000
 => corporation:[562,11]; score:1.000000
	FN => Oxford University's Merton College:[826,34]; score:1.000000
	FN => India:[98,5]; score:1.000000
 => Indira Gandhi:[1178,13]; score:1.000000
 => Politics:[261,8]; score:1.000000
 => journalist:[120,10]; score:1.000000

************************ System Result: ***************************
	FP => chief:[519,5]; score:1.000000
	FP => television:[622,10]; score:1.000000
	FP => government:[494,10]; score:1.000000
	FP => India's:[1360,7]; score:1.000000
	FP => weekly:[1138,6]; score:1.000000
 => Indira Gandhi:[1178,13]; score:1.000000
 => journalist:[120,10]; score:1.000000
	FP => magazines:[1304,9]; score:1.000000
	FP => censorship:[1275,10]; score:1.000000
	FP => born:[1334,4]; score:1.000000
	FP => control:[601,7]; score:1.000000
	FP => forte:[280,5]; score:1.000000
 => brain cancer:[191,12]; score:1.000000
	FP => taught:[890,6]; score:1.000000
	FP => dead:[57,4]; score:1.000000
	FP => England:[866,7]; score:1.000000
	FP => political:[36,9]; score:1.000000
	FP => Prime Minister:[1162,14]; score:1.000000
	FP => award:[675,5]; score:1.000000
	FP => newspapers:[1289,10]; score:1.000000
	FP => 1930s:[935,5]; score:1.000000
	FP => columnist:[46,9]; score:1.000000
	FP => suffering:[175,9]; score:1.000000
	FP => Oxford University:[826,17]; score:1.000000
	FP => died:[210,4]; score:1.000000
	FP => government:[664,10]; score:1.000000
	FP => Mainstream:[411,10]; score:1.000000
	FP => hospital:[218,8]; score:1.000000
	FP => Indian:[29,6]; score:1.000000
	FP => Calcutta University:[908,19]; score:1.000000
	FP => history:[897,7]; score:1.000000
	FP => autonomous:[550,10]; score:1.000000
	FP => Saturday:[230,8]; score:1.000000
	FP => India:[1219,5]; score:1.000000
	FP => year:[484,4]; score:1.000000
 => Calcutta University:[788,19]; score:1.000000
	FP => correspondent:[975,13]; score:1.000000
	FP => emergency rule:[1201,14]; score:1.000000
	FP => Communist Party of India:[1021,24]; score:1.000000
	FP => edited:[437,6]; score:1.000000
	FP => November 3:[1339,10]; score:1.000000
	FP => top:[660,3]; score:1.000000
	FP => political:[1242,9]; score:1.000000
	FP => journalist:[700,10]; score:1.000000
	FP => magazines:[347,9]; score:1.000000
 => journalism:[959,10]; score:1.000000
	FP => top:[25,3]; score:1.000000
	FP => member:[1091,6]; score:1.000000
 => Politics:[261,8]; score:1.000000
	FP => radio:[612,5]; score:1.000000
	FP => columns:[294,7]; score:1.000000
	FP => newspapers:[330,10]; score:1.000000
	FP => establishment:[751,13]; score:1.000000
	FP => government:[590,10]; score:1.000000
	FP => died:[139,4]; score:1.000000
 => corporation:[562,11]; score:1.000000
	FP => magazine:[400,8]; score:1.000000
	FP => Assam:[1390,5]; score:1.000000
	FP => CPI:[1072,3]; score:1.000000
	FP => leading:[314,7]; score:1.000000
	FP => closed:[1116,6]; score:1.000000
	FP => graduated:[772,9]; score:1.000000
	FP => weekly:[994,6]; score:1.000000
	FP => Mainstream:[1127,10]; score:1.000000
P/R/F:0.109375/0.5833333/0.18421052; tpCount:7.0; fpCount:57.0; fnCount:5.0
[APW19981113_0500.htm]
***************** Gold Standard: ***********************
 => bus:[1011,3]; score:1.000000
	FN => security:[888,8]; score:1.000000
	FN => Yasser Arafat International Airport:[293,35]; score:1.000000
 => Gaza Strip:[348,10]; score:1.000000
	FN => Israeli-Palestinian peace agreement:[406,35]; score:1.000000
	FN => Palestinian:[79,11]; score:1.000000
 => Israelis:[861,8]; score:1.000000
	FN => Israeli:[268,7]; score:1.000000
	FN => Civil Aviation Authority:[782,24]; score:1.000000
 => airport:[94,7]; score:1.000000
	FN => Civil Aviation:[197,14]; score:1.000000

************************ System Result: ***************************
	FP => Palestinian:[79,11]; score:1.000000
	FP => head:[172,4]; score:1.000000
	FP => operation:[21,9]; score:1.000000
	FP => Civil Aviation Authority:[197,24]; score:1.000000
	FP => airport:[597,7]; score:1.000000
	FP => symbol:[116,6]; score:1.000000
	FP => inspection:[1144,10]; score:1.000000
	FP => word:[51,4]; score:1.000000
 => airport:[94,7]; score:1.000000
	FP => duties:[899,6]; score:1.000000
	FP => customs:[1124,7]; score:1.000000
	FP => operation:[1193,9]; score:1.000000
	FP => passport:[1097,8]; score:1.000000
	FP => hear:[1221,4]; score:1.000000
	FP => accord:[526,6]; score:1.000000
	FP => fell:[461,4]; score:1.000000
	FP => southern:[338,8]; score:1.000000
	FP => Israelis:[1235,8]; score:1.000000
	FP => Cabinet:[498,7]; score:1.000000
	FP => personnel:[949,9]; score:1.000000
 => bus:[1011,3]; score:1.000000
	FP => schedule:[473,8]; score:1.000000
	FP => hour:[726,4]; score:1.000000
	FP => passengers:[926,10]; score:1.000000
 => Israelis:[861,8]; score:1.000000
	FP => officials:[702,9]; score:1.000000
	FP => Palestinian:[769,11]; score:1.000000
	FP => Prime Minister:[550,14]; score:1.000000
	FP => Israeli-Palestinian:[406,19]; score:1.000000
	FP => Benjamin Netanyahu:[565,18]; score:1.000000
	FP => powerful:[107,8]; score:1.000000
	FP => set:[650,3]; score:1.000000
	FP => plane:[974,5]; score:1.000000
	FP => airport:[1171,7]; score:1.000000
	FP => ratification:[506,12]; score:1.000000
	FP => security:[888,8]; score:1.000000
	FP => head:[757,4]; score:1.000000
	FP => week:[632,4]; score:1.000000
	FP => Civil Aviation Authority:[782,24]; score:1.000000
	FP => drill:[731,5]; score:1.000000
	FP => Israel:[61,6]; score:1.000000
	FP => independence:[136,12]; score:1.000000
	FP => week:[385,4]; score:1.000000
	FP => start:[611,5]; score:1.000000
	FP => Israeli:[678,7]; score:1.000000
	FP => Israel:[454,6]; score:1.000000
	FP => exercise:[1036,8]; score:1.000000
	FP => airport:[941,7]; score:1.000000
	FP => Palestinian:[690,11]; score:1.000000
	FP => share:[881,5]; score:1.000000
	FP => Palestinian:[823,11]; score:1.000000
	FP => Palestinian:[184,11]; score:1.000000
	FP => passengers:[986,10]; score:1.000000
 => Gaza Strip:[348,10]; score:1.000000
	FP => Palestinians:[32,12]; score:1.000000
	FP => Thursday:[668,8]; score:1.000000
	FP => fledgling:[126,9]; score:1.000000
	FP => Israeli officials:[268,17]; score:1.000000
	FP => drill:[256,5]; score:1.000000
	FP => airport:[835,7]; score:1.000000
	FP => open:[162,4]; score:1.000000
	FP => Friday:[229,6]; score:1.000000
P/R/F:0.06451613/0.36363637/0.10958904; tpCount:4.0; fpCount:58.0; fnCount:7.0
[APW19981119_0585.htm]
***************** Gold Standard: ***********************
	FN => Nicolae Ceausescu:[945,17]; score:1.000000
 => communist:[971,9]; score:1.000000
 => peasants:[75,8]; score:1.000000
 => vampire:[491,7]; score:1.000000
 => hibernate:[753,9]; score:1.000000
 => Romania:[145,7]; score:1.000000
	FN => weaned:[913,6]; score:1.000000
 => kilograms:[598,9]; score:1.000000
 => livestock:[247,9]; score:1.000000
 => Transylvania:[474,12]; score:1.000000
 => dictator:[984,8]; score:1.000000
	FN => reserves:[408,8]; score:1.000000
 => Apuseni Mountains:[1218,17]; score:1.000000
	FN => rangers:[1177,7]; score:1.000000
 => cattle:[26,6]; score:1.000000
	FN => Dracula:[443,7]; score:1.000000
 => omnivorous:[866,10]; score:1.000000
	FN => bear:[61,4]; score:1.000000
 => sheep:[192,5]; score:1.000000

************************ System Result: ***************************
	FP => bears:[901,5]; score:1.000000
	FP => pounds:[615,6]; score:1.000000
	FP => deer:[39,4]; score:1.000000
	FP => areas:[657,5]; score:1.000000
	FP => kills:[19,5]; score:1.000000
	FP => cubs:[1077,4]; score:1.000000
	FP => western:[1240,7]; score:1.000000
	FP => male:[566,4]; score:1.000000
	FP => cold weather:[703,12]; score:1.000000
	FP => closer:[637,6]; score:1.000000
	FP => legend:[510,6]; score:1.000000
	FP => Romania:[1248,7]; score:1.000000
	FP => decade:[1025,6]; score:1.000000
	FP => count:[1187,5]; score:1.000000
	FP => meat:[1091,4]; score:1.000000
	FP => Dracula:[102,7]; score:1.000000
 => peasants:[75,8]; score:1.000000
 => vampire:[491,7]; score:1.000000
	FP => official:[204,8]; score:1.000000
	FP => taste:[170,5]; score:1.000000
	FP => killed:[781,6]; score:1.000000
	FP => generations:[1138,11]; score:1.000000
	FP => bears:[1197,5]; score:1.000000
	FP => giant:[48,5]; score:1.000000
	FP => sheep:[816,5]; score:1.000000
	FP => weaned:[913,6]; score:1.000000
 => Transylvania:[474,12]; score:1.000000
	FP => Romania:[887,7]; score:1.000000
 => dictator:[984,8]; score:1.000000
 => Apuseni Mountains:[1218,17]; score:1.000000
	FP => Thursday:[218,8]; score:1.000000
	FP => hunter:[1049,6]; score:1.000000
 => cattle:[26,6]; score:1.000000
	FP => anxiety:[125,7]; score:1.000000
	FP => bruin:[571,5]; score:1.000000
	FP => partial:[1150,7]; score:1.000000
	FP => Dracula:[769,7]; score:1.000000
 => sheep:[192,5]; score:1.000000
	FP => hunting:[387,7]; score:1.000000
	FP => Peasants:[231,8]; score:1.000000
	FP => western:[136,7]; score:1.000000
 => communist:[971,9]; score:1.000000
	FP => Dracula:[9,7]; score:1.000000
	FP => lodged:[301,6]; score:1.000000
	FP => executed:[1007,8]; score:1.000000
	FP => fishing:[399,7]; score:1.000000
	FP => str:[1291,3]; score:1.000000
 => Romania:[145,7]; score:1.000000
	FP => living:[1203,6]; score:1.000000
 => kilograms:[598,9]; score:1.000000
	FP => cattle:[180,6]; score:1.000000
	FP => complaints:[314,10]; score:1.000000
	FP => bears:[855,5]; score:1.000000
	FP => nicknamed:[91,9]; score:1.000000
	FP => rangers:[1177,7]; score:1.000000
	FP => hunting:[1061,7]; score:1.000000
	FP => regions:[677,7]; score:1.000000
	FP => western:[422,7]; score:1.000000
	FP => head of the state:[369,17]; score:1.000000
	FP => meat:[1161,4]; score:1.000000
	FP => reserve:[1069,7]; score:1.000000
	FP => Romania:[430,7]; score:1.000000
 => hibernate:[753,9]; score:1.000000
 => livestock:[247,9]; score:1.000000
	FP => avid:[1044,4]; score:1.000000
	FP => count:[501,5]; score:1.000000
	FP => appetite:[539,8]; score:1.000000
	FP => forested:[668,8]; score:1.000000
	FP => Dracula:[443,7]; score:1.000000
 => omnivorous:[866,10]; score:1.000000
	FP => meat:[925,4]; score:1.000000
	FP => fed:[1087,3]; score:1.000000
	FP => cows:[801,4]; score:1.000000
	FP => named after:[457,11]; score:1.000000
	FP => bear:[291,4]; score:1.000000
P/R/F:0.17333333/0.68421054/0.27659574; tpCount:13.0; fpCount:62.0; fnCount:6.0
[APW19981113_0729.htm]
***************** Gold Standard: ***********************
 => Israelis:[873,8]; score:1.000000
	FN => Civil Aviation Authority:[794,24]; score:1.000000
	FN => Palestinian:[79,11]; score:1.000000
	FN => Yasser Arafat International Airport:[296,35]; score:1.000000
	FN => Israeli:[271,7]; score:1.000000
 => customs:[1135,7]; score:1.000000
 => passport:[1105,8]; score:1.000000
 => Benjamin Netanyahu:[575,18]; score:1.000000
	FN => Cabinet:[502,7]; score:1.000000
 => Gaza Strip:[351,10]; score:1.000000
 => ratification:[513,12]; score:1.000000
	FN => Israeli-Palestinian peace agreement:[409,35]; score:1.000000
 => airport:[94,7]; score:1.000000
	FN => Civil Aviation:[200,14]; score:1.000000
 => independence:[137,12]; score:1.000000

************************ System Result: ***************************
	FP => Thursday:[680,8]; score:1.000000
	FP => open:[165,4]; score:1.000000
	FP => Friday:[232,6]; score:1.000000
	FP => Palestinian:[79,11]; score:1.000000
	FP => airport:[847,7]; score:1.000000
	FP => head:[175,4]; score:1.000000
	FP => operation:[21,9]; score:1.000000
	FP => symbol:[116,6]; score:1.000000
	FP => word:[51,4]; score:1.000000
	FP => Civil Aviation Authority:[200,24]; score:1.000000
 => airport:[94,7]; score:1.000000
	FP => airport:[609,7]; score:1.000000
	FP => inspection:[1156,10]; score:1.000000
	FP => duties:[908,6]; score:1.000000
 => customs:[1135,7]; score:1.000000
 => passport:[1105,8]; score:1.000000
	FP => fell:[464,4]; score:1.000000
	FP => operation:[1205,9]; score:1.000000
	FP => southern:[341,8]; score:1.000000
	FP => hear:[1233,4]; score:1.000000
	FP => Cabinet:[502,7]; score:1.000000
	FP => accord:[535,6]; score:1.000000
	FP => schedule:[476,8]; score:1.000000
	FP => personnel:[958,9]; score:1.000000
	FP => Israelis:[1247,8]; score:1.000000
	FP => bus:[1019,3]; score:1.000000
	FP => Airport:[3,7]; score:1.000000
	FP => passengers:[935,10]; score:1.000000
	FP => hour:[738,4]; score:1.000000
 => Israelis:[873,8]; score:1.000000
	FP => officials:[714,9]; score:1.000000
	FP => Prime Minister:[559,14]; score:1.000000
	FP => Palestinian:[781,11]; score:1.000000
	FP => powerful:[107,8]; score:1.000000
	FP => Israeli-Palestinian:[409,19]; score:1.000000
 => Benjamin Netanyahu:[575,18]; score:1.000000
	FP => plane:[983,5]; score:1.000000
	FP => set:[662,3]; score:1.000000
 => ratification:[513,12]; score:1.000000
	FP => Israel:[61,6]; score:1.000000
	FP => airport:[1183,7]; score:1.000000
	FP => security:[899,8]; score:1.000000
	FP => head:[769,4]; score:1.000000
 => independence:[137,12]; score:1.000000
	FP => week:[388,4]; score:1.000000
	FP => week:[644,4]; score:1.000000
	FP => Civil Aviation Authority:[794,24]; score:1.000000
	FP => drill:[743,5]; score:1.000000
	FP => Israel:[457,6]; score:1.000000
	FP => start:[623,5]; score:1.000000
	FP => exercise:[1043,8]; score:1.000000
	FP => Israeli:[690,7]; score:1.000000
	FP => airport:[950,7]; score:1.000000
	FP => Palestinian:[187,11]; score:1.000000
	FP => Palestinian:[702,11]; score:1.000000
	FP => Palestinians:[32,12]; score:1.000000
	FP => fledgling:[126,9]; score:1.000000
 => Gaza Strip:[351,10]; score:1.000000
	FP => share:[893,5]; score:1.000000
	FP => Palestinian:[835,11]; score:1.000000
	FP => passengers:[995,10]; score:1.000000
	FP => drill:[259,5]; score:1.000000
	FP => Israeli officials:[271,17]; score:1.000000
P/R/F:0.12698413/0.53333336/0.20512822; tpCount:8.0; fpCount:55.0; fnCount:7.0
[APW19981109_1172.htm]
***************** Gold Standard: ***********************
 => West Indies:[107,11]; score:1.000000
 => Joel Garner:[908,11]; score:1.000000
	FN => Ali Bacher:[716,10]; score:1.000000
	FN => negotiated:[652,10]; score:1.000000
 => Clive Lloyd:[877,11]; score:1.000000
	FN => Caribbean News Agency:[152,21]; score:1.000000
	FN => David Richardson:[1112,16]; score:1.000000
 => Johannesburg:[1172,12]; score:1.000000
