[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => ISM:[1667,3]; score:1.000000
	FP => momentum:[3253,8]; score:0.323579
 => Institute for Supply Management:[750,31]; score:0.604085
 => Nasdaq:[1269,6]; score:0.764173
	FP => shares:[4605,6]; score:0.228342
 => Sirius Satellite Radio:[3854,22]; score:0.910800
	FP => Dow Jones:[417,9]; score:0.814604
 => Dow:[1115,3]; score:0.138238
	FP => economy:[223,7]; score:0.399595
	FP => Stocks:[0,6]; score:0.570055
	FP => rally:[35,5]; score:0.098959
	FP => investors:[176,9]; score:0.563706
	FP => s:[3498,1]; score:0.147978
	FP => s:[2731,1]; score:0.147978
	FP => composite index:[1276,15]; score:0.662055
	FP => store sales:[3448,11]; score:0.438122
 => CAC:[4976,3]; score:0.096199
	FP => cents:[3890,5]; score:0.047978
	FP => billion:[4597,7]; score:0.323342
	FP => employment:[1688,10]; score:0.360386
	FP => Light:[2100,5]; score:0.228654
 => New York Mercantile Exchange:[2158,28]; score:0.825001
 => Automatic Data Processing:[1741,25]; score:0.758644
	FP => Bond:[1625,4]; score:0.762039
	FP => chief executive:[4361,15]; score:0.636152
	FP => news:[3678,4]; score:0.191788
	FP => stocks:[2848,6]; score:0.570055
	FP => index:[1350,5]; score:0.453865
	FP => index:[4936,5]; score:0.453865
	FP => Market:[42,6]; score:0.431928
	FP => Britain:[4879,7]; score:0.246408
 => Wall Street:[662,11]; score:0.768580
	FP => home improvement:[3324,16]; score:0.750066
	FP => chief executive:[544,15]; score:0.636152
	FP => construction:[895,12]; score:0.228255
	FP => housing market:[4419,14]; score:0.202064
 => Russell 2000:[4737,12]; score:0.600827
	FP => major currencies:[2055,16]; score:0.243493
	FP => radio:[3932,5]; score:0.530661
	FP => manufacturing sector:[2700,20]; score:0.607099
	FP => strategist:[964,10]; score:0.182720
	FP => industrials:[427,11]; score:0.496877
	FP => rose:[3460,4]; score:0.188772
	FP => Standard & Poor:[1328,15]; score:0.752212
	FP => funeral:[2345,7]; score:0.423261
	FP => investors:[2540,9]; score:0.563706
	FP => news:[1671,4]; score:0.191788
 => Commerce Department:[2999,19]; score:0.662355
	FP => s:[4837,1]; score:0.147978
	FP => anemic:[4683,6]; score:0.263506
	FP => indexes:[49,7]; score:0.453865
	FP => chairman:[531,8]; score:0.509023
	FP => market:[3154,6]; score:0.431928
	FP => volume:[4690,6]; score:0.311001
	FP => strike:[4179,6]; score:0.530661
 => Lennar:[4435,6]; score:0.389471
	FP => rose:[1425,4]; score:0.188772
	FP => stock:[628,5]; score:0.678838
	FP => Home builders:[4221,13]; score:0.182731
	FP => s:[3314,1]; score:0.147978
 => FTSE 100:[4889,8]; score:0.723531
 => Wal-Mart:[3610,8]; score:0.895563
 => Germany:[4922,7]; score:0.661476
	FP => barrel:[2144,6]; score:0.096199
	FP => news:[3743,4]; score:0.191788
 => President Gerald R. Ford:[2356,24]; score:0.647523
	FP => benchmark:[1541,9]; score:0.258036
	FP => trillion:[3108,8]; score:0.161902
	FP => investor:[3365,8]; score:0.563706
precision:0.23717949; recall:0.7708333; f1:0.3627451; tpCount:37.0; fpCount:119.0; fnCount:11.0
