[Bus3683270.txt]
***************** Gold Standard: ***********************
 => Wal-Mart Stores Inc.:[3411,3431]; score:1.000000
	FP => investors:[1899,1908]; score:1.000000
	FP => Goldman:[942,949]; score:1.000000
	FP => Stocks:[465,471]; score:1.000000
 => New York Stock Exchange:[4546,4569]; score:1.000000
	FP => start:[499,504]; score:1.000000
	FP => year:[1554,1558]; score:1.000000
	FP => mixed:[2035,2040]; score:1.000000
	FP => rate:[3094,3098]; score:1.000000
	FP => expected:[923,931]; score:1.000000
	FP => yield:[1528,1533]; score:1.000000
	FP => year:[25,29]; score:1.000000
	FP => oil prices:[352,362]; score:1.000000
	FP => sentiment:[383,392]; score:1.000000
	FP => trading:[448,455]; score:1.000000
	FP => straight:[2979,2987]; score:1.000000
	FP => volume:[4577,4583]; score:1.000000
	FP => construction:[2856,2868]; score:1.000000
	FP => fell:[1573,1577]; score:1.000000
	FP => day:[4676,4679]; score:1.000000
	FP => start:[7,12]; score:1.000000
	FP => dollar:[2024,2030]; score:1.000000
	FP => major:[2055,2060]; score:1.000000
 => Wall Street:[2382,2393]; score:1.000000
	FP => forecast:[3500,3508]; score:1.000000
	FP => private sector:[1781,1795]; score:1.000000
	FP => fell:[2091,2095]; score:1.000000
	FP => week:[4139,4143]; score:1.000000
	FP => subscriber:[3955,3965]; score:1.000000
	FP => aftermath:[2451,2460]; score:1.000000
	FP => construction:[824,836]; score:1.000000
	FP => shares:[4605,4611]; score:1.000000
 => Dow:[1115,1118]; score:1.000000
	FP => Stocks:[0,6]; score:1.000000
	FP => percent:[3554,3561]; score:1.000000
	FP => rally:[35,40]; score:1.000000
	FP => fell:[2119,2123]; score:1.000000
	FP => advance:[1515,1522]; score:1.000000
	FP => percent:[4076,4083]; score:1.000000
	FP => annual:[3087,3093]; score:1.000000
	FP => today:[1072,1077]; score:1.000000
	FP => terrorist:[2484,2493]; score:1.000000
	FP => billion:[4597,4604]; score:1.000000
	FP => Light:[2100,2105]; score:1.000000
	FP => point:[4660,4665]; score:1.000000
	FP => building:[3033,3041]; score:1.000000
	FP => surge:[57,62]; score:1.000000
	FP => Bond:[1625,1629]; score:1.000000
	FP => early:[1086,1091]; score:1.000000
	FP => activity:[3042,3050]; score:1.000000
	FP => news:[3678,3682]; score:1.000000
	FP => chief executive:[4361,4376]; score:1.000000
	FP => years:[579,584]; score:1.000000
	FP => hurt:[4195,4199]; score:1.000000
 => ISM:[1667,1670]; score:1.000000
	FP => Market:[42,48]; score:1.000000
	FP => month:[4173,4178]; score:1.000000
	FP => trading:[17,24]; score:1.000000
	FP => outnumbered:[4501,4512]; score:1.000000
	FP => home improvement:[3324,3340]; score:1.000000
 => Gerald R. Ford:[2366,2380]; score:1.000000
	FP => support:[1049,1056]; score:1.000000
	FP => construction:[895,907]; score:1.000000
	FP => Friday:[4666,4672]; score:1.000000
	FP => Home Depot Inc.:[295,310]; score:1.000000
	FP => manufacturing sector:[2700,2720]; score:1.000000
	FP => news:[1671,1675]; score:1.000000
	FP => investors:[2540,2549]; score:1.000000
	FP => anemic:[4683,4689]; score:1.000000
	FP => mild:[2190,2194]; score:1.000000
	FP => chairman:[531,539]; score:1.000000
	FP => percent:[1586,1593]; score:1.000000
	FP => Friday:[1617,1623]; score:1.000000
	FP => market:[3154,3160]; score:1.000000
	FP => volume:[4690,4696]; score:1.000000
	FP => strike:[4179,4185]; score:1.000000
	FP => stock:[628,633]; score:1.000000
	FP => weak:[1683,1687]; score:1.000000
 => Wal-Mart:[3610,3618]; score:1.000000
	FP => reading:[2618,2625]; score:1.000000
	FP => percent:[3642,3649]; score:1.000000
	FP => barrel:[2144,2150]; score:1.000000
	FP => news:[3743,3747]; score:1.000000
	FP => benchmark:[1541,1550]; score:1.000000
	FP => percent:[1604,1611]; score:1.000000
	FP => stronger:[2600,2608]; score:1.000000
 => Home Depot:[3563,3573]; score:1.000000
	FP => gains:[650,655]; score:1.000000
	FP => hold:[2217,2221]; score:1.000000
	FP => good:[3241,3245]; score:1.000000
	FP => trading:[1102,1109]; score:1.000000
	FP => months:[3181,3187]; score:1.000000
	FP => work:[3757,3761]; score:1.000000
	FP => resigned:[564,572]; score:1.000000
	FP => Stocks:[116,122]; score:1.000000
 => U.S.:[4279,4283]; score:1.000000
	FP => reading:[2658,2665]; score:1.000000
 => Home Depot:[518,528]; score:1.000000
	FP => News:[3267,3271]; score:1.000000
	FP => higher:[137,143]; score:1.000000
	FP => company:[618,625]; score:1.000000
	FP => interest rate:[1968,1981]; score:1.000000
	FP => currencies:[2061,2071]; score:1.000000
 => ADP:[1772,1775]; score:1.000000
	FP => weaker:[4240,4246]; score:1.000000
	FP => holiday:[4721,4728]; score:1.000000
	FP => signals:[2675,2682]; score:1.000000
	FP => percent:[1141,1148]; score:1.000000
	FP => expected:[2646,2654]; score:1.000000
	FP => balance:[1655,1662]; score:1.000000
 => Goldman:[3194,3201]; score:1.000000
	FP => market:[3225,3231]; score:1.000000
 => Nikkei stock average:[4839,4859]; score:1.000000
	FP => Sept. 11, 2001:[2468,2482]; score:1.000000
	FP => afternoon:[1092,1101]; score:1.000000
	FP => post:[4319,4323]; score:1.000000
	FP => report:[1699,1705]; score:1.000000
 => NEW YORK:[105,113]; score:1.000000
	FP => rose:[1254,1258]; score:1.000000
	FP => loss:[4326,4330]; score:1.000000
	FP => percent:[3722,3729]; score:1.000000
	FP => solid:[201,206]; score:1.000000
	FP => figure:[2733,2739]; score:1.000000
	FP => drugs:[3789,3794]; score:1.000000
	FP => jumping:[1169,1176]; score:1.000000
	FP => stock:[1232,1237]; score:1.000000
	FP => corporate:[3668,3677]; score:1.000000
	FP => weather:[2195,2202]; score:1.000000
	FP => rose:[3826,3830]; score:1.000000
	FP => big:[276,279]; score:1.000000
	FP => investors:[1630,1639]; score:1.000000
	FP => rose:[4860,4864]; score:1.000000
 => Japan:[4831,4836]; score:1.000000
 => Home Depot:[69,79]; score:1.000000
	FP => report:[708,714]; score:1.000000
	FP => trading:[1194,1201]; score:1.000000
 => Amgen:[3820,3825]; score:1.000000
	FP => fell:[1807,1811]; score:1.000000
	FP => demand:[2262,2268]; score:1.000000
	FP => report:[2774,2780]; score:1.000000
	FP => combat:[3798,3804]; score:1.000000
	FP => expansion:[2683,2692]; score:1.000000
	FP => cents:[3834,3839]; score:1.000000
	FP => builder:[4284,4291]; score:1.000000
	FP => payroll:[1725,1732]; score:1.000000
	FP => percent:[4798,4805]; score:1.000000
	FP => November:[2722,2730]; score:1.000000
	FP => years:[2815,2820]; score:1.000000
	FP => mark:[2336,2340]; score:1.000000
	FP => New Year’s:[4710,4720]; score:1.000000
	FP => company:[1733,1740]; score:1.000000
	FP => production:[4200,4210]; score:1.000000
	FP => stronger:[685,693]; score:1.000000
	FP => rose:[3882,3886]; score:1.000000
 => Wal-Mart Stores Inc.:[315,335]; score:1.000000
	FP => cutting:[2254,2261]; score:1.000000
	FP => chain:[3341,3346]; score:1.000000
	FP => division:[1713,1721]; score:1.000000
	FP => reason:[241,247]; score:1.000000
	FP => performance:[599,610]; score:1.000000
	FP => momentum:[3253,3261]; score:1.000000
	FP => boost:[2839,2844]; score:1.000000
	FP => expected:[699,707]; score:1.000000
 => ISM:[855,858]; score:1.000000
	FP => companies:[4767,4776]; score:1.000000
	FP => economy:[223,230]; score:1.000000
	FP => Sirius Satellite Radio:[3854,3876]; score:1.000000
	FP => sharp:[1311,1316]; score:1.000000
 => Standard & Poor’s 500:[1328,1349]; score:1.000000
 => Wal-Mart Stores Inc.:[3411,3431]; score:1.000000
	FP => gains:[1317,1322]; score:1.000000
	FP => signs:[4392,4397]; score:1.000000
	FP => December:[718,726]; score:1.000000
	FP => investors:[176,185]; score:1.000000
	FP => closed:[2318,2324]; score:1.000000
	FP => cents:[3890,3895]; score:1.000000
	FP => CAC:[4976,4979]; score:1.000000
	FP => employment:[1688,1698]; score:1.000000
 => New York Mercantile Exchange:[2158,2186]; score:1.000000
	FP => resigned:[3290,3298]; score:1.000000
	FP => quarter:[4345,4352]; score:1.000000
	FP => fell:[4442,4446]; score:1.000000
	FP => stocks:[2848,2854]; score:1.000000
	FP => closed:[4898,4904]; score:1.000000
	FP => gains:[1860,1865]; score:1.000000
	FP => markets:[2310,2317]; score:1.000000
	FP => percent:[4870,4877]; score:1.000000
 => Britain:[4879,4886]; score:1.000000
 => Wall Street:[662,673]; score:1.000000
	FP => Amgen Inc.:[3767,3777]; score:1.000000
	FP => chief executive:[544,559]; score:1.000000
	FP => months:[1850,1856]; score:1.000000
	FP => radio:[3932,3937]; score:1.000000
	FP => base:[3966,3970]; score:1.000000
	FP => tech:[1407,1411]; score:1.000000
	FP => first time:[2759,2769]; score:1.000000
	FP => days:[2434,2438]; score:1.000000
	FP => month:[1892,1897]; score:1.000000
	FP => rose:[3460,3464]; score:1.000000
	FP => report:[3399,3405]; score:1.000000
	FP => funeral:[2345,2352]; score:1.000000
 => Commerce Department:[2999,3018]; score:1.000000
	FP => fell:[2954,2958]; score:1.000000
	FP => fell:[908,912]; score:1.000000
	FP => percent:[4913,4920]; score:1.000000
	FP => rose:[1425,1429]; score:1.000000
 => FTSE 100:[4889,4897]; score:1.000000
 => Germany:[4922,4929]; score:1.000000
	FP => positive:[3356,3364]; score:1.000000
	FP => number:[859,865]; score:1.000000
	FP => December:[1825,1833]; score:1.000000
	FP => sales:[3454,3459]; score:1.000000
	FP => percent:[3904,3911]; score:1.000000
	FP => cut:[1982,1985]; score:1.000000
	FP => expected:[804,812]; score:1.000000
	FP => laden:[1412,1417]; score:1.000000
	FP => chief executive:[80,95]; score:1.000000
 => France:[4967,4973]; score:1.000000
	FP => recovery:[4403,4411]; score:1.000000
	FP => times:[401,406]; score:1.000000
	FP => spending:[2869,2877]; score:1.000000
	FP => year:[4017,4021]; score:1.000000
	FP => hiatus:[2420,2426]; score:1.000000
	FP => strong:[376,382]; score:1.000000
	FP => drove:[407,412]; score:1.000000
	FP => percent:[4954,4961]; score:1.000000
	FP => retailers:[285,294]; score:1.000000
	FP => heating oil:[2273,2284]; score:1.000000
	FP => contraction:[2788,2799]; score:1.000000
	FP => percent:[1377,1384]; score:1.000000
	FP => employment:[1796,1806]; score:1.000000
	FP => percent:[2914,2921]; score:1.000000
	FP => service:[3938,3945]; score:1.000000
	FP => spending:[837,845]; score:1.000000
precision:0.113970585; recall:0.6458333; f1:0.19375; tpCount:31.0; fpCount:241.0; fnCount:17.0
