[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => Bob Nardelli:[3277,3289]; score:1.000000; title:Robert Nardelli; score:1.000000
 => New Year’s:[4710,4720]; score:1.000000; title:New_Year; score:0.038412
	FP => stock:[628,633]; score:1.000000; title:Stock_market; score:0.133864
	FP => rose:[1476,1480]; score:1.000000; title:Rose; score:0.057089
	FP => fell:[2119,2123]; score:1.000000; title:Fell; score:0.007238
	FP => news:[3678,3682]; score:1.000000; title:News_Corporation; score:0.047285
	FP => division:[1713,1721]; score:1.000000; title:Division_(business); score:0.027312
	FP => News:[3267,3271]; score:1.000000; title:News_Corporation; score:0.047285
	FP => mild:[2190,2194]; score:1.000000; title:Mild_ale; score:0.006109
	FP => November:[2925,2933]; score:1.000000; title:November_12; score:0.023779
	FP => spending:[2869,2877]; score:1.000000; title:Consumption_(economics); score:0.035096
	FP => early:[1993,1998]; score:1.000000; title:Early_modern_Europe; score:0.022917
	FP => days:[2434,2438]; score:1.000000; title:Iran_hostage_crisis; score:0.030807
	FP => reading:[2618,2625]; score:1.000000; title:Reading,_Pennsylvania; score:0.035441
 => Dow:[1115,1118]; score:1.000000; title:Dow_Jones_Industrial_Average; score:0.124119
	FP => Sept. 11, 2001:[2468,2482]; score:1.000000; title:September_11_attacks; score:0.065760
	FP => Friday:[1617,1623]; score:1.000000; title:Friday_the_13th; score:0.023568
	FP => percent:[3904,3911]; score:1.000000; title:Percentage; score:0.043843
	FP => corporate:[3668,3677]; score:1.000000; title:Corporation; score:0.067820
	FP => spending:[837,845]; score:1.000000; title:Consumption_(economics); score:0.035096
	FP => Friday:[4666,4672]; score:1.000000; title:Friday_the_13th; score:0.023568
	FP => December:[718,726]; score:1.000000; title:December; score:0.035381
	FP => NEW YORK:[105,113]; score:1.000000; title:New_York; score:0.048216
	FP => contraction:[2788,2799]; score:1.000000; title:Recession; score:0.074041
	FP => payroll:[1725,1732]; score:1.000000; title:Payroll; score:0.031584
	FP => percent:[4913,4920]; score:1.000000; title:Percentage; score:0.043843
	FP => figure:[2733,2739]; score:1.000000; title:Figure_skating; score:0.019607
	FP => straight:[2979,2987]; score:1.000000; title:The_Georgia_Straight; score:0.019510
	FP => Goldman:[942,949]; score:1.000000; title:Goldman_Sachs; score:0.082206
	FP => rose:[3574,3578]; score:1.000000; title:Rose; score:0.057089
	FP => months:[3181,3187]; score:1.000000; title:Month; score:0.050086
	FP => recovery:[4403,4411]; score:1.000000; title:Recovery_(Eminem_album); score:0.005247
	FP => percent:[4461,4468]; score:1.000000; title:Percentage; score:0.043843
	FP => volume:[4577,4583]; score:1.000000; title:Volume; score:0.020994
	FP => sales:[3454,3459]; score:1.000000; title:Sales; score:0.060698
	FP => report:[1928,1934]; score:1.000000; title:Report; score:0.059884
	FP => weather:[2195,2202]; score:1.000000; title:Weather; score:0.028505
	FP => news:[3743,3747]; score:1.000000; title:News_Corporation; score:0.047285
	FP => week:[4139,4143]; score:1.000000; title:Week; score:0.021649
	FP => Stocks:[116,122]; score:1.000000; title:Stocks; score:0.081249
	FP => President:[2356,2365]; score:1.000000; title:President; score:0.051543
	FP => hold:[2217,2221]; score:1.000000; title:Hold_(ship); score:0.009131
	FP => percent:[1377,1384]; score:1.000000; title:Percentage; score:0.043843
	FP => percent:[2914,2921]; score:1.000000; title:Percentage; score:0.043843
	FP => home improvement:[3324,3340]; score:1.000000; title:Home_improvement; score:0.033477
	FP => percent:[4954,4961]; score:1.000000; title:Percentage; score:0.043843
	FP => chairman:[531,539]; score:1.000000; title:Chairman; score:0.062118
	FP => percent:[3469,3476]; score:1.000000; title:Percentage; score:0.043843
	FP => percent:[3981,3988]; score:1.000000; title:Percentage; score:0.043843
	FP => manufacturing:[727,740]; score:1.000000; title:Manufacturing; score:0.056129
	FP => years:[2815,2820]; score:1.000000; title:Year; score:0.045552
	FP => percent:[4997,5004]; score:1.000000; title:Percentage; score:0.043843
	FP => chief executive:[4361,4376]; score:1.000000; title:Chief_executive_officer; score:0.062844
	FP => investors:[2540,2549]; score:1.000000; title:Investor; score:0.063579
	FP => funeral:[2345,2352]; score:1.000000; title:Funeral; score:0.030987
	FP => stronger:[685,693]; score:1.000000; title:Jamelia; score:0.009764
 => FTSE 100:[4889,4897]; score:1.000000; title:FTSE_100_Index; score:0.071211
	FP => billion:[4597,4604]; score:1.000000; title:Long_and_short_scales; score:0.006821
	FP => loss:[4326,4330]; score:1.000000; title:Win–loss_record_(pitching); score:0.015726
	FP => point:[4660,4665]; score:1.000000; title:CNN; score:0.073875
	FP => stock:[1232,1237]; score:1.000000; title:Stock_market; score:0.133864
 => U.S.:[4279,4283]; score:1.000000; title:United_States; score:0.049544
	FP => jumping:[1169,1176]; score:1.000000; title:Jumping; score:0.007184
	FP => reading:[2658,2665]; score:1.000000; title:Reading,_Pennsylvania; score:0.035441
	FP => boost:[2839,2844]; score:1.000000; title:Boost_Mobile; score:0.025536
 => Commerce Department:[2999,3018]; score:1.000000; title:United_States_Department_of_Commerce; score:0.041583
	FP => Bonds:[1470,1475]; score:1.000000; title:Barry_Bonds; score:0.032751
	FP => times:[401,406]; score:1.000000; title:The_Times; score:0.056636
	FP => percent:[1445,1452]; score:1.000000; title:Percentage; score:0.043843
	FP => ISM:[2573,2576]; score:1.000000; title:International_Solidarity_Movement; score:0.012050
	FP => December:[1825,1833]; score:1.000000; title:December; score:0.035381
 => Amgen:[3820,3825]; score:1.000000; title:Amgen; score:0.034632
	FP => reason:[241,247]; score:1.000000; title:Reason_(magazine); score:0.020771
 => ADP:[1772,1775]; score:1.000000; title:Automatic_Data_Processing; score:0.023154
	FP => expected:[2646,2654]; score:1.000000; title:Expected_value; score:0.039382
	FP => natural gas:[2289,2300]; score:1.000000; title:Natural_gas; score:0.056246
	FP => major:[2055,2060]; score:1.000000; title:Major_League_Baseball; score:0.049050
	FP => construction:[824,836]; score:1.000000; title:Construction; score:0.050323
	FP => heating oil:[2273,2284]; score:1.000000; title:Heating_oil; score:0.035241
	FP => benchmark:[1541,1550]; score:1.000000; title:Benchmarking; score:0.045606
	FP => company:[618,625]; score:1.000000; title:Company; score:0.046572
	FP => resigned:[564,572]; score:1.000000; title:Resignation; score:0.024990
	FP => sentiment:[383,392]; score:1.000000; title:Sentimental_novel; score:0.005964
	FP => fell:[4442,4446]; score:1.000000; title:Fell; score:0.007238
	FP => gains:[1860,1865]; score:1.000000; title:Gain; score:0.011101
	FP => construction:[2856,2868]; score:1.000000; title:Construction; score:0.050323
	FP => trading:[1194,1201]; score:1.000000; title:Trader_(finance); score:0.082762
	FP => number:[859,865]; score:1.000000; title:Toll-free_telephone_number; score:0.016320
	FP => volume:[4690,4696]; score:1.000000; title:Volume; score:0.020994
	FP => market:[957,963]; score:1.000000; title:Market_capitalization; score:0.105425
	FP => advance:[1515,1522]; score:1.000000; title:Advance_Publications; score:0.035169
	FP => forecast:[3500,3508]; score:1.000000; title:Forecasting; score:0.025453
	FP => markets:[2310,2317]; score:1.000000; title:Market; score:0.075511
 => Wall Street:[2382,2393]; score:1.000000; title:Wall_Street; score:0.086692
	FP => early:[1086,1091]; score:1.000000; title:Early_modern_Europe; score:0.022917
	FP => private sector:[1781,1795]; score:1.000000; title:Private_sector; score:0.044974
	FP => higher:[137,143]; score:1.000000; title:Tiffany_(singer); score:0.019239
	FP => percent:[4076,4083]; score:1.000000; title:Percentage; score:0.043843
	FP => Stocks:[0,6]; score:1.000000; title:Stocks; score:0.081249
	FP => retailers:[285,294]; score:1.000000; title:Retail; score:0.045834
	FP => radio:[3932,3937]; score:1.000000; title:Radio; score:0.050800
	FP => gains:[1317,1322]; score:1.000000; title:Gain; score:0.011101
	FP => builder:[4284,4291]; score:1.000000; title:Laundry_detergent; score:0.006662
	FP => percent:[3554,3561]; score:1.000000; title:Percentage; score:0.043843
	FP => support:[1049,1056]; score:1.000000; title:Support_group; score:0.018798
	FP => fell:[908,912]; score:1.000000; title:Fell; score:0.007238
	FP => December:[3434,3442]; score:1.000000; title:December; score:0.035381
	FP => big:[1511,1514]; score:1.000000; title:London_Biggin_Hill_Airport; score:0.005795
	FP => cutting:[2254,2261]; score:1.000000; title:Cutting_(plant); score:0.018651
	FP => employment:[1796,1806]; score:1.000000; title:Employment; score:0.042237
	FP => fell:[2954,2958]; score:1.000000; title:Fell; score:0.007238
	FP => post:[4319,4323]; score:1.000000; title:The_Washington_Post; score:0.055242
 => Nikkei stock average:[4839,4859]; score:1.000000; title:Nikkei_225; score:0.109239
	FP => tech:[1407,1411]; score:1.000000; title:Technology; score:0.051543
	FP => rate:[3094,3098]; score:1.000000; title:Rates_(tax); score:0.017066
	FP => barrel:[2144,2150]; score:1.000000; title:Barrel; score:0.035189
 => Wal-Mart:[3610,3618]; score:1.000000; title:Walmart; score:0.051487
	FP => first time:[2759,2769]; score:1.000000; title:Zooropa; score:0.005168
	FP => day:[4676,4679]; score:1.000000; title:Days_of_our_Lives; score:0.020051
	FP => investors:[1899,1908]; score:1.000000; title:Investor; score:0.063579
	FP => building:[3033,3041]; score:1.000000; title:Building; score:0.025511
	FP => Market:[42,48]; score:1.000000; title:Market_capitalization; score:0.105425
	FP => company:[1733,1740]; score:1.000000; title:Company; score:0.046572
	FP => expected:[699,707]; score:1.000000; title:Expected_value; score:0.039382
	FP => report:[3399,3405]; score:1.000000; title:Report; score:0.059884
	FP => stronger:[2600,2608]; score:1.000000; title:Jamelia; score:0.009764
	FP => terrorist:[2484,2493]; score:1.000000; title:Terrorism; score:0.052100
	FP => shares:[4605,4611]; score:1.000000; title:Share_(finance); score:0.072072
	FP => production:[4200,4210]; score:1.000000; title:Record_producer; score:0.023328
	FP => demand:[2262,2268]; score:1.000000; title:Demand_(economics); score:0.035543
	FP => growth:[3514,3520]; score:1.000000; title:Growth_hormone; score:0.020839
	FP => ISM:[1667,1670]; score:1.000000; title:International_Solidarity_Movement; score:0.012050
	FP => year:[4017,4021]; score:1.000000; title:Year; score:0.045552
	FP => months:[1850,1856]; score:1.000000; title:Month; score:0.050086
precision:0.113970585; recall:0.6888889; f1:0.1955836; tpCount:31.0; fpCount:241.0; fnCount:14.0
