[Bus3683270.txt]
***************** Gold Standard: ***********************
 => Bob Nardelli:[3277,3289]; score:1.000000; title:Robert Nardelli; score:1.000000
 => Nasdaq:[1418,1424]; score:1.000000; title:NASDAQ; score:1.000000
 => Home Depot Inc:[295,309]; score:1.000000; title:Home Depot; score:1.000000
	FN => ISM:[1667,1670]; score:1.000000; title:Institute for Supply Management; score:1.000000

************************ System Result: ***************************
	FP => Treasury note:[1559,1572]; score:0.972748; title:Treasury_security; score:1.000000
	FP => ISM:[855,858]; score:0.000000; title:ISM_band; score:0.225853
	FP => —:[2427,2428]; score:1.000000; title:—; score:0.500000
	FP => Tire:[4035,4039]; score:1.048249; title:Tire; score:0.724271
 => United States:[2239,2252]; score:0.643810; title:United_States; score:0.182349
	FP => —:[2439,2440]; score:1.000000; title:—; score:0.500000
	FP => manufacturing:[2700,2713]; score:1.150580; title:Manufacturing; score:0.313372
	FP => Satellite Radio Inc.:[3861,3881]; score:1.079313; title:Satellite_radio; score:1.000000
	FP => decliners:[4513,4522]; score:1.000000; title:Decline; score:0.500000
	FP => payroll:[1725,1732]; score:0.794390; title:Payroll; score:0.575782
	FP => New York:[2158,2166]; score:0.431909; title:New_York; score:0.133943
	FP => Stocks:[116,122]; score:0.617355; title:Stocks; score:0.594754
	FP => ISM:[1667,1670]; score:0.000000; title:ISM_band; score:0.225720
	FP => surpass:[4126,4133]; score:1.000000; title:Surpass; score:0.500000
 => Amgen:[3767,3772]; score:1.019747; title:Amgen; score:1.000000
	FP => Supply Management:[764,781]; score:0.919635; title:Supply_management; score:1.000000
	FP => anemic:[4683,4689]; score:1.103139; title:Anemia; score:1.000000
	FP => Data Processing:[1751,1766]; score:0.059380; title:Data_processing; score:0.543177
	FP => cents:[3834,3839]; score:0.000000; title:Cent_(currency); score:0.153870
	FP => seasonally adjusted:[3067,3086]; score:1.005469; title:Seasonal_adjustment; score:1.000000
 => Wal-Mart Stores Inc:[315,334]; score:1.053735; title:Wal-Mart; score:1.000000
	FP => lackluster:[588,598]; score:1.000000; title:Lackluster; score:0.500000
	FP => composite index:[1276,1291]; score:1.000000; title:Composite_index; score:0.500000
 => Nasdaq:[1418,1424]; score:1.065595; title:NASDAQ; score:1.000000
 => Goodyear Tire:[4026,4039]; score:1.043792; title:Goodyear_Tire_and_Rubber_Company; score:1.000000
	FP => The Russell:[4733,4744]; score:1.000000; title:The_Russell; score:0.500000
 => Bob Nardelli:[3277,3289]; score:1.020307; title:Robert_Nardelli; score:1.000000
	FP => manufacturing:[727,740]; score:1.139462; title:Manufacturing; score:0.277169
	FP => oil:[2281,2284]; score:0.119397; title:Petroleum; score:0.141487
	FP => strategist:[964,974]; score:0.879549; title:Strategist; score:0.551694
 => A.G. Edwards.:[978,991]; score:0.895339; title:A._G._Edwards; score:1.000000
	FP => chief executive:[4361,4376]; score:1.518270; title:Chief_executive_officer; score:0.317573
 => Goodyear Tire & Rubber Co.:[4026,4052]; score:1.000000; title:Goodyear_Tire_and_Rubber_Company; score:0.500000
 => Lennar:[4253,4259]; score:1.031714; title:Lennar_Corporation; score:1.000000
	FP => oil prices:[352,362]; score:0.889910; title:Price_of_petroleum; score:0.701998
	FP => funeral:[2345,2352]; score:0.105139; title:Funeral; score:0.138084
	FP => seasonally adjusted annual rate:[3067,3098]; score:1.000000; title:Seasonally_adjusted_annual_rate; score:0.500000
	FP => subscriber:[3955,3965]; score:1.032459; title:Subscription_business_model; score:1.000000
	FP => barrel:[2144,2150]; score:0.480622; title:Barrel_(volume); score:0.211360
 => U.S.:[4279,4283]; score:0.454751; title:United_States; score:0.152822
	FP => gas:[2297,2300]; score:0.078549; title:Gas; score:0.155762
 => Commerce Department:[2999,3018]; score:0.936243; title:United_States_Department_of_Commerce; score:1.000000
 => Home Depot:[69,79]; score:1.203254; title:The_Home_Depot; score:1.000000
	FP => Bonds:[1470,1475]; score:0.320336; title:Bond_(finance); score:0.282539
	FP => ADP:[1772,1775]; score:0.506594; title:Adenosine_diphosphate; score:0.294699
	FP => Nasdaq composite:[1269,1285]; score:1.112673; title:Nasdaq_Composite; score:1.000000
 => Amgen:[3820,3825]; score:1.085338; title:Amgen; score:1.000000
	FP => Satellite Radio:[3861,3876]; score:1.079194; title:Satellite_radio; score:1.000000
	FP => chief executive:[544,559]; score:1.236472; title:Chief_executive_officer; score:0.475895
 => Automatic Data Processing Inc:[1741,1770]; score:0.941465; title:Automatic_Data_Processing; score:1.000000
	FP => Stocks:[465,471]; score:1.025776; title:Stocks; score:0.622771
 => Russell 2000 index:[4737,4755]; score:1.000000; title:Russell_2000; score:0.500000
	FP => Rubber Co.:[4042,4052]; score:0.985387; title:Rubber; score:0.383913
	FP => investor:[3365,3373]; score:0.798409; title:Investor; score:0.540496
	FP => natural gas:[2289,2300]; score:1.138613; title:Natural_gas; score:0.313664
	FP => late Friday:[1612,1623]; score:1.000000; title:Friday_Night_Videos; score:0.500000
	FP => sweet crude:[2107,2118]; score:1.052684; title:Sweet_crude_oil; score:1.000000
	FP => heating oil:[2273,2284]; score:1.232435; title:Heating_oil; score:1.000000
	FP => chief executive:[80,95]; score:1.190150; title:Chief_executive_officer; score:0.268433
	FP => Mercantile Exchange:[2167,2186]; score:0.934424; title:Mercantilism; score:1.000000
	FP => manufacturing sector:[2700,2720]; score:0.928159; title:Secondary_sector_of_the_economy; score:1.000000
	FP => currencies:[2061,2071]; score:0.833605; title:Currency; score:0.478975
 => Home Depot:[295,305]; score:1.227553; title:The_Home_Depot; score:1.000000
 => New York Mercantile Exchange:[2158,2186]; score:1.207653; title:New_York_Mercantile_Exchange; score:1.000000
 => DAX:[4932,4935]; score:1.142160; title:DAX; score:1.000000
 => Gerald R. Ford:[2366,2380]; score:1.087776; title:Gerald_Ford; score:1.000000
	FP => Data Processing Inc:[1751,1770]; score:0.059380; title:Data_processing; score:0.543177
 => Institute for Supply Management:[750,781]; score:0.937605; title:Institute_for_Supply_Management; score:1.000000
 => Nasdaq:[1269,1275]; score:1.123300; title:NASDAQ; score:1.000000
	FP => housing market:[4419,4433]; score:0.298277; title:Real_estate_economics; score:0.591006
 => Amgen Inc.:[3767,3777]; score:0.960893; title:Amgen; score:1.000000
 => Dow Jones industrials:[417,438]; score:1.000000; title:Dow_Jones_Industrial_Average; score:0.500000
	FP => nearly:[2803,2809]; score:1.000000; title:Nearly_(band); score:0.500000
	FP => Dow Jones:[417,426]; score:0.487266; title:Dow_Jones_&_Company; score:0.602045
	FP => terrorist attacks:[2484,2501]; score:0.881792; title:September_11,_2001_attacks; score:0.285197
 => New York Stock Exchange:[4546,4569]; score:1.167383; title:New_York_Stock_Exchange; score:1.000000
 => Wall Street:[2382,2393]; score:0.819374; title:Wall_Street; score:0.333243
 => Goodyear:[4026,4034]; score:0.157102; title:Goodyear_Tire_and_Rubber_Company; score:0.374057
	FP => private sector:[1781,1795]; score:1.061593; title:Private_sector; score:1.000000
	FP => gold prices:[2079,2090]; score:1.000000; title:Gold_as_an_investment; score:0.500000
	FP => Stocks:[0,6]; score:1.151730; title:Stocks; score:0.696117
	FP => Nasdaq composite index:[1269,1291]; score:1.000000; title:Nasdaq_Composite; score:0.500000
	FP => radio:[3932,3937]; score:0.877317; title:Radio; score:0.165269
 => Russell 2000:[4737,4749]; score:0.980804; title:Russell_2000; score:1.000000
	FP => ISM:[2573,2576]; score:0.000000; title:ISM_band; score:0.227857
 => Wal-Mart Stores:[315,330]; score:1.098715; title:Wal-Mart; score:1.000000
	FP => Stock Exchange:[4555,4569]; score:0.438009; title:Stock_exchange; score:0.261249
	FP => Sirius:[3854,3860]; score:0.046628; title:Sirius; score:0.140201
 => President Gerald R. Ford:[2356,2380]; score:0.986190; title:Gerald_Ford; score:1.000000
 => Sirius Satellite Radio Inc.:[3854,3881]; score:0.835831; title:Sirius_Satellite_Radio; score:0.714913
	FP => investor sentiment:[3365,3383]; score:1.000000; title:Market_trend; score:0.500000
	FP => dollar:[2024,2030]; score:0.487899; title:Dollar; score:0.188732
 => Wall Street:[662,673]; score:0.612509; title:Wall_Street; score:0.321891
	FP => stocks:[2848,2854]; score:0.314814; title:Stocks; score:0.199091
 => Home Depot:[3563,3573]; score:1.208917; title:The_Home_Depot; score:1.000000
 => Wal-Mart:[3610,3618]; score:0.812306; title:Wal-Mart; score:0.727425
	FP => interest rate:[1968,1981]; score:0.973184; title:Interest; score:1.000000
 => Goodyear Tire & Rubber:[4026,4048]; score:1.000000; title:Goodyear_Tire_and_Rubber_Company; score:0.500000
	FP => 2007:[168,172]; score:1.105140; title:2007; score:0.145078
	FP => benchmark:[1541,1550]; score:0.069357; title:Benchmark_(crude_oil); score:0.267673
 => Wal-Mart Stores:[3411,3426]; score:1.086866; title:Wal-Mart; score:1.000000
 => Sirius Satellite Radio:[3854,3876]; score:0.809657; title:Sirius_Satellite_Radio; score:0.714953
 => 2000:[4745,4749]; score:0.980270; title:Russell_2000; score:1.000000
	FP => heart failure:[3805,3818]; score:1.333479; title:Heart_failure; score:0.464816
 => Home Depot Inc.:[295,310]; score:1.305053; title:The_Home_Depot; score:1.000000
	FP => terrorist:[2484,2493]; score:0.842274; title:Terrorism; score:0.356797
 => Wal-Mart:[315,323]; score:0.946956; title:Wal-Mart; score:0.761385
	FP => Standard & Poor:[1328,1343]; score:1.000000; title:Standard_&_Poor's; score:0.500000
 => Automatic Data Processing:[1741,1766]; score:1.032695; title:Automatic_Data_Processing; score:1.000000
 => Lennar Corp.:[4253,4265]; score:1.014321; title:Lennar_Corporation; score:1.000000
 => Lennar:[4435,4441]; score:1.013915; title:Lennar_Corporation; score:1.000000
	FP => cents:[3890,3895]; score:0.000000; title:Cent_(currency); score:0.153989
	FP => Rubber:[4042,4048]; score:0.985984; title:Rubber; score:0.384064
P/R/F:0.29/0.64444447/0.4; tpCount:29.0; fpCount:71.0; fnCount:16.0
[Pol16447720.txt]
***************** Gold Standard: ***********************
 => Israel:[3586,3592]; score:1.000000; title:Israel; score:1.000000
	FN => Ford:[2799,2803]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[3314,3318]; score:1.000000; title:Gerald Ford; score:1.000000
 => Midwest:[350,357]; score:1.000000; title:Midwestern United States; score:1.000000
	FN => Ford:[3466,3470]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[1930,1934]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => southern Africa:[3641,3656]; score:1.000000; title:southern Africa; score:1.000000
 => Mich.:[127,132]; score:1.000000; title:Michigan; score:1.000000
	FN => Ford:[1277,1281]; score:1.000000; title:Gerald Ford; score:1.000000
 => America:[2919,2926]; score:1.000000; title:United States; score:1.000000
	FN => America:[3817,3824]; score:1.000000; title:United States; score:1.000000
 => Gerald Ford:[3775,3786]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Grand Rapids:[2171,2183]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
	FN => Ford:[3861,3865]; score:1.000000; title:Gerald Ford; score:1.000000
 => Kissinger:[3440,3449]; score:1.000000; title:Henry Kissinger; score:1.000000
 => Nixon:[4011,4016]; score:1.000000; title:Richard Nixon; score:1.000000
 => Soviets:[3527,3534]; score:1.000000; title:Soviet Union; score:1.000000
	FN => Ford:[1551,1555]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[2191,2195]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Washington:[1629,1639]; score:1.000000; title:Washington National Cathedral; score:1.000000
	FN => The Victors:[4238,4249]; score:1.000000; title:The Victors; score:1.000000
	FN => GRAND RAPIDS:[113,125]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
 => DeVos Place convention center:[1690,1719]; score:1.000000; title:DeVos Place Convention Center; score:1.000000
 => Gerald R. Ford:[242,256]; score:1.000000; title:Gerald Ford; score:1.000000
 => Ford:[37,41]; score:1.000000; title:Gerald Ford; score:1.000000
 => University of Michigan:[4170,4192]; score:1.000000; title:University of Michigan; score:1.000000
 => Grand River:[1745,1756]; score:1.000000; title:Grand River (Michigan); score:1.000000
	FN => Grand Rapids:[2051,2063]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
	FN => Ford:[4255,4259]; score:1.000000; title:Gerald Ford; score:1.000000
 => President Jimmy Carter:[963,985]; score:1.000000; title:Jimmy Carter; score:1.000000
 => Donald Rumsfeld:[833,848]; score:1.000000; title:Donald Rumsfeld; score:1.000000
	FN => President Bush:[2720,2734]; score:1.000000; title:George H. W. Bush; score:1.000000
	FN => Ford:[4153,4157]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Norman Rockwell:[3155,3170]; score:1.000000; title:Norman Rockwell; score:1.000000
 => President Bush:[3061,3075]; score:1.000000; title:George W. Bush; score:1.000000
 => Gerald R. Ford Presidential Library and Museum:[1764,1810]; score:1.000000; title:Gerald R. Ford Presidential Library; score:1.000000
 => Tom Brokaw:[2784,2794]; score:1.000000; title:Tom Brokaw; score:1.000000
	FN => Ford:[4039,4043]; score:1.000000; title:Gerald Ford; score:1.000000
 => University of Michigan:[1900,1922]; score:1.000000; title:University of Michigan; score:1.000000
 => Calif.:[4370,4376]; score:1.000000; title:California; score:1.000000
	FN => President Bush:[3124,3138]; score:1.000000; title:George H. W. Bush; score:1.000000
	FN => Kalamazoo:[2144,2153]; score:1.000000; title:Kalamazoo River; score:1.000000
 => President Ford:[2069,2083]; score:1.000000; title:Gerald Ford; score:1.000000
 => Richard Norton Smith:[1073,1093]; score:1.000000; title:Richard Norton Smith; score:1.000000
 => Grand Rapids airport:[4121,4141]; score:1.000000; title:Grand Rapids Airport; score:1.000000
	FN => Ford:[3267,3271]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Wolverines:[1956,1966]; score:1.000000; title:Michigan Wolverines; score:1.000000
 => Grand Rapids airport:[1312,1332]; score:1.000000; title:Grand Rapids Airport; score:1.000000
 => Michigan:[1511,1519]; score:1.000000; title:Michigan; score:1.000000
 => America:[2906,2913]; score:1.000000; title:United States; score:1.000000
	FN => Michigan National Guard:[2209,2232]; score:1.000000; title:United States National Guard; score:1.000000
 => Kissinger:[3758,3767]; score:1.000000; title:Henry Kissinger; score:1.000000
 => America:[2528,2535]; score:1.000000; title:United States; score:1.000000
 => Rancho Mirage:[4355,4368]; score:1.000000; title:Rancho Mirage, California; score:1.000000
	FN => Ford:[4313,4317]; score:1.000000; title:Gerald Ford; score:1.000000
 => Grand River:[775,786]; score:1.000000; title:Grand River (Michigan); score:1.000000
	FN => Ford:[591,595]; score:1.000000; title:Gerald Ford; score:1.000000
 => NBC:[2772,2775]; score:1.000000; title:NBC; score:1.000000
	FN => Washington:[2683,2693]; score:1.000000; title:Washington, D.C.; score:1.000000
 => Egypt:[3597,3602]; score:1.000000; title:Egypt; score:1.000000
 => Ford:[1000,1004]; score:1.000000; title:Gerald Ford; score:1.000000
 => Michigan:[4104,4112]; score:1.000000; title:Michigan; score:1.000000
 => President Ford:[2864,2878]; score:1.000000; title:Gerald Ford; score:1.000000
 => Michigan:[12,20]; score:1.000000; title:Michigan; score:1.000000
	FN => Ford:[492,496]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Brokaw:[3830,3836]; score:1.000000; title:Tom Brokaw; score:1.000000
 => Ford:[1130,1134]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[864,868]; score:1.000000; title:Gerald Ford; score:1.000000
 => Jennifer Granholm:[1525,1542]; score:1.000000; title:Jennifer Granholm; score:1.000000
 => Washington National Cathedral:[1373,1402]; score:1.000000; title:Washington National Cathedral; score:1.000000
 => Henry Kissinger:[2826,2841]; score:1.000000; title:Henry Kissinger; score:1.000000

************************ System Result: ***************************
 => Ford:[252,256]; score:0.497338; title:Gerald_Ford; score:0.134064
 => Israel:[3586,3592]; score:1.235055; title:Israel; score:0.260210
	FP => salute:[1823,1829]; score:0.389037; title:Salute; score:0.257702
	FP => President:[963,972]; score:0.962745; title:President_of_the_United_States; score:0.305816
 => Jimmy Carter:[973,985]; score:1.603386; title:Jimmy_Carter; score:0.781219
	FP => Grand Rapids:[693,705]; score:0.262023; title:East_Grand_Rapids,_Michigan; score:0.313436
	FP => Brokaw:[3830,3836]; score:0.931957; title:Brokaw,_Wisconsin; score:1.000000
	FP => subterfuge:[3984,3994]; score:1.000000; title:Deception; score:0.500000
	FP => close friend:[1032,1044]; score:1.000000; title:Friendship; score:0.500000
 => Bush:[3071,3075]; score:0.248915; title:George_W._Bush; score:0.485456
 => Mich.:[127,132]; score:0.844897; title:Michigan; score:0.688048
	FP => Episcopal:[668,677]; score:0.831463; title:Episcopal_Church_in_the_United_States_of_America; score:0.244446
	FP => presidential library:[1146,1166]; score:1.173202; title:Presidential_library; score:0.609600
 => America:[2919,2926]; score:0.728988; title:United_States; score:0.202502
	FP => eulogy:[3088,3094]; score:0.674854; title:Eulogy; score:0.564222
	FP => hit list:[3917,3925]; score:0.000000; title:Contract_killing; score:0.501106
 => Nixon:[4011,4016]; score:0.190945; title:Richard_Nixon; score:0.208514
	FP => Ford:[4313,4317]; score:0.051385; title:Ford_Motor_Company; score:0.155960
	FP => Gerald R. Ford:[1764,1778]; score:1.149246; title:Gerald_Ford; score:1.000000
	FP => convention center:[1702,1719]; score:0.845936; title:Convention_center; score:0.440162
 => Gerald R. Ford:[242,256]; score:1.071220; title:Gerald_Ford; score:1.000000
 => Mirage:[4362,4368]; score:1.136128; title:Rancho_Mirage,_California; score:1.000000
 => Ford:[37,41]; score:0.488997; title:Gerald_Ford; score:0.170198
	FP => Ford:[1774,1778]; score:0.029113; title:Ford_Motor_Company; score:0.145261
	FP => Grand Rapids:[1312,1324]; score:1.147890; title:Grand_Rapids,_Michigan; score:0.304593
	FP => President:[3061,3070]; score:0.744837; title:President_of_the_United_States; score:0.261782
 => Grand River:[1745,1756]; score:0.331861; title:Grand_River_(Michigan); score:0.133473
	FP => hearse:[4302,4308]; score:1.001942; title:Hearse; score:1.000000
	FP => repose:[2325,2331]; score:1.000000; title:Repose; score:0.500000
 => Ford:[2079,2083]; score:1.063839; title:Gerald_Ford; score:1.000000
 => President Jimmy Carter:[963,985]; score:1.096284; title:Jimmy_Carter; score:1.000000
	FP => Ford:[3314,3318]; score:0.054560; title:Ford_Motor_Company; score:0.146452
	FP => eulogy:[3849,3855]; score:0.212435; title:Death_and_state_funeral_of_Gerald_Ford; score:0.621763
	FP => National Guard:[2218,2232]; score:1.043190; title:Michigan_National_Guard; score:1.000000
	FP => Michigan:[4184,4192]; score:0.676136; title:Michigan; score:0.213254
 => Kissinger:[2832,2841]; score:1.130887; title:Henry_Kissinger; score:1.000000
 => Donald Rumsfeld:[833,848]; score:1.250065; title:Donald_Rumsfeld; score:1.000000
	FP => 1976:[1008,1012]; score:0.753568; title:United_States_presidential_election,_1976; score:0.368120
	FP => Bush:[2730,2734]; score:0.261784; title:George_W._Bush; score:0.502051
	FP => airport:[4134,4141]; score:1.190876; title:Airport; score:0.143687
 => Gerald R. Ford Presidential Library and Museum:[1764,1810]; score:1.049691; title:Gerald_R._Ford_Presidential_Library; score:1.000000
	FP => library:[1159,1166]; score:0.882126; title:Library; score:0.158310
	FP => quietly:[142,149]; score:1.000000; title:Quietly; score:0.500000
 => Tom Brokaw:[2784,2794]; score:1.247710; title:Tom_Brokaw; score:1.000000
	FP => Michigan National Guard:[2209,2232]; score:1.028691; title:Michigan_National_Guard; score:1.000000
 => Ford:[3782,3786]; score:0.818028; title:Gerald_Ford; score:0.731295
	FP => majority rule:[3624,3637]; score:0.629092; title:Majority_rule; score:0.698068
	FP => President:[2069,2078]; score:0.830833; title:President_of_the_United_States; score:0.206128
	FP => Ford:[3861,3865]; score:0.178451; title:Ford_Motor_Company; score:0.157032
	FP => moonlight:[175,184]; score:0.942504; title:Moonlight; score:1.000000
	FP => Final salute:[1201,1213]; score:0.911666; title:Salute; score:1.000000
 => Carter:[979,985]; score:1.279964; title:Jimmy_Carter; score:0.746468
 => America:[2906,2913]; score:0.791241; title:United_States; score:0.216529
	FP => intellect:[1450,1459]; score:0.397699; title:Intelligence; score:0.670807
	FP => Michigan:[1914,1922]; score:0.740173; title:Michigan; score:0.210389
	FP => GRAND RAPIDS:[113,125]; score:0.748381; title:Grand_Rapids,_Michigan; score:0.281241
	FP => wrapper:[1501,1508]; score:0.229861; title:Adapter_pattern; score:0.325516
	FP => Grand Rapids:[2171,2183]; score:1.176083; title:Grand_Rapids,_Michigan; score:0.386395
 => Rumsfeld:[840,848]; score:1.108378; title:Donald_Rumsfeld; score:1.000000
	FP => museum:[814,820]; score:0.739059; title:Museum; score:0.182471
	FP => nuclear arms:[3497,3509]; score:0.962972; title:Nuclear_weapon; score:1.000000
 => Ford:[1000,1004]; score:0.675146; title:Gerald_Ford; score:0.269093
	FP => airport:[1325,1332]; score:0.902030; title:Airport; score:0.136432
	FP => Ford.:[1551,1556]; score:0.130222; title:Ford_Motor_Company; score:0.153502
	FP => DeVos:[1690,1695]; score:0.056005; title:Dick_DeVos; score:0.507543
	FP => President:[3124,3133]; score:0.735755; title:President_of_the_United_States; score:0.268334
	FP => oblique:[3952,3959]; score:0.000000; title:Oblique_case; score:0.247197
	FP => eulogy:[948,954]; score:0.466069; title:Eulogy; score:0.575243
 => Jennifer Granholm:[1525,1542]; score:1.298716; title:Jennifer_Granholm; score:1.000000
	FP => museum:[800,806]; score:0.734400; title:Museum; score:0.182786
	FP => Brokaw:[2788,2794]; score:0.965160; title:Brokaw,_Wisconsin; score:1.000000
	FP => President Bush:[2720,2734]; score:0.351051; title:George_W._Bush; score:0.500717
 => America':[2528,2536]; score:0.845612; title:United_States; score:0.194932
	FP => plain brown wrapper:[1489,1508]; score:1.000000; title:Plain_Brown_Wrapper; score:0.500000
	FP => President Bush:[3124,3138]; score:0.101098; title:George_W._Bush; score:0.445994
 => Midwest:[350,357]; score:0.703241; title:Midwestern_United_States; score:0.235404
	FP => Kalamazoo:[2144,2153]; score:0.809935; title:Kalamazoo,_Michigan; score:0.369017
	FP => golf:[3328,3332]; score:1.004336; title:Golf; score:0.268394
	FP => funeral:[2664,2671]; score:0.667907; title:Funeral; score:0.252880
	FP => Michigan band:[4184,4197]; score:0.966938; title:Michigan_Marching_Band; score:1.000000
	FP => Michigan:[2209,2217]; score:1.099802; title:Michigan; score:0.252182
	FP => Grace Episcopal Church:[662,684]; score:0.000000; title:Grace_Episcopal_Church_(Clayton,_Alabama); score:0.300155
	FP => Presidential Library:[1779,1799]; score:0.285242; title:Presidential_library; score:0.451797
 => Kissinger:[3440,3449]; score:0.994648; title:Henry_Kissinger; score:1.000000
	FP => Ford museum:[1130,1141]; score:1.017429; title:The_Henry_Ford; score:1.000000
 => Soviets:[3527,3534]; score:0.895313; title:Soviet_Union; score:0.332144
	FP => museum:[1135,1141]; score:0.559429; title:Museum; score:0.165226
	FP => casket:[2304,2310]; score:0.240978; title:Casket; score:0.531079
	FP => salute:[1207,1213]; score:0.482955; title:Salute; score:0.260335
 => DeVos Place convention center:[1690,1719]; score:1.000000; title:DeVos_Place_Convention_Center; score:0.500000
	FP => final salute:[1817,1829]; score:1.000000; title:Salute; score:0.500000
	FP => sweat:[1882,1887]; score:0.442257; title:Perspiration; score:0.683261
 => Calif:[4370,4375]; score:0.647126; title:California; score:0.709246
 => University of Michigan:[4170,4192]; score:0.781851; title:University_of_Michigan; score:0.271951
	FP => casket:[232,238]; score:0.388800; title:Casket; score:0.654838
 => Gerald R. Ford Presidential Library:[1764,1799]; score:1.153239; title:Gerald_R._Ford_Presidential_Library; score:1.000000
	FP => brown wrapper:[1495,1508]; score:1.000000; title:Strictly_Personal; score:0.500000
	FP => golfer:[3298,3304]; score:0.176163; title:Professional_golfer; score:0.403554
 => Ford:[2874,2878]; score:1.084566; title:Gerald_Ford; score:1.000000
	FP => Karin:[431,436]; score:0.000000; title:Chibi_Vampire; score:0.238626
 => President Bush:[3061,3075]; score:0.230906; title:George_W._Bush; score:0.481828
	FP => Grand Rapids:[4121,4133]; score:1.121134; title:Grand_Rapids,_Michigan; score:0.448103
	FP => defense secretary:[912,929]; score:1.117786; title:United_States_Secretary_of_Defense; score:1.000000
	FP => Grand Rapids:[2051,2063]; score:1.422203; title:Grand_Rapids,_Michigan; score:0.401432
