[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => ISM:[1667,3]; score:1.000000
	FP => rose:[3826,4]; score:1.000000
	FP => big:[276,3]; score:1.000000
	FP => investors:[1630,9]; score:1.000000
	FP => rose:[4860,4]; score:1.000000
 => Japan:[4831,5]; score:1.000000
 => Home Depot:[69,10]; score:1.000000
	FP => report:[708,6]; score:1.000000
	FP => trading:[1194,7]; score:1.000000
 => Amgen:[3820,5]; score:1.000000
	FP => fell:[1807,4]; score:1.000000
	FP => combat:[3798,6]; score:1.000000
	FP => report:[2774,6]; score:1.000000
	FP => demand:[2262,6]; score:1.000000
	FP => expansion:[2683,9]; score:1.000000
	FP => builder:[4284,7]; score:1.000000
	FP => cents:[3834,5]; score:1.000000
	FP => payroll:[1725,7]; score:1.000000
	FP => percent:[4798,7]; score:1.000000
	FP => November:[2722,8]; score:1.000000
	FP => years:[2815,5]; score:1.000000
 => New Year’s:[4710,10]; score:1.000000
	FP => mark:[2336,4]; score:1.000000
	FP => company:[1733,7]; score:1.000000
	FP => production:[4200,10]; score:1.000000
	FP => stronger:[685,8]; score:1.000000
	FP => rose:[3882,4]; score:1.000000
 => Wal-Mart Stores Inc.:[315,20]; score:1.000000
	FP => cutting:[2254,7]; score:1.000000
	FP => chain:[3341,5]; score:1.000000
	FP => division:[1713,8]; score:1.000000
	FP => reason:[241,6]; score:1.000000
	FP => performance:[599,11]; score:1.000000
	FP => momentum:[3253,8]; score:1.000000
	FP => boost:[2839,5]; score:1.000000
	FP => expected:[699,8]; score:1.000000
	FP => ISM:[855,3]; score:1.000000
	FP => companies:[4767,9]; score:1.000000
 => Sirius Satellite Radio:[3854,22]; score:1.000000
	FP => economy:[223,7]; score:1.000000
	FP => sharp:[1311,5]; score:1.000000
 => Standard & Poor’s 500:[1328,21]; score:1.000000
 => Wal-Mart Stores Inc.:[3411,20]; score:1.000000
	FP => gains:[1317,5]; score:1.000000
	FP => signs:[4392,5]; score:1.000000
	FP => December:[718,8]; score:1.000000
	FP => investors:[176,9]; score:1.000000
	FP => closed:[2318,6]; score:1.000000
	FP => cents:[3890,5]; score:1.000000
	FP => CAC:[4976,3]; score:1.000000
	FP => employment:[1688,10]; score:1.000000
	FP => resigned:[3290,8]; score:1.000000
	FP => quarter:[4345,7]; score:1.000000
 => New York Mercantile Exchange:[2158,28]; score:1.000000
	FP => fell:[4442,4]; score:1.000000
	FP => stocks:[2848,6]; score:1.000000
	FP => closed:[4898,6]; score:1.000000
	FP => markets:[2310,7]; score:1.000000
	FP => gains:[1860,5]; score:1.000000
	FP => percent:[4870,7]; score:1.000000
 => Britain:[4879,7]; score:1.000000
 => Wall Street:[662,11]; score:1.000000
 => Amgen Inc.:[3767,10]; score:1.000000
	FP => chief executive:[544,15]; score:1.000000
	FP => months:[1850,6]; score:1.000000
	FP => radio:[3932,5]; score:1.000000
	FP => base:[3966,4]; score:1.000000
	FP => tech:[1407,4]; score:1.000000
	FP => first time:[2759,10]; score:1.000000
	FP => days:[2434,4]; score:1.000000
	FP => month:[1892,5]; score:1.000000
	FP => rose:[3460,4]; score:1.000000
	FP => report:[3399,6]; score:1.000000
	FP => funeral:[2345,7]; score:1.000000
 => Commerce Department:[2999,19]; score:1.000000
	FP => fell:[2954,4]; score:1.000000
	FP => fell:[908,4]; score:1.000000
	FP => percent:[4913,7]; score:1.000000
	FP => rose:[1425,4]; score:1.000000
 => FTSE 100:[4889,8]; score:1.000000
 => Germany:[4922,7]; score:1.000000
	FP => positive:[3356,8]; score:1.000000
	FP => number:[859,6]; score:1.000000
	FP => sales:[3454,5]; score:1.000000
	FP => percent:[3904,7]; score:1.000000
	FP => December:[1825,8]; score:1.000000
	FP => cut:[1982,3]; score:1.000000
	FP => expected:[804,8]; score:1.000000
	FP => laden:[1412,5]; score:1.000000
precision:0.113970585; recall:0.6458333; f1:0.19375; tpCount:31.0; fpCount:241.0; fnCount:17.0
