[APW19980903_1073.htm]
***************** Gold Standard: ***********************
 => Viktor Klima:[664,676]; score:1.000000; title:Viktor Klima; score:1.000000

************************ System Result: ***************************
	FP => Thai:[766,770]; score:1.000000; title:Thai_language; score:0.932692
	FP => Thai:[1102,1106]; score:1.000000; title:Thai_language; score:0.932692
	FP => Thailand:[1265,1273]; score:1.000000; title:Thailand; score:0.976744
	FP => ENGLISH:[3,10]; score:1.000000; title:2002_Hong_Kong_Open_–_Singles; score:0.000000
 => Viravaidya:[14,24]; score:1.000000; title:Mechai_Viravaidya; score:1.000000
 => Bank of Thailand:[543,559]; score:1.000000; title:Bank_of_Thailand; score:1.000000
P/R/F:0.33333334/0.16666667/0.22222224; tpCount:2.0; fpCount:4.0; fnCount:10.0
[APW19990203_0315.htm]
***************** Gold Standard: ***********************
	FN => antiquities:[344,355]; score:1.000000; title:Antiquities; score:1.000000
	FN => thefts:[1176,1182]; score:1.000000; title:Art theft; score:1.000000
	FN => Greek:[778,783]; score:1.000000; title:Ancient Greece; score:1.000000
	FN => torso:[572,577]; score:1.000000; title:Torso; score:1.000000
 => Italy:[135,140]; score:1.000000; title:Italy; score:1.000000
	FN => archaeological site:[546,565]; score:1.000000; title:Archaeological site; score:1.000000
	FN => B.C.:[487,491]; score:1.000000; title:Anno Domini; score:1.000000
	FN => works of art:[116,128]; score:1.000000; title:Work of art; score:1.000000
 => Roman:[750,755]; score:1.000000; title:Ancient Rome; score:1.000000
	FN => sculpture:[190,199]; score:1.000000; title:Sculpture; score:1.000000
	FN => collection:[214,224]; score:1.000000; title:Collection (museum); score:1.000000
	FN => 2nd century:[612,623]; score:1.000000; title:2nd century; score:1.000000
	FN => looting:[1228,1235]; score:1.000000; title:Looting; score:1.000000
	FN => LOS ANGELES:[38,49]; score:1.000000; title:Los Angeles, California; score:1.000000
 => Brentwood:[1322,1331]; score:1.000000; title:Brentwood, Los Angeles, California; score:1.000000
	FN => The J. Paul Getty Museum:[61,85]; score:1.000000; title:Getty Center; score:1.000000
	FN => excavated:[525,534]; score:1.000000; title:Excavation; score:1.000000
	FN => Mithras:[592,599]; score:1.000000; title:Mithraic Mysteries; score:1.000000

************************ System Result: ***************************
	FP => Italian:[668,675]; score:1.000000; title:Italian_language; score:0.730769
	FP => Italian:[1097,1104]; score:1.000000; title:Italian_language; score:0.730769
	FP => Getty:[406,411]; score:1.000000; title:J._Paul_Getty; score:1.000000
 => Italy:[135,140]; score:1.000000; title:Italy; score:0.742015
	FP => J. Paul Getty Museum:[65,85]; score:1.000000; title:J._Paul_Getty_Museum; score:1.000000
	FP => B.C.:[487,491]; score:1.000000; title:Figured_bass; score:1.000000
	FP => Greek:[778,783]; score:1.000000; title:Greek_language; score:0.512250
 => Brentwood:[1322,1331]; score:1.000000; title:Brentwood,_Los_Angeles,_California; score:0.846154
	FP => Italy:[270,275]; score:1.000000; title:Italy; score:0.742015
	FP => Getty:[989,994]; score:1.000000; title:J._Paul_Getty; score:1.000000
	FP => AP:[53,55]; score:1.000000; title:Associated_Press; score:0.380451
 => Roman:[750,755]; score:1.000000; title:Ancient_Rome; score:0.277908
P/R/F:0.25/0.16666667/0.2; tpCount:3.0; fpCount:9.0; fnCount:15.0
[APW19981001_0866.htm]
***************** Gold Standard: ***********************
	FN => MTI:[268,271]; score:1.000000; title:Magyar Távirati Iroda; score:1.000000
	FN => nationalization:[398,413]; score:1.000000; title:Nationalization; score:1.000000
	FN => Vatican:[1302,1309]; score:1.000000; title:Holy See; score:1.000000
 => the Holocaust:[1024,1037]; score:1.000000; title:the Holocaust; score:1.000000
	FN => communist:[214,223]; score:1.000000; title:Communism; score:1.000000
	FN => social welfare:[824,838]; score:1.000000; title:Social welfare provision; score:1.000000
	FN => Hungarian Jewish:[122,138]; score:1.000000; title:History of the Jews in Hungary; score:1.000000
	FN => forints:[568,575]; score:1.000000; title:Hungarian forint; score:1.000000
 => Hungarian:[76,85]; score:1.000000; title:Hungary; score:1.000000

************************ System Result: ***************************
	FP => Jewish:[1166,1172]; score:1.000000; title:Judaism; score:0.495750
	FP => Hungarian:[3,12]; score:1.000000; title:Hungary; score:0.625000
	FP => Jewish:[601,607]; score:1.000000; title:Judaism; score:0.495750
 => Hungarian:[76,85]; score:1.000000; title:Hungary; score:0.625000
	FP => MTI:[268,271]; score:1.000000; title:Tree; score:0.981982
 => Holocaust:[1028,1037]; score:1.000000; title:The_Holocaust; score:0.897440
	FP => Hungarian:[1272,1281]; score:1.000000; title:Hungary; score:0.625000
	FP => Federation:[920,930]; score:1.000000; title:Federation; score:0.417479
	FP => Vatican:[1302,1309]; score:1.000000; title:Vatican_City; score:0.733333
	FP => Jewish:[28,34]; score:1.000000; title:Judaism; score:0.495750
	FP => Jewish:[359,365]; score:1.000000; title:Judaism; score:0.495750
	FP => Hungary:[986,993]; score:1.000000; title:Hungary; score:0.858209
	FP => Jews:[978,982]; score:1.000000; title:Jew; score:0.827578
P/R/F:0.15384616/0.22222222/0.18181819; tpCount:2.0; fpCount:11.0; fnCount:7.0
[APW19980627_0596.htm]
***************** Gold Standard: ***********************
	FN => Oxford University's Merton College:[826,860]; score:1.000000; title:Merton College, Oxford; score:1.000000
	FN => Communist Party of India:[1021,1045]; score:1.000000; title:Communist Party of India; score:1.000000
 => Indira Gandhi:[1178,1191]; score:1.000000; title:Indira Gandhi; score:1.000000
	FN => brain cancer:[191,203]; score:1.000000; title:Brain tumor; score:1.000000
 => Prasar Bharati:[529,543]; score:1.000000; title:Prasar Bharati; score:1.000000
	FN => journalism:[959,969]; score:1.000000; title:Journalism; score:1.000000
	FN => Indian newspapers:[323,340]; score:1.000000; title:List of newspapers in India; score:1.000000
	FN => journalist:[120,130]; score:1.000000; title:Journalist; score:1.000000
	FN => Politics:[261,269]; score:1.000000; title:Politics; score:1.000000
 => India:[98,103]; score:1.000000; title:India; score:1.000000
	FN => corporation:[562,573]; score:1.000000; title:Corporation; score:1.000000
 => Calcutta University:[788,807]; score:1.000000; title:University of Calcutta; score:1.000000

************************ System Result: ***************************
 => Indira Gandhi:[1178,1191]; score:1.000000; title:Indira_Gandhi; score:1.000000
	FP => Assam:[1390,1395]; score:1.000000; title:Assam; score:0.903226
	FP => India:[1360,1365]; score:1.000000; title:India; score:1.000000
	FP => Mainstream:[1127,1137]; score:1.000000; title:Mainstream; score:1.000000
	FP => Indian:[29,35]; score:1.000000; title:India; score:0.376254
	FP => Chakravarty:[1318,1329]; score:1.000000; title:Chakraborty; score:1.000000
 => Prasar Bharati:[529,543]; score:1.000000; title:Prasar_Bharati; score:1.000000
	FP => CPI:[1072,1075]; score:1.000000; title:International_Criminal_Court; score:1.000000
	FP => Calcutta University:[908,927]; score:1.000000; title:University_of_Calcutta; score:1.000000
	FP => Oxford University:[826,843]; score:1.000000; title:University_of_Oxford; score:1.000000
	FP => Chakravarty:[637,648]; score:1.000000; title:Chakraborty; score:1.000000
	FP => India:[1219,1224]; score:1.000000; title:India; score:1.000000
	FP => Communist Party of India:[1021,1045]; score:1.000000; title:Communist_Party_of_India_(Marxist); score:1.000000
	FP => Indian:[323,329]; score:1.000000; title:India; score:0.376254
 => India:[98,103]; score:1.000000; title:India; score:1.000000
	FP => England:[866,873]; score:1.000000; title:England; score:1.000000
 => Calcutta University:[788,807]; score:1.000000; title:University_of_Calcutta; score:1.000000
P/R/F:0.23529412/0.33333334/0.27586207; tpCount:4.0; fpCount:13.0; fnCount:8.0
[APW19981113_0500.htm]
***************** Gold Standard: ***********************
	FN => airport:[94,101]; score:1.000000; title:Airport; score:1.000000
 => Gaza Strip:[348,358]; score:1.000000; title:Gaza Strip; score:1.000000
	FN => bus:[1011,1014]; score:1.000000; title:Bus; score:1.000000
 => Palestinian:[79,90]; score:1.000000; title:Palestinian people; score:1.000000
 => Yasser Arafat International Airport:[293,328]; score:1.000000; title:Yasser Arafat International Airport; score:1.000000
	FN => Civil Aviation:[197,211]; score:1.000000; title:Civil aviation; score:1.000000
	FN => security:[888,896]; score:1.000000; title:Airport security; score:1.000000
	FN => Civil Aviation Authority:[782,806]; score:1.000000; title:Civil Aviation Authority; score:1.000000
 => Israeli:[268,275]; score:1.000000; title:Israel; score:1.000000
 => Israelis:[861,869]; score:1.000000; title:Israelis; score:1.000000
	FN => Israeli-Palestinian peace agreement:[406,441]; score:1.000000; title:Israeli-Palestinian conflict; score:1.000000

************************ System Result: ***************************
	FP => Israel:[454,460]; score:1.000000; title:Israel; score:0.697234
	FP => Palestinian:[690,701]; score:1.000000; title:Palestinian_people; score:0.667317
 => Gaza Strip:[348,358]; score:1.000000; title:Gaza_Strip; score:0.989429
	FP => Israeli:[678,685]; score:1.000000; title:Israel; score:0.540429
	FP => Israeli-Palestinian:[406,425]; score:1.000000; title:Israelis; score:0.696970
 => Palestinian:[79,90]; score:1.000000; title:Palestinian_people; score:0.667317
 => Yasser Arafat International Airport:[293,328]; score:1.000000; title:Yasser_Arafat_International_Airport; score:1.000000
	FP => Israelis:[1235,1243]; score:1.000000; title:Israelis; score:1.000000
 => Israeli:[268,275]; score:1.000000; title:Israel; score:0.540429
	FP => Benjamin Netanyahu:[565,583]; score:1.000000; title:Benjamin_Netanyahu; score:1.000000
	FP => Palestinians:[32,44]; score:1.000000; title:Palestinian_people; score:1.000000
	FP => Israel:[61,67]; score:1.000000; title:Israel; score:0.697234
	FP => Palestinian:[823,834]; score:1.000000; title:Palestinian_people; score:0.667317
 => Israelis:[861,869]; score:1.000000; title:Israelis; score:1.000000
P/R/F:0.35714287/0.45454547/0.40000004; tpCount:5.0; fpCount:9.0; fnCount:6.0
[APW19981119_0585.htm]
***************** Gold Standard: ***********************
	FN => kilograms:[598,607]; score:1.000000; title:Kilogram; score:1.000000
 => Transylvania:[474,486]; score:1.000000; title:Transylvania; score:1.000000
	FN => rangers:[1177,1184]; score:1.000000; title:Park ranger; score:1.000000
 => Romania:[145,152]; score:1.000000; title:Romania; score:1.000000
 => Dracula:[443,450]; score:1.000000; title:Dracula; score:1.000000
	FN => sheep:[192,197]; score:1.000000; title:Domestic sheep; score:1.000000
	FN => weaned:[913,919]; score:1.000000; title:Breastfeeding; score:1.000000
	FN => peasants:[75,83]; score:1.000000; title:Peasant; score:1.000000
	FN => bear:[61,65]; score:1.000000; title:Bear; score:1.000000
	FN => livestock:[247,256]; score:1.000000; title:Livestock; score:1.000000
	FN => reserves:[408,416]; score:1.000000; title:Game reserve; score:1.000000
	FN => vampire:[491,498]; score:1.000000; title:vampire; score:1.000000
 => Nicolae Ceausescu:[945,962]; score:1.000000; title:Nicolae Ceauşescu; score:1.000000
	FN => cattle:[26,32]; score:1.000000; title:Cattle; score:1.000000
	FN => communist:[971,980]; score:1.000000; title:Communism; score:1.000000
	FN => omnivorous:[866,876]; score:1.000000; title:Omnivore; score:1.000000
 => Apuseni Mountains:[1218,1235]; score:1.000000; title:Apuseni Mountains; score:1.000000
	FN => hibernate:[753,762]; score:1.000000; title:Hibernation; score:1.000000
	FN => dictator:[984,992]; score:1.000000; title:Dictator; score:1.000000

************************ System Result: ***************************
	FP => Dracula:[9,16]; score:1.000000; title:Dracula; score:0.587687
 => Transylvania:[474,486]; score:1.000000; title:Transylvania; score:1.000000
	FP => Romania:[887,894]; score:1.000000; title:Romania; score:0.651887
 => Nicolae Ceausescu:[945,962]; score:1.000000; title:Nicolae_Ceauşescu; score:1.000000
 => Romania:[145,152]; score:1.000000; title:Romania; score:0.651887
 => Dracula:[443,450]; score:1.000000; title:Dracula; score:0.587687
	FP => Romania:[430,437]; score:1.000000; title:Romania; score:0.651887
	FP => Dracula:[769,776]; score:1.000000; title:Dracula; score:0.587687
 => Apuseni Mountains:[1218,1235]; score:1.000000; title:Apuseni_Mountains; score:1.000000
	FP => Romania:[1248,1255]; score:1.000000; title:Romania; score:0.651887
	FP => Dracula:[102,109]; score:1.000000; title:Dracula; score:0.587687
P/R/F:0.45454547/0.2631579/0.33333334; tpCount:5.0; fpCount:6.0; fnCount:14.0
[APW19981113_0729.htm]
***************** Gold Standard: ***********************
	FN => customs:[1135,1142]; score:1.000000; title:Customs; score:1.000000
 => Israelis:[873,881]; score:1.000000; title:Israelis; score:1.000000
	FN => airport:[94,101]; score:1.000000; title:Airport; score:1.000000
 => Benjamin Netanyahu:[575,593]; score:1.000000; title:Benjamin Netanyahu; score:1.000000
 => Palestinian:[79,90]; score:1.000000; title:Palestinian people; score:1.000000
 => Israeli:[271,278]; score:1.000000; title:Israel; score:1.000000
 => Yasser Arafat International Airport:[296,331]; score:1.000000; title:Yasser Arafat International Airport; score:1.000000
 => Gaza Strip:[351,361]; score:1.000000; title:Gaza Strip; score:1.000000
	FN => ratification:[513,525]; score:1.000000; title:Ratification; score:1.000000
	FN => Cabinet:[502,509]; score:1.000000; title:Cabinet of Israel; score:1.000000
	FN => independence:[137,149]; score:1.000000; title:Independence; score:1.000000
	FN => Israeli-Palestinian peace agreement:[409,444]; score:1.000000; title:Peace process in the Israeli-Palestinian conflict; score:1.000000
	FN => Civil Aviation:[200,214]; score:1.000000; title:Civil aviation; score:1.000000
	FN => Civil Aviation Authority:[794,818]; score:1.000000; title:Civil Aviation Authority; score:1.000000
	FN => passport:[1105,1113]; score:1.000000; title:Passport; score:1.000000

************************ System Result: ***************************
 => Israelis:[873,881]; score:1.000000; title:Israelis; score:1.000000
 => Benjamin Netanyahu:[575,593]; score:1.000000; title:Benjamin_Netanyahu; score:1.000000
 => Palestinian:[79,90]; score:1.000000; title:Palestinian_people; score:0.667317
 => Israeli:[271,278]; score:1.000000; title:Israel; score:0.540429
 => Yasser Arafat International Airport:[296,331]; score:1.000000; title:Yasser_Arafat_International_Airport; score:1.000000
 => Gaza Strip:[351,361]; score:1.000000; title:Gaza_Strip; score:0.989429
	FP => Israeli-Palestinian:[409,428]; score:1.000000; title:Israelis; score:0.696970
	FP => Israel:[457,463]; score:1.000000; title:Israel; score:0.697234
	FP => Palestinian:[835,846]; score:1.000000; title:Palestinian_people; score:0.667317
	FP => Palestinians:[32,44]; score:1.000000; title:Palestinian_people; score:1.000000
	FP => Palestinian:[702,713]; score:1.000000; title:Palestinian_people; score:0.667317
	FP => Israeli:[690,697]; score:1.000000; title:Israel; score:0.540429
	FP => Israel:[61,67]; score:1.000000; title:Israel; score:0.697234
	FP => Israelis:[1247,1255]; score:1.000000; title:Israelis; score:1.000000
P/R/F:0.42857143/0.4/0.41379312; tpCount:6.0; fpCount:8.0; fnCount:9.0
[APW19981109_1172.htm]
***************** Gold Standard: ***********************
	FN => West Indies:[107,118]; score:1.000000; title:West Indies cricket team; score:1.000000
 => West Indies Cricket Board:[307,332]; score:1.000000; title:West Indies Cricket Board; score:1.000000
	FN => Lara:[182,186]; score:1.000000; title:Brian Lara; score:1.000000
 => Clive Lloyd:[877,888]; score:1.000000; title:Clive Lloyd; score:1.000000
	FN => David Richardson:[1112,1128]; score:1.000000; title:David John Richardson; score:1.000000
 => Johannesburg:[1172,1184]; score:1.000000; title:Johannesburg; score:1.000000
 => Caribbean News Agency:[152,173]; score:1.000000; title:Caribbean News Agency; score:1.000000
	FN => negotiated:[652,662]; score:1.000000; title:Negotiation; score:1.000000
 => Courtney Walsh:[76,90]; score:1.000000; title:Courtney Walsh; score:1.000000
	FN => treasurer:[611,620]; score:1.000000; title:Treasurer; score:1.000000
	FN => South African cricket:[739,760]; score:1.000000; title:Cricket South Africa; score:1.000000
 => Ali Bacher:[716,726]; score:1.000000; title:Ali Bacher; score:1.000000
	FN => wicketkeeper:[1096,1108]; score:1.000000; title:Wicket-keeper; score:1.000000
	FN => marketing:[1151,1160]; score:1.000000; title:Marketing; score:1.000000
	FN => sponsorship:[1044,1055]; score:1.000000; title:Sponsor; score:1.000000
 => Joel Garner:[908,919]; score:1.000000; title:Joel Garner; score:1.000000
	FN => Hooper:[194,200]; score:1.000000; title:Carl Hooper; score:1.000000
	FN => batsman:[352,359]; score:1.000000; title:Batsman; score:1.000000

************************ System Result: ***************************
 => West Indies Cricket Board:[307,332]; score:1.000000; title:West_Indies_Cricket_Board; score:0.998024
 => Clive Lloyd:[877,888]; score:1.000000; title:Clive_Lloyd; score:0.998917
 => Johannesburg:[1172,1184]; score:1.000000; title:Johannesburg; score:0.956204
 => Caribbean News Agency:[152,173]; score:1.000000; title:Caribbean_News_Agency; score:1.000000
	FP => West Indies:[107,118]; score:1.000000; title:Caribbean; score:1.000000
	FP => Lara:[182,186]; score:1.000000; title:Lara; score:0.313733
	FP => David Richardson:[1112,1128]; score:1.000000; title:David_Richardson; score:0.428571
	FP => South African:[1355,1368]; score:1.000000; title:South_Africa; score:0.775940
 => Courtney Walsh:[76,90]; score:1.000000; title:Courtney_Walsh; score:1.000000
	FP => Lara:[537,541]; score:1.000000; title:Lara; score:0.313733
	FP => West Indies:[851,862]; score:1.000000; title:Caribbean; score:1.000000
	FP => Hooper:[382,388]; score:1.000000; title:Hooper_(film); score:1.000000
	FP => WICB:[895,899]; score:1.000000; title:WICB; score:1.000000
	FP => South African:[739,752]; score:1.000000; title:South_Africa; score:0.775940
	FP => Rousseau:[702,710]; score:1.000000; title:Jean-Jacques_Rousseau; score:0.829080
 => Ali Bacher:[716,726]; score:1.000000; title:Ali_Bacher; score:1.000000
	FP => Hooper:[546,552]; score:1.000000; title:Hooper_(film); score:1.000000
	FP => Hooper:[194,200]; score:1.000000; title:Hooper_(film); score:1.000000
	FP => Jimmy Adams:[597,608]; score:1.000000; title:Jimmy_Adams; score:0.780415
	FP => South African:[1081,1094]; score:1.000000; title:South_Africa; score:0.775940
 => Joel Garner:[908,919]; score:1.000000; title:Joel_Garner; score:1.000000
	FP => Lara:[362,366]; score:1.000000; title:Lara; score:0.313733
	FP => LONDON:[3,9]; score:1.000000; title:London; score:1.000000
	FP => South Africa:[439,451]; score:1.000000; title:South_Africa; score:1.000000
P/R/F:0.29166666/0.3888889/0.3333333; tpCount:7.0; fpCount:17.0; fnCount:11.0
[APW19981109_0464.htm]
***************** Gold Standard: ***********************
 => Farsi:[921,926]; score:1.000000; title:Persian language; score:1.000000
	FN => Communist:[1212,1221]; score:1.000000; title:Communism; score:1.000000
 => Kamal Kharrazi:[237,251]; score:1.000000; title:Kamal Kharazi; score:1.000000
 => the Netherlands:[488,503]; score:1.000000; title:Netherlands; score:1.000000
 => Prague:[557,563]; score:1.000000; title:Prague; score:1.000000
	FN => Radio Free Europe:[150,167]; score:1.000000; title:Radio Free Europe; score:1.000000
	FN => Munich, Germany:[1048,1063]; score:1.000000; title:Munich; score:1.000000
	FN => the Hague:[91,100]; score:1.000000; title:the Hague; score:1.000000
 => Soviet:[1106,1112]; score:1.000000; title:Soviet Union; score:1.000000
 => Cold War:[1175,1183]; score:1.000000; title:Cold War; score:1.000000
	FN => Czech:[582,587]; score:1.000000; title:Czech Republic; score:1.000000
 => Iran:[29,33]; score:1.000000; title:Iran; score:1.000000
 => Iraq:[786,790]; score:1.000000; title:Iraq; score:1.000000
 => Iron Curtain:[1148,1160]; score:1.000000; title:Iron Curtain; score:1.000000
	FN => Foreign Minister:[217,233]; score:1.000000; title:Foreign minister; score:1.000000
 => ICJ:[478,481]; score:1.000000; title:International Court of Justice; score:1.000000

************************ System Result: ***************************
	FP => Germany:[1056,1063]; score:1.000000; title:Germany; score:0.731908
	FP => Czech:[974,979]; score:1.000000; title:Czech_language; score:0.332908
	FP => English-language:[386,402]; score:1.000000; title:english-language; score:1.000000
 => Kamal Kharrazi:[237,251]; score:1.000000; title:Kamal_Kharazi; score:1.000000
	FP => Prague:[1261,1267]; score:1.000000; title:Prague; score:1.000000
 => Prague:[557,563]; score:1.000000; title:Prague; score:1.000000
	FP => Iran Daily:[175,185]; score:1.000000; title:List_of_newspapers_in_Iran; score:0.222222
	FP => International Court of Justice:[56,86]; score:1.000000; title:International_Court_of_Justice; score:1.000000
	FP => Iran:[949,953]; score:1.000000; title:Iran; score:1.000000
	FP => Iraq:[907,911]; score:1.000000; title:Iraq; score:0.988987
	FP => West:[1198,1202]; score:1.000000; title:Western_world; score:0.151911
	FP => Prague:[709,715]; score:1.000000; title:Prague; score:1.000000
	FP => Iran:[302,306]; score:1.000000; title:Iran; score:1.000000
 => Soviet:[1106,1112]; score:1.000000; title:Soviet_Union; score:0.875000
 => Iraq:[786,790]; score:1.000000; title:Iraq; score:0.988987
	FP => American-sponsored:[724,742]; score:1.000000; title:United_States; score:1.000000
 => Farsi:[921,926]; score:1.000000; title:Persian_language; score:0.888889
	FP => Iran:[898,902]; score:1.000000; title:Iran; score:1.000000
 => Netherlands:[492,503]; score:1.000000; title:Netherlands; score:0.625727
	FP => REPEATING:[3,12]; score:1.000000; title:Repeating_crossbow; score:0.801653
	FP => Iran:[446,450]; score:1.000000; title:Iran; score:1.000000
	FP => Iran:[522,526]; score:1.000000; title:Iran; score:1.000000
	FP => Radio Free Europe:[1005,1022]; score:1.000000; title:Radio_Free_Europe/Radio_Liberty; score:1.000000
	FP => Hague:[95,100]; score:1.000000; title:International_Court_of_Justice; score:1.000000
 => Cold War:[1175,1183]; score:1.000000; title:Cold_War; score:1.000000
 => Iran:[29,33]; score:1.000000; title:Iran; score:1.000000
 => Iron Curtain:[1148,1160]; score:1.000000; title:Iron_Curtain; score:1.000000
	FP => Czech:[582,587]; score:1.000000; title:Czech_language; score:0.332908
 => ICJ:[478,481]; score:1.000000; title:International_Court_of_Justice; score:0.978313
P/R/F:0.3448276/0.625/0.44444448; tpCount:10.0; fpCount:19.0; fnCount:6.0
[APW19980709_0263.htm]
***************** Gold Standard: ***********************
	FN => self-criticisms:[536,551]; score:1.000000; title:Self-criticism; score:1.000000
 => Phan Van Khai:[91,104]; score:1.000000; title:Phan Văn Khải; score:1.000000
	FN => project accounting:[647,665]; score:1.000000; title:project accounting; score:1.000000
	FN => tender:[625,631]; score:1.000000; title:Tenders; score:1.000000
	FN => rotating power cuts:[1234,1253]; score:1.000000; title:Power outage; score:1.000000
	FN => electricity:[128,139]; score:1.000000; title:Electricity; score:1.000000
	FN => monopoly:[59,67]; score:1.000000; title:Monopoly; score:1.000000
	FN => bureaucracy:[193,204]; score:1.000000; title:Bureaucracy; score:1.000000
	FN => reservoir:[1359,1368]; score:1.000000; title:Reservoir; score:1.000000
 => Le Duc Anh:[784,794]; score:1.000000; title:Le Duc Anh; score:1.000000
	FN => Vietnam:[348,355]; score:1.000000; title:Vietnam; score:1.000000
	FN => drought:[1288,1295]; score:1.000000; title:Drought; score:1.000000
	FN => hydroelectric:[1387,1400]; score:1.000000; title:Hydroelectricity; score:1.000000
	FN => Prime Minister:[73,87]; score:1.000000; title:Prime Minister of Vietnam; score:1.000000

************************ System Result: ***************************
	FP => EVN:[1221,1224]; score:1.000000; title:Bird; score:1.000000
	FP => Vietnam:[708,715]; score:1.000000; title:Vietnam_War; score:1.000000
	FP => Army:[820,824]; score:1.000000; title:United_States_Army; score:0.273045
	FP => EVN:[436,439]; score:1.000000; title:Bird; score:1.000000
	FP => Khai:[558,562]; score:1.000000; title:KHAI; score:0.950617
	FP => Vietnam:[3,10]; score:1.000000; title:Vietnam_War; score:1.000000
 => Phan Van Khai:[91,104]; score:1.000000; title:Phan_Văn_Khải; score:0.974026
