[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => Bob Nardelli:[3277,3289]; score:1.000000; title:Robert Nardelli; score:1.000000
	FP => News:[3267,3271]; score:1.000000; title:News_Corporation; score:0.065586
	FP => mild:[2190,2194]; score:1.000000; title:Mild_ale; score:0.005272
	FP => November:[2925,2933]; score:1.000000; title:November_12; score:0.032219
	FP => spending:[2869,2877]; score:1.000000; title:Consumption_(economics); score:0.054741
	FP => early:[1993,1998]; score:1.000000; title:Early_modern_Europe; score:0.032688
	FP => days:[2434,2438]; score:1.000000; title:Iran_hostage_crisis; score:0.045303
	FP => reading:[2618,2625]; score:1.000000; title:Reading,_Pennsylvania; score:0.046448
 => Dow:[1115,1118]; score:1.000000; title:Dow_Jones_Industrial_Average; score:0.137228
	FP => Sept. 11, 2001:[2468,2482]; score:1.000000; title:September_11_attacks; score:0.104372
	FP => Friday:[1617,1623]; score:1.000000; title:Friday_the_13th; score:0.030317
	FP => percent:[3904,3911]; score:1.000000; title:Percentage; score:0.074897
	FP => corporate:[3668,3677]; score:1.000000; title:Corporation; score:0.094130
	FP => spending:[837,845]; score:1.000000; title:Consumption_(economics); score:0.054741
	FP => Friday:[4666,4672]; score:1.000000; title:Friday_the_13th; score:0.030317
	FP => December:[718,726]; score:1.000000; title:December; score:0.041987
	FP => NEW YORK:[105,113]; score:1.000000; title:New_York; score:0.062474
	FP => contraction:[2788,2799]; score:1.000000; title:Recession; score:0.114286
	FP => payroll:[1725,1732]; score:1.000000; title:Payroll; score:0.038920
	FP => percent:[4913,4920]; score:1.000000; title:Percentage; score:0.074897
	FP => figure:[2733,2739]; score:1.000000; title:Figure_skating; score:0.017276
	FP => Goldman:[942,949]; score:1.000000; title:Goldman_Sachs; score:0.113546
	FP => straight:[2979,2987]; score:1.000000; title:The_Georgia_Straight; score:0.021418
	FP => rose:[3574,3578]; score:1.000000; title:Rose; score:0.048618
	FP => months:[3181,3187]; score:1.000000; title:Month; score:0.054813
	FP => recovery:[4403,4411]; score:1.000000; title:Recovery_(Eminem_album); score:0.006231
	FP => percent:[4461,4468]; score:1.000000; title:Percentage; score:0.074897
	FP => volume:[4577,4583]; score:1.000000; title:Volume; score:0.035353
	FP => sales:[3454,3459]; score:1.000000; title:Sales; score:0.080252
	FP => report:[1928,1934]; score:1.000000; title:Report; score:0.086569
	FP => news:[3743,3747]; score:1.000000; title:News_Corporation; score:0.065586
	FP => weather:[2195,2202]; score:1.000000; title:Weather; score:0.038380
	FP => week:[4139,4143]; score:1.000000; title:Week; score:0.021238
	FP => Stocks:[116,122]; score:1.000000; title:Stocks; score:0.101512
	FP => President:[2356,2365]; score:1.000000; title:President; score:0.064957
	FP => hold:[2217,2221]; score:1.000000; title:Hold_(ship); score:0.012092
	FP => percent:[1377,1384]; score:1.000000; title:Percentage; score:0.074897
	FP => percent:[2914,2921]; score:1.000000; title:Percentage; score:0.074897
	FP => home improvement:[3324,3340]; score:1.000000; title:Home_improvement; score:0.039140
	FP => percent:[4954,4961]; score:1.000000; title:Percentage; score:0.074897
	FP => chairman:[531,539]; score:1.000000; title:Chairman; score:0.080570
	FP => year:[2011,2015]; score:1.000000; title:University; score:0.052103
	FP => percent:[3981,3988]; score:1.000000; title:Percentage; score:0.074897
	FP => percent:[3469,3476]; score:1.000000; title:Percentage; score:0.074897
	FP => manufacturing:[727,740]; score:1.000000; title:Manufacturing; score:0.086700
	FP => percent:[4997,5004]; score:1.000000; title:Percentage; score:0.074897
	FP => chief executive:[4361,4376]; score:1.000000; title:Chief_executive_officer; score:0.084952
	FP => investors:[2540,2549]; score:1.000000; title:Investor; score:0.097886
	FP => funeral:[2345,2352]; score:1.000000; title:Funeral; score:0.044168
	FP => stronger:[685,693]; score:1.000000; title:Jamelia; score:0.008921
 => FTSE 100:[4889,4897]; score:1.000000; title:FTSE_100_Index; score:0.099700
	FP => year:[4017,4021]; score:1.000000; title:University; score:0.052103
	FP => billion:[4597,4604]; score:1.000000; title:Long_and_short_scales; score:0.006106
	FP => loss:[4326,4330]; score:1.000000; title:Win–loss_record_(pitching); score:0.017148
	FP => point:[4660,4665]; score:1.000000; title:CNN; score:0.094057
	FP => stock:[1232,1237]; score:1.000000; title:Stock_market; score:0.181186
 => U.S.:[4279,4283]; score:1.000000; title:United_States; score:0.066858
	FP => jumping:[1169,1176]; score:1.000000; title:Jumping; score:0.008918
	FP => reading:[2658,2665]; score:1.000000; title:Reading,_Pennsylvania; score:0.046448
	FP => boost:[2839,2844]; score:1.000000; title:Boost_Mobile; score:0.034135
 => Commerce Department:[2999,3018]; score:1.000000; title:United_States_Department_of_Commerce; score:0.068108
	FP => years:[2815,2820]; score:1.000000; title:Millennium; score:0.052023
	FP => Bonds:[1470,1475]; score:1.000000; title:Barry_Bonds; score:0.037166
	FP => percent:[1445,1452]; score:1.000000; title:Percentage; score:0.074897
	FP => times:[401,406]; score:1.000000; title:The_Times; score:0.074108
	FP => ISM:[2573,2576]; score:1.000000; title:International_Solidarity_Movement; score:0.016055
	FP => December:[1825,1833]; score:1.000000; title:December; score:0.041987
 => Amgen:[3820,3825]; score:1.000000; title:Amgen; score:0.047521
	FP => reason:[241,247]; score:1.000000; title:Reason_(magazine); score:0.023013
	FP => expected:[2646,2654]; score:1.000000; title:Expected_value; score:0.050857
	FP => natural gas:[2289,2300]; score:1.000000; title:Natural_gas; score:0.087230
	FP => major:[2055,2060]; score:1.000000; title:Major_League_Baseball; score:0.060299
	FP => heating oil:[2273,2284]; score:1.000000; title:Heating_oil; score:0.054614
	FP => construction:[824,836]; score:1.000000; title:Construction; score:0.079580
	FP => division:[1713,1721]; score:1.000000; title:Division_(military); score:0.044088
	FP => benchmark:[1541,1550]; score:1.000000; title:Benchmarking; score:0.060781
	FP => company:[618,625]; score:1.000000; title:Company; score:0.062850
	FP => resigned:[564,572]; score:1.000000; title:Resignation; score:0.029938
	FP => sentiment:[383,392]; score:1.000000; title:Sentimental_novel; score:0.032851
	FP => fell:[4442,4446]; score:1.000000; title:Fell; score:0.049668
	FP => gains:[1860,1865]; score:1.000000; title:Gain; score:0.020018
	FP => construction:[2856,2868]; score:1.000000; title:Construction; score:0.079580
	FP => volume:[4690,4696]; score:1.000000; title:Volume; score:0.035353
	FP => market:[957,963]; score:1.000000; title:Market_capitalization; score:0.146390
	FP => advance:[1515,1522]; score:1.000000; title:Advance_Publications; score:0.064243
	FP => forecast:[3500,3508]; score:1.000000; title:Forecasting; score:0.032677
	FP => markets:[2310,2317]; score:1.000000; title:Market; score:0.105046
 => Wall Street:[2382,2393]; score:1.000000; title:Wall_Street; score:0.116518
	FP => early:[1086,1091]; score:1.000000; title:Early_modern_Europe; score:0.032688
	FP => trading:[448,455]; score:1.000000; title:Trade; score:0.130295
	FP => private sector:[1781,1795]; score:1.000000; title:Private_sector; score:0.069729
	FP => percent:[4076,4083]; score:1.000000; title:Percentage; score:0.074897
	FP => quarter:[4345,4352]; score:1.000000; title:Hundredweight; score:0.031235
	FP => Stocks:[0,6]; score:1.000000; title:Stocks; score:0.101512
	FP => retailers:[285,294]; score:1.000000; title:Retail; score:0.070148
	FP => radio:[3932,3937]; score:1.000000; title:Radio; score:0.065971
	FP => gains:[1317,1322]; score:1.000000; title:Gain; score:0.020018
	FP => builder:[4284,4291]; score:1.000000; title:Laundry_detergent; score:0.007928
	FP => percent:[3554,3561]; score:1.000000; title:Percentage; score:0.074897
	FP => support:[1049,1056]; score:1.000000; title:Support_group; score:0.029814
	FP => fell:[908,912]; score:1.000000; title:Fell; score:0.049668
	FP => December:[3434,3442]; score:1.000000; title:December; score:0.041987
	FP => big:[1511,1514]; score:1.000000; title:London_Biggin_Hill_Airport; score:0.008602
	FP => cutting:[2254,2261]; score:1.000000; title:Cutting_(plant); score:0.023456
	FP => employment:[1796,1806]; score:1.000000; title:Employment; score:0.059271
	FP => ADP:[1772,1775]; score:1.000000; title:Antidepressant; score:0.030210
	FP => fell:[2954,2958]; score:1.000000; title:Fell; score:0.049668
	FP => post:[4319,4323]; score:1.000000; title:The_Washington_Post; score:0.075660
 => Nikkei stock average:[4839,4859]; score:1.000000; title:Nikkei_225; score:0.176237
	FP => tech:[1407,1411]; score:1.000000; title:Technology; score:0.072340
	FP => barrel:[2144,2150]; score:1.000000; title:Barrel; score:0.050331
	FP => rate:[3094,3098]; score:1.000000; title:Rates_(tax); score:0.024743
 => Wal-Mart:[3610,3618]; score:1.000000; title:Walmart; score:0.063314
	FP => first time:[2759,2769]; score:1.000000; title:Zooropa; score:0.003818
	FP => number:[859,865]; score:1.000000; title:Number; score:0.021531
	FP => investors:[1899,1908]; score:1.000000; title:Investor; score:0.097886
	FP => building:[3033,3041]; score:1.000000; title:Building; score:0.037387
	FP => mixed:[2035,2040]; score:1.000000; title:Mixed_language; score:0.007912
	FP => Market:[42,48]; score:1.000000; title:Market_capitalization; score:0.146390
	FP => company:[1733,1740]; score:1.000000; title:Company; score:0.062850
	FP => expected:[699,707]; score:1.000000; title:Expected_value; score:0.050857
	FP => report:[3399,3405]; score:1.000000; title:Report; score:0.086569
	FP => stronger:[2600,2608]; score:1.000000; title:Jamelia; score:0.008921
	FP => terrorist:[2484,2493]; score:1.000000; title:Terrorism; score:0.075062
	FP => shares:[4605,4611]; score:1.000000; title:Share_(finance); score:0.107852
	FP => Germany:[4922,4929]; score:1.000000; title:Nazi_Germany; score:0.069254
	FP => trading:[17,24]; score:1.000000; title:Trade; score:0.130295
	FP => production:[4200,4210]; score:1.000000; title:Record_producer; score:0.025722
	FP => demand:[2262,2268]; score:1.000000; title:Demand_(economics); score:0.059086
	FP => growth:[3514,3520]; score:1.000000; title:Growth_hormone; score:0.024857
	FP => year:[1554,1558]; score:1.000000; title:University; score:0.052103
	FP => ISM:[1667,1670]; score:1.000000; title:International_Solidarity_Movement; score:0.016055
	FP => months:[1850,1856]; score:1.000000; title:Month; score:0.054813
	FP => year:[25,29]; score:1.000000; title:University; score:0.052103
P/R/F:0.106617644/0.64444447/0.1829653; tpCount:29.0; fpCount:243.0; fnCount:16.0
[Pol16447720.txt]
***************** Gold Standard: ***********************
 => Israel:[3586,3592]; score:1.000000; title:Israel; score:1.000000
	FN => Ford:[2799,2803]; score:1.000000; title:Gerald Ford; score:1.000000
 => Ford:[3314,3318]; score:1.000000; title:Gerald Ford; score:1.000000
 => Midwest:[350,357]; score:1.000000; title:Midwestern United States; score:1.000000
	FN => Ford:[3466,3470]; score:1.000000; title:Gerald Ford; score:1.000000
 => Ford:[1930,1934]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => southern Africa:[3641,3656]; score:1.000000; title:southern Africa; score:1.000000
 => Mich.:[127,132]; score:1.000000; title:Michigan; score:1.000000
	FN => Ford:[1277,1281]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => America:[2919,2926]; score:1.000000; title:United States; score:1.000000
	FN => America:[3817,3824]; score:1.000000; title:United States; score:1.000000
 => Gerald Ford:[3775,3786]; score:1.000000; title:Gerald Ford; score:1.000000
 => Grand Rapids:[2171,2183]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
 => Ford:[3861,3865]; score:1.000000; title:Gerald Ford; score:1.000000
 => Kissinger:[3440,3449]; score:1.000000; title:Henry Kissinger; score:1.000000
 => Nixon:[4011,4016]; score:1.000000; title:Richard Nixon; score:1.000000
 => Soviets:[3527,3534]; score:1.000000; title:Soviet Union; score:1.000000
 => Ford:[1551,1555]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[2191,2195]; score:1.000000; title:Gerald Ford; score:1.000000
 => Washington:[1629,1639]; score:1.000000; title:Washington National Cathedral; score:1.000000
 => The Victors:[4238,4249]; score:1.000000; title:The Victors; score:1.000000
	FN => GRAND RAPIDS:[113,125]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
	FN => DeVos Place convention center:[1690,1719]; score:1.000000; title:DeVos Place Convention Center; score:1.000000
 => Gerald R. Ford:[242,256]; score:1.000000; title:Gerald Ford; score:1.000000
 => Ford:[37,41]; score:1.000000; title:Gerald Ford; score:1.000000
 => University of Michigan:[4170,4192]; score:1.000000; title:University of Michigan; score:1.000000
 => Grand River:[1745,1756]; score:1.000000; title:Grand River (Michigan); score:1.000000
 => Grand Rapids:[2051,2063]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
	FN => Ford:[4255,4259]; score:1.000000; title:Gerald Ford; score:1.000000
 => President Jimmy Carter:[963,985]; score:1.000000; title:Jimmy Carter; score:1.000000
 => Donald Rumsfeld:[833,848]; score:1.000000; title:Donald Rumsfeld; score:1.000000
	FN => President Bush:[2720,2734]; score:1.000000; title:George H. W. Bush; score:1.000000
	FN => Ford:[4153,4157]; score:1.000000; title:Gerald Ford; score:1.000000
 => Norman Rockwell:[3155,3170]; score:1.000000; title:Norman Rockwell; score:1.000000
 => President Bush:[3061,3075]; score:1.000000; title:George W. Bush; score:1.000000
	FN => Gerald R. Ford Presidential Library and Museum:[1764,1810]; score:1.000000; title:Gerald R. Ford Presidential Library; score:1.000000
 => Tom Brokaw:[2784,2794]; score:1.000000; title:Tom Brokaw; score:1.000000
	FN => Ford:[4039,4043]; score:1.000000; title:Gerald Ford; score:1.000000
 => University of Michigan:[1900,1922]; score:1.000000; title:University of Michigan; score:1.000000
 => Calif.:[4370,4376]; score:1.000000; title:California; score:1.000000
	FN => President Bush:[3124,3138]; score:1.000000; title:George H. W. Bush; score:1.000000
