[1088testa SQUASH]
***************** Gold Standard: ***********************
 => Scotland:[1864,1872]; score:1.000000
 => Sussex:[659,665]; score:1.000000
 => ENGLISH COUNTY CHAMPIONSHIP:[9,36]; score:1.000000
 => Leicestershire:[156,170]; score:1.000000
 => D. Bicknell:[636,647]; score:1.000000
 => I. Austin:[699,708]; score:1.000000
 => Hampshire:[831,840]; score:1.000000
 => Glamorgan:[328,337]; score:1.000000
 => J. Ratcliffe:[619,631]; score:1.000000
 => Gorman:[934,940]; score:1.000000
 => Surrey:[555,561]; score:1.000000
 => M. Gatting:[815,825]; score:1.000000
 => LONDON:[45,51]; score:1.000000
 => D. Blenkiron:[377,389]; score:1.000000
 => K. Barnett:[954,964]; score:1.000000
 => G. Kersey:[605,614]; score:1.000000
 => Kent:[506,510]; score:1.000000
 => H. Morris:[363,372]; score:1.000000
 => Lancashire:[716,726]; score:1.000000
 => Tunbridge Wells:[435,450]; score:1.000000
 => The Oval:[526,534]; score:1.000000
 => Northamptonshire:[1048,1064]; score:1.000000
 => Hove:[653,657]; score:1.000000
 => J. Adams:[916,924]; score:1.000000
 => Warwickshire:[537,549]; score:1.000000
 => Middlesex:[758,767]; score:1.000000
 => P. Johnson:[473,483]; score:1.000000
 => Nottinghamshire:[452,467]; score:1.000000
 => W. Athey:[671,679]; score:1.000000
 => Worcestershire:[870,884]; score:1.000000
 => M. McCague:[488,498]; score:1.000000
 => P. Simmons:[233,243]; score:1.000000
 => Portsmouth:[746,756]; score:1.000000
 => Somerset:[297,305]; score:1.000000
 => J. Pooley:[781,790]; score:1.000000
 => Leicester:[145,154]; score:1.000000
 => Leicestershire:[251,265]; score:1.000000
 => M. Ramprakash:[796,809]; score:1.000000
 => S. Watkin:[409,418]; score:1.000000
 => C. Lewis:[569,577]; score:1.000000
 => Bristol:[984,991]; score:1.000000
 => Gloucestershire:[993,1008]; score:1.000000
 => A. Smith:[1084,1092]; score:1.000000
 => J. Russell:[1024,1034]; score:1.000000
 => W. Hegg:[734,741]; score:1.000000
 => A. Dale:[351,358]; score:1.000000
 => Derbyshire:[900,910]; score:1.000000
 => English:[98,105]; score:1.000000
P/R/F:1.0/0.9655172/0.9824561; tpCount:56.0; fpCount:0.0; fnCount:2.0
[1021testa Indian]
***************** Gold Standard: ***********************
 => Bombay Commodities:[673,691]; score:1.000000
 => Hindustan Copper:[417,433]; score:1.000000
 => Hindustan Copper Ltd:[184,204]; score:1.000000
 => BOMBAY:[47,53]; score:1.000000
 => Indian:[0,6]; score:1.000000
 => Indian:[65,71]; score:1.000000

************************ System Result: ***************************
 => Bombay Commodities:[673,691]; score:1.000000
 => Hindustan Copper:[417,433]; score:1.000000
 => Hindustan Copper Ltd:[184,204]; score:1.000000
 => BOMBAY:[47,53]; score:1.000000
 => Indian:[0,6]; score:1.000000
 => Indian:[65,71]; score:1.000000
P/R/F:1.0/1.0/1.0; tpCount:6.0; fpCount:0.0; fnCount:0.0
[961testa TENNIS]
***************** Gold Standard: ***********************
 => NEW YORK:[73,81]; score:1.000000
 => Washington:[1675,1685]; score:1.000000
 => Chilean:[618,625]; score:1.000000
 => India:[808,813]; score:1.000000
 => Washington:[271,281]; score:1.000000
 => Washington:[1169,1179]; score:1.000000
 => MaliVai Washington:[158,176]; score:1.000000
 => Tarango:[3059,3066]; score:1.000000
 => Wimbledon:[310,319]; score:1.000000
 => O'Brien:[1780,1787]; score:1.000000
 => Andre Agassi:[93,105]; score:1.000000
 => New Haven:[1082,1091]; score:1.000000
 => Rios:[3542,3546]; score:1.000000
 => Rios:[2392,2396]; score:1.000000
 => Rios:[3035,3039]; score:1.000000
 => Tarango:[2175,2182]; score:1.000000
 => TARANGO:[8,15]; score:1.000000
 => Alex O'Brien:[368,380]; score:1.000000
 => U.S.:[1515,1519]; score:1.000000
 => Wimbledon:[977,986]; score:1.000000
 => Tarango:[3471,3478]; score:1.000000
 => O'BRIEN:[17,24]; score:1.000000
 => Rios:[495,499]; score:1.000000
 => All-England Club:[2299,2315]; score:1.000000
 => O'Brien:[1047,1054]; score:1.000000
 => Tarango:[2585,2592]; score:1.000000
 => Larry Fine:[62,72]; score:1.000000
 => Washington:[2111,2121]; score:1.000000
 => Tarango:[3614,3621]; score:1.000000
 => Tarango:[2848,2855]; score:1.000000
 => Washington:[1606,1616]; score:1.000000
 => Chilean:[2468,2475]; score:1.000000
 => Agassi:[713,719]; score:1.000000
 => American:[2702,2710]; score:1.000000
 => U.S. Open:[244,253]; score:1.000000
 => Todd Martin:[958,969]; score:1.000000
 => O'Brien:[1344,1351]; score:1.000000
 => Washington:[870,880]; score:1.000000
 => Wimbledon:[139,148]; score:1.000000
 => American:[3371,3379]; score:1.000000
 => Leander Paes:[816,828]; score:1.000000
 => Jeff Tarango:[561,573]; score:1.000000
 => Wimbledon:[2190,2199]; score:1.000000
 => Texan:[1804,1809]; score:1.000000
 => Marcelo Rios:[181,193]; score:1.000000
 => Wimbledon:[530,539]; score:1.000000
 => Rios:[3118,3122]; score:1.000000
 => Washington:[1910,1920]; score:1.000000
 => O'Brien:[1497,1504]; score:1.000000
 => American:[2496,2504]; score:1.000000

************************ System Result: ***************************
 => NEW YORK:[73,81]; score:1.000000
 => Washington:[1675,1685]; score:1.000000
 => Chilean:[618,625]; score:1.000000
 => India:[808,813]; score:1.000000
 => Washington:[271,281]; score:1.000000
 => Washington:[1169,1179]; score:1.000000
 => MaliVai Washington:[158,176]; score:1.000000
 => Tarango:[3059,3066]; score:1.000000
 => Wimbledon:[310,319]; score:1.000000
 => O'Brien:[1780,1787]; score:1.000000
 => Andre Agassi:[93,105]; score:1.000000
 => New Haven:[1082,1091]; score:1.000000
 => Rios:[3542,3546]; score:1.000000
 => Rios:[2392,2396]; score:1.000000
 => Rios:[3035,3039]; score:1.000000
 => Tarango:[2175,2182]; score:1.000000
 => TARANGO:[8,15]; score:1.000000
 => Alex O'Brien:[368,380]; score:1.000000
 => U.S.:[1515,1519]; score:1.000000
 => Wimbledon:[977,986]; score:1.000000
 => Tarango:[3471,3478]; score:1.000000
 => O'BRIEN:[17,24]; score:1.000000
 => Rios:[495,499]; score:1.000000
 => All-England Club:[2299,2315]; score:1.000000
 => O'Brien:[1047,1054]; score:1.000000
 => Tarango:[2585,2592]; score:1.000000
 => Larry Fine:[62,72]; score:1.000000
 => Washington:[2111,2121]; score:1.000000
 => Tarango:[3614,3621]; score:1.000000
 => Tarango:[2848,2855]; score:1.000000
 => Washington:[1606,1616]; score:1.000000
 => Chilean:[2468,2475]; score:1.000000
 => Agassi:[713,719]; score:1.000000
 => American:[2702,2710]; score:1.000000
 => U.S. Open:[244,253]; score:1.000000
	FP => Stadium:[441,448]; score:1.000000
 => Todd Martin:[958,969]; score:1.000000
 => O'Brien:[1344,1351]; score:1.000000
 => Washington:[870,880]; score:1.000000
 => Wimbledon:[139,148]; score:1.000000
 => American:[3371,3379]; score:1.000000
 => Leander Paes:[816,828]; score:1.000000
 => Jeff Tarango:[561,573]; score:1.000000
 => Wimbledon:[2190,2199]; score:1.000000
 => Texan:[1804,1809]; score:1.000000
 => Marcelo Rios:[181,193]; score:1.000000
 => Wimbledon:[530,539]; score:1.000000
 => Rios:[3118,3122]; score:1.000000
 => Washington:[1910,1920]; score:1.000000
 => O'Brien:[1497,1504]; score:1.000000
 => American:[2496,2504]; score:1.000000
P/R/F:0.98039216/1.0/0.99009895; tpCount:50.0; fpCount:1.0; fnCount:0.0
[974testa CRICKET]
***************** Gold Standard: ***********************
 => AUSTRALIA:[9,18]; score:1.000000
 => COLOMBO:[50,57]; score:1.000000
 => Australia:[69,78]; score:1.000000
 => Sri Lanka:[133,142]; score:1.000000
 => SRI LANKA:[39,48]; score:1.000000
 => Singer World Series:[193,212]; score:1.000000

************************ System Result: ***************************
 => AUSTRALIA:[9,18]; score:1.000000
 => COLOMBO:[50,57]; score:1.000000
 => Australia:[69,78]; score:1.000000
 => Sri Lanka:[133,142]; score:1.000000
 => SRI LANKA:[39,48]; score:1.000000
 => Singer World Series:[193,212]; score:1.000000
P/R/F:1.0/1.0/1.0; tpCount:6.0; fpCount:0.0; fnCount:0.0
[958testa TENNIS]
***************** Gold Standard: ***********************
 => Pete Sampras:[1484,1496]; score:1.000000
 => Alex Corretja:[1203,1216]; score:1.000000
 => Madagascar:[2064,2074]; score:1.000000
 => Slovakia:[1878,1886]; score:1.000000
 => Sweden:[2196,2202]; score:1.000000
 => Czech Republic:[1949,1963]; score:1.000000
 => U.S.:[1498,1502]; score:1.000000
 => Monica Seles:[2019,2031]; score:1.000000
 => Linda Wild:[1315,1325]; score:1.000000
 => Spain:[1218,1223]; score:1.000000
 => Bohdan Ulihrach:[1932,1947]; score:1.000000
 => Australia:[1607,1616]; score:1.000000
 => France:[933,939]; score:1.000000
 => Spain:[971,976]; score:1.000000
 => David Rikl:[563,573]; score:1.000000
 => Helena Sukova:[983,996]; score:1.000000
 => U.S.:[2033,2037]; score:1.000000
 => Bernd Karbacher:[2209,2224]; score:1.000000
 => Britain:[410,417]; score:1.000000
 => Netherlands:[545,556]; score:1.000000
 => Netherlands:[1572,1583]; score:1.000000
 => Filippo Veglio:[1230,1244]; score:1.000000
 => South Africa:[1038,1050]; score:1.000000
 => Lindsay Davenport:[884,901]; score:1.000000
 => Australia:[365,374]; score:1.000000
 => Russia:[714,720]; score:1.000000
 => Germany:[2226,2233]; score:1.000000
 => Gabriela Sabatini:[1407,1424]; score:1.000000
 => Guy Forget:[604,614]; score:1.000000
 => Roberto Carretero:[1160,1177]; score:1.000000
 => Czech Republic:[998,1012]; score:1.000000
 => Jan Kroslak:[1865,1876]; score:1.000000
 => Todd Martin:[2121,2132]; score:1.000000
 => Anne-Gaelle Sidot:[914,931]; score:1.000000
 => France:[232,238]; score:1.000000
 => Petr Korda:[1900,1910]; score:1.000000
 => Sweden:[745,751]; score:1.000000
 => Czech Republic:[1521,1535]; score:1.000000
 => Sandrine Testud:[215,230]; score:1.000000
 => Alexander Volkov:[696,712]; score:1.000000
 => Paul Haarhuis:[1557,1570]; score:1.000000
 => Argentina:[1426,1435]; score:1.000000
 => U.S.:[1327,1331]; score:1.000000
 => South Africa:[825,837]; score:1.000000
 => Amanda Coetzer:[1022,1036]; score:1.000000
 => Irina Spirlea:[1057,1070]; score:1.000000
 => Russia:[508,514]; score:1.000000
 => David Nainkin:[810,823]; score:1.000000
 => Jonas Bjorkman:[781,795]; score:1.000000
 => Sjeng Schalken:[529,543]; score:1.000000
 => Tim Henman:[398,408]; score:1.000000
 => Germany:[1772,1779]; score:1.000000
 => Sweden:[1804,1810]; score:1.000000
 => Mikael Tillstrom:[727,743]; score:1.000000
 => Conchita Martinez:[952,969]; score:1.000000
 => U.S.:[2134,2138]; score:1.000000
 => Scott Draper:[351,363]; score:1.000000
 => Asa Carlsson:[1376,1388]; score:1.000000
 => Sweden:[797,803]; score:1.000000
 => Andrei Olhovskiy:[490,506]; score:1.000000
 => Doug Flach:[424,434]; score:1.000000
 => Hendrik Dreekmann:[1753,1770]; score:1.000000
 => Thomas Johansson:[1786,1802]; score:1.000000
 => Australia:[474,483]; score:1.000000
 => Czech Republic:[575,589]; score:1.000000
 => Kimberly Po:[1693,1704]; score:1.000000
 => U.S. Open Tennis Championships:[82,112]; score:1.000000
	FN => Mark Philippoussis:[454,472]; score:1.000000
 => Lisa Raymond:[1668,1680]; score:1.000000
 => Andrei Medvedev:[1834,1849]; score:1.000000
 => U.S.:[903,907]; score:1.000000
 => Michael Tebbutt:[1590,1605]; score:1.000000
 => Romania:[1072,1079]; score:1.000000
 => Barbara Rittner:[1338,1353]; score:1.000000
 => Italy:[2162,2167]; score:1.000000
 => U.S.:[1682,1686]; score:1.000000
 => Ukraine:[1851,1858]; score:1.000000
 => Stefan Edberg:[2181,2194]; score:1.000000
 => Jiri Novak:[1509,1519]; score:1.000000
 => Cedric Pioline:[1131,1145]; score:1.000000
 => Argentina:[265,274]; score:1.000000
 => National Tennis Centre:[120,142]; score:1.000000
	FN => France:[616,622]; score:1.000000
 => Ines Gorrochategui:[245,263]; score:1.000000
 => Spain:[649,654]; score:1.000000
 => Germany:[1355,1362]; score:1.000000
 => NEW YORK:[45,53]; score:1.000000
 => U.S.:[1706,1710]; score:1.000000
 => Sweden:[1390,1396]; score:1.000000
 => Croatia:[337,344]; score:1.000000
 => Czech Republic:[1912,1926]; score:1.000000
 => Dally Randriantefy:[2044,2062]; score:1.000000
 => Felix Mantilla:[633,647]; score:1.000000
 => Goran Ivanisevic:[319,335]; score:1.000000
 => U.S.:[436,440]; score:1.000000
 => Andrea Gaudenzi:[2145,2160]; score:1.000000
 => Switzerland:[1246,1257]; score:1.000000
 => France:[1147,1153]; score:1.000000
 => Spain:[1179,1184]; score:1.000000
 => U.S. OPEN:[34,43]; score:1.000000

************************ System Result: ***************************
 => Pete Sampras:[1484,1496]; score:1.000000
 => Alex Corretja:[1203,1216]; score:1.000000
 => Madagascar:[2064,2074]; score:1.000000
 => Slovakia:[1878,1886]; score:1.000000
 => Sweden:[2196,2202]; score:1.000000
 => Czech Republic:[1949,1963]; score:1.000000
 => U.S.:[1498,1502]; score:1.000000
 => Monica Seles:[2019,2031]; score:1.000000
 => Linda Wild:[1315,1325]; score:1.000000
 => Spain:[1218,1223]; score:1.000000
 => Bohdan Ulihrach:[1932,1947]; score:1.000000
 => Australia:[1607,1616]; score:1.000000
 => France:[933,939]; score:1.000000
 => Spain:[971,976]; score:1.000000
 => David Rikl:[563,573]; score:1.000000
 => Helena Sukova:[983,996]; score:1.000000
 => U.S.:[2033,2037]; score:1.000000
 => Bernd Karbacher:[2209,2224]; score:1.000000
 => Britain:[410,417]; score:1.000000
 => Netherlands:[545,556]; score:1.000000
 => Netherlands:[1572,1583]; score:1.000000
 => Filippo Veglio:[1230,1244]; score:1.000000
 => South Africa:[1038,1050]; score:1.000000
 => Lindsay Davenport:[884,901]; score:1.000000
 => Australia:[365,374]; score:1.000000
 => Russia:[714,720]; score:1.000000
 => Germany:[2226,2233]; score:1.000000
 => Gabriela Sabatini:[1407,1424]; score:1.000000
 => Guy Forget:[604,614]; score:1.000000
 => Roberto Carretero:[1160,1177]; score:1.000000
 => Czech Republic:[998,1012]; score:1.000000
 => Jan Kroslak:[1865,1876]; score:1.000000
 => Todd Martin:[2121,2132]; score:1.000000
 => Anne-Gaelle Sidot:[914,931]; score:1.000000
 => France:[232,238]; score:1.000000
 => Petr Korda:[1900,1910]; score:1.000000
 => Sweden:[745,751]; score:1.000000
 => Czech Republic:[1521,1535]; score:1.000000
 => Sandrine Testud:[215,230]; score:1.000000
 => Alexander Volkov:[696,712]; score:1.000000
 => Paul Haarhuis:[1557,1570]; score:1.000000
 => Argentina:[1426,1435]; score:1.000000
 => U.S.:[1327,1331]; score:1.000000
 => South Africa:[825,837]; score:1.000000
 => Amanda Coetzer:[1022,1036]; score:1.000000
 => Irina Spirlea:[1057,1070]; score:1.000000
 => Russia:[508,514]; score:1.000000
 => David Nainkin:[810,823]; score:1.000000
 => Jonas Bjorkman:[781,795]; score:1.000000
 => Sjeng Schalken:[529,543]; score:1.000000
 => Tim Henman:[398,408]; score:1.000000
 => Germany:[1772,1779]; score:1.000000
 => Sweden:[1804,1810]; score:1.000000
 => Mikael Tillstrom:[727,743]; score:1.000000
 => Conchita Martinez:[952,969]; score:1.000000
 => U.S.:[2134,2138]; score:1.000000
 => Scott Draper:[351,363]; score:1.000000
 => Asa Carlsson:[1376,1388]; score:1.000000
 => Sweden:[797,803]; score:1.000000
 => Andrei Olhovskiy:[490,506]; score:1.000000
 => Doug Flach:[424,434]; score:1.000000
 => Hendrik Dreekmann:[1753,1770]; score:1.000000
 => Thomas Johansson:[1786,1802]; score:1.000000
 => Australia:[474,483]; score:1.000000
 => Czech Republic:[575,589]; score:1.000000
 => Kimberly Po:[1693,1704]; score:1.000000
 => U.S. Open Tennis Championships:[82,112]; score:1.000000
 => Lisa Raymond:[1668,1680]; score:1.000000
 => Andrei Medvedev:[1834,1849]; score:1.000000
 => U.S.:[903,907]; score:1.000000
 => Michael Tebbutt:[1590,1605]; score:1.000000
 => Romania:[1072,1079]; score:1.000000
 => Barbara Rittner:[1338,1353]; score:1.000000
 => Italy:[2162,2167]; score:1.000000
 => U.S.:[1682,1686]; score:1.000000
 => Ukraine:[1851,1858]; score:1.000000
 => Stefan Edberg:[2181,2194]; score:1.000000
 => Jiri Novak:[1509,1519]; score:1.000000
 => Cedric Pioline:[1131,1145]; score:1.000000
 => Argentina:[265,274]; score:1.000000
 => National Tennis Centre:[120,142]; score:1.000000
 => Ines Gorrochategui:[245,263]; score:1.000000
 => Spain:[649,654]; score:1.000000
 => Germany:[1355,1362]; score:1.000000
 => NEW YORK:[45,53]; score:1.000000
 => U.S.:[1706,1710]; score:1.000000
 => Sweden:[1390,1396]; score:1.000000
 => Croatia:[337,344]; score:1.000000
 => Czech Republic:[1912,1926]; score:1.000000
 => Dally Randriantefy:[2044,2062]; score:1.000000
 => Felix Mantilla:[633,647]; score:1.000000
 => Goran Ivanisevic:[319,335]; score:1.000000
 => U.S.:[436,440]; score:1.000000
 => Andrea Gaudenzi:[2145,2160]; score:1.000000
 => Switzerland:[1246,1257]; score:1.000000
 => France:[1147,1153]; score:1.000000
 => Spain:[1179,1184]; score:1.000000
 => U.S. OPEN:[34,43]; score:1.000000
P/R/F:1.0/0.98/0.989899; tpCount:98.0; fpCount:0.0; fnCount:2.0
[975testa CRICKET]
***************** Gold Standard: ***********************
 => Australia:[233,242]; score:1.000000
 => Romesh Kaluwitharana:[471,491]; score:1.000000
 => Upul Chandana:[624,637]; score:1.000000
 => Muthiah Muralitharan:[602,622]; score:1.000000
 => Kumara Dharmasena:[568,585]; score:1.000000
 => COLOMBO:[47,54]; score:1.000000
 => Sri Lanka:[116,125]; score:1.000000
 => Ian Healy:[244,253]; score:1.000000
 => Aravinda de Silva:[511,528]; score:1.000000
 => Sanath Jayasuriya:[452,469]; score:1.000000
 => Michael Slater:[356,370]; score:1.000000
 => Arjuna Ranatunga:[424,440]; score:1.000000
 => Australia:[66,75]; score:1.000000
 => Glenn McGrath:[326,339]; score:1.000000
 => Michael Bevan:[265,278]; score:1.000000
 => Asanka Gurusinha:[493,509]; score:1.000000
 => Chaminda Vaas:[587,600]; score:1.000000
 => Hashan Tillekeratne:[530,549]; score:1.000000
 => AUSTRALIA:[9,18]; score:1.000000
 => Steve Waugh:[400,411]; score:1.000000
 => Darren Lehmann:[372,386]; score:1.000000
 => Ricky Ponting:[341,354]; score:1.000000
 => Damien Flemming:[280,295]; score:1.000000
 => Stuart Law:[314,324]; score:1.000000
 => Singer:[184,190]; score:1.000000
 => Sri Lanka:[413,422]; score:1.000000
 => Roshan Mahanama:[551,566]; score:1.000000
 => Jason Gillespie:[297,312]; score:1.000000
 => Mark Waugh:[388,398]; score:1.000000

************************ System Result: ***************************
 => Australia:[233,242]; score:1.000000
 => Romesh Kaluwitharana:[471,491]; score:1.000000
 => Upul Chandana:[624,637]; score:1.000000
 => Muthiah Muralitharan:[602,622]; score:1.000000
 => Kumara Dharmasena:[568,585]; score:1.000000
 => COLOMBO:[47,54]; score:1.000000
 => Sri Lanka:[116,125]; score:1.000000
 => Ian Healy:[244,253]; score:1.000000
 => Aravinda de Silva:[511,528]; score:1.000000
 => Sanath Jayasuriya:[452,469]; score:1.000000
