[APW19980903_1073.htm]
***************** Gold Standard: ***********************
	FN => Viktor Klima:[664,676]; score:1.000000; title:Viktor Klima; score:1.000000
 => Adolf Hitler:[1284,1296]; score:1.000000; title:Adolf_Hitler; score:0.181670
	FP => billion:[1004,1011]; score:1.000000; title:Long_and_short_scales; score:0.081566
	FP => officials:[297,306]; score:1.000000; title:Official; score:0.064354
	FP => Europe.:[882,889]; score:1.000000; title:Europe; score:0.134773
	FP => works:[1175,1180]; score:1.000000; title:Work_of_art; score:0.080229
	FP => billions:[808,816]; score:1.000000; title:1000000000_(number); score:0.219229
	FP => Museum:[509,515]; score:1.000000; title:Museum; score:0.177232
	FP => museums:[1119,1126]; score:1.000000; title:Museum; score:0.177232
	FP => art:[555,558]; score:1.000000; title:Art; score:0.127155
	FP => Secretary of State:[104,122]; score:1.000000; title:United_States_Secretary_of_State; score:0.199900
 => Moscow:[401,407]; score:1.000000; title:Moscow; score:0.111937
	FP => World War II:[1371,1383]; score:1.000000; title:World_War_II; score:0.177595
	FP => Germany:[1302,1309]; score:1.000000; title:Nazi_Germany; score:0.169254
	FP => tracking:[1244,1252]; score:1.000000; title:Tracking_shot; score:0.024622
	FP => U.S.:[568,572]; score:1.000000; title:United_States; score:0.131744
	FP => Austria:[726,733]; score:1.000000; title:Austria; score:0.330796
	FP => nations:[766,773]; score:1.000000; title:Nation; score:0.137192
	FP => commission:[427,437]; score:1.000000; title:European_Commission; score:0.196933
	FP => drive:[790,795]; score:1.000000; title:Lake_Shore_Drive; score:0.045812
	FP => current:[936,943]; score:1.000000; title:Current_TV; score:0.048192
	FP => Austrian:[288,296]; score:1.000000; title:Austrian_Empire; score:0.280009
	FP => worldwide:[1221,1230]; score:1.000000; title:Beyoncé_Knowles; score:0.056022
	FP => Austrian president:[3,21]; score:1.000000; title:President_of_Austria; score:0.214173
 => Nazis:[276,281]; score:1.000000; title:Nazism; score:0.160853
	FP => database:[1231,1239]; score:1.000000; title:Database; score:0.063979
	FP => art:[837,840]; score:1.000000; title:Art; score:0.127155
 => Austria:[76,83]; score:1.000000; title:Austria; score:0.330796
	FP => government:[168,178]; score:1.000000; title:Government; score:0.124924
	FP => summit:[410,416]; score:1.000000; title:Summit_(meeting); score:0.083102
P/R/F:0.12328767/0.6/0.20454545; tpCount:9.0; fpCount:64.0; fnCount:6.0
[APW19980604_0787.htm]
***************** Gold Standard: ***********************
	FN => executives:[377,387]; score:1.000000; title:Chief executive officer; score:1.000000
	FN => banks:[405,410]; score:1.000000; title:Bank; score:1.000000
 => corporate ethics:[129,145]; score:1.000000; title:Business ethics; score:1.000000
 => Thai people:[766,777]; score:1.000000; title:Thai people; score:1.000000
 => finance:[418,425]; score:1.000000; title:Finance; score:1.000000
	FN => SET:[75,78]; score:1.000000; title:SET Index; score:1.000000
 => newspapers:[844,854]; score:1.000000; title:Newspaper; score:1.000000
 => TV stations:[862,873]; score:1.000000; title:Television channel; score:1.000000
	FN => justice system:[610,624]; score:1.000000; title:Legal systems of the world; score:1.000000
	FN => Viravaidya:[14,24]; score:1.000000; title:Mechai Viravaidya; score:1.000000
 => Bank of Thailand:[543,559]; score:1.000000; title:Bank of Thailand; score:1.000000
	FN => lifestyle:[354,363]; score:1.000000; title:Lifestyle; score:1.000000

************************ System Result: ***************************
 => Thai people:[766,777]; score:1.000000; title:Thai_people; score:0.144757
	FP => companies:[428,437]; score:1.000000; title:Company; score:0.138531
	FP => subscribe:[232,241]; score:1.000000; title:Subscription_business_model; score:0.041100
	FP => media:[330,335]; score:1.000000; title:Mass_media; score:0.170405
	FP => seminar:[1202,1209]; score:1.000000; title:Seminar; score:0.072280
	FP => issues:[1329,1335]; score:1.000000; title:Issues_(Korn_album); score:0.007366
	FP => punish:[798,804]; score:1.000000; title:Punishment; score:0.176213
	FP => mail:[214,218]; score:1.000000; title:Mail; score:0.097336
	FP => monitor:[66,73]; score:1.000000; title:Monitor_Group; score:0.074228
	FP => SET:[75,78]; score:1.000000; title:Set_(mythology); score:0.036534
	FP => job:[782,785]; score:1.000000; title:Job_(role); score:0.124060
	FP => attention:[978,987]; score:1.000000; title:Attention; score:0.049293
	FP => public:[971,977]; score:1.000000; title:Public; score:0.098979
 => newspapers:[844,854]; score:1.000000; title:Newspaper; score:0.109588
	FP => people:[471,477]; score:1.000000; title:People; score:0.121002
	FP => justice:[610,617]; score:1.000000; title:Justice; score:0.179560
	FP => socially:[789,797]; score:1.000000; title:Society; score:0.097527
	FP => company:[249,256]; score:1.000000; title:Company; score:0.138531
	FP => play:[875,879]; score:1.000000; title:Play_(theatre); score:0.063081
	FP => reward:[1365,1371]; score:1.000000; title:Some_Great_Reward; score:0.020849
	FP => report:[339,345]; score:1.000000; title:Explosion; score:0.070748
	FP => issue:[888,893]; score:1.000000; title:Issue_tracking_system; score:0.040235
	FP => expose:[102,108]; score:1.000000; title:Investigative_journalism; score:0.121082
	FP => evidence:[576,584]; score:1.000000; title:Evidence_(law); score:0.085168
	FP => collecting:[565,575]; score:1.000000; title:Collecting; score:0.056632
	FP => media:[1288,1293]; score:1.000000; title:Mass_media; score:0.170405
	FP => blessing:[1057,1065]; score:1.000000; title:Lee_Blessing; score:0.012720
	FP => support:[302,309]; score:1.000000; title:Support_group; score:0.050633
	FP => financial:[1355,1364]; score:1.000000; title:Finance; score:0.141119
	FP => Telephone:[1239,1248]; score:1.000000; title:Telephone; score:0.086160
 => corporate ethics:[129,145]; score:1.000000; title:Business_ethics; score:0.118037
	FP => watchdog:[46,54]; score:1.000000; title:Watchdog_journalism; score:0.074206
	FP => citizen:[1107,1114]; score:1.000000; title:Citizens_Financial_Group; score:0.139357
	FP => Thai:[1102,1106]; score:1.000000; title:Thailand; score:0.169617
	FP => justice:[648,655]; score:1.000000; title:Justice; score:0.179560
	FP => salary:[1037,1043]; score:1.000000; title:Salary; score:0.115583
	FP => discover:[682,690]; score:1.000000; title:Discover_Card; score:0.067188
	FP => lifestyle:[354,363]; score:1.000000; title:Lifestyle_(sociology); score:0.110497
	FP => Organisation:[1249,1261]; score:1.000000; title:Organization; score:0.103730
	FP => plan:[29,33]; score:1.000000; title:401(k); score:0.067057
 => finance:[418,425]; score:1.000000; title:Finance; score:0.141119
	FP => lifestyle:[919,928]; score:1.000000; title:Lifestyle_(sociology); score:0.110497
	FP => shares:[259,265]; score:1.000000; title:Share_(finance); score:0.101237
	FP => plan:[1217,1221]; score:1.000000; title:401(k); score:0.067057
	FP => ordinary:[1093,1101]; score:1.000000; title:Ordinary; score:0.032618
	FP => legally:[499,506]; score:1.000000; title:Law; score:0.125959
 => TV stations:[862,873]; score:1.000000; title:Television_channel; score:0.096356
	FP => media:[667,672]; score:1.000000; title:Mass_media; score:0.170405
	FP => job:[675,678]; score:1.000000; title:Job_(role); score:0.124060
	FP => duty:[1310,1314]; score:1.000000; title:Duty_of_care; score:0.062285
	FP => company:[55,62]; score:1.000000; title:Company; score:0.138531
	FP => Thailand:[1265,1273]; score:1.000000; title:Thailand; score:0.169617
	FP => listed companies:[81,97]; score:1.000000; title:Public_company; score:0.149913
	FP => June 7:[1225,1231]; score:1.000000; title:June_7; score:0.048044
	FP => cover:[1318,1323]; score:1.000000; title:Undercover; score:0.097582
	FP => abuses:[118,124]; score:1.000000; title:Abuse; score:0.089465
	FP => hard:[1025,1029]; score:1.000000; title:Hardness; score:0.007017
 => Bank of Thailand:[543,559]; score:1.000000; title:Bank_of_Thailand; score:0.252423
P/R/F:0.10344828/0.5/0.17142858; tpCount:6.0; fpCount:52.0; fnCount:6.0
[APW19990203_0315.htm]
***************** Gold Standard: ***********************
 => antiquities:[344,355]; score:1.000000; title:Antiquities; score:1.000000
	FN => thefts:[1176,1182]; score:1.000000; title:Art theft; score:1.000000
	FN => Greek:[778,783]; score:1.000000; title:Ancient Greece; score:1.000000
	FN => torso:[572,577]; score:1.000000; title:Torso; score:1.000000
 => Italy:[135,140]; score:1.000000; title:Italy; score:1.000000
 => archaeological site:[546,565]; score:1.000000; title:Archaeological site; score:1.000000
	FN => B.C.:[487,491]; score:1.000000; title:Anno Domini; score:1.000000
 => works of art:[116,128]; score:1.000000; title:Work of art; score:1.000000
	FN => Roman:[750,755]; score:1.000000; title:Ancient Rome; score:1.000000
 => sculpture:[190,199]; score:1.000000; title:Sculpture; score:1.000000
 => collection:[214,224]; score:1.000000; title:Collection (museum); score:1.000000
	FN => 2nd century:[612,623]; score:1.000000; title:2nd century; score:1.000000
 => looting:[1228,1235]; score:1.000000; title:Looting; score:1.000000
	FN => LOS ANGELES:[38,49]; score:1.000000; title:Los Angeles, California; score:1.000000
	FN => Brentwood:[1322,1331]; score:1.000000; title:Brentwood, Los Angeles, California; score:1.000000
	FN => The J. Paul Getty Museum:[61,85]; score:1.000000; title:Getty Center; score:1.000000
	FN => excavated:[525,534]; score:1.000000; title:Excavation; score:1.000000
	FN => Mithras:[592,599]; score:1.000000; title:Mithraic Mysteries; score:1.000000

************************ System Result: ***************************
	FP => museum:[329,335]; score:1.000000; title:Museum; score:0.325216
	FP => loaned:[315,321]; score:1.000000; title:Loan; score:0.052242
	FP => terra cotta:[452,463]; score:1.000000; title:Terracotta; score:0.240070
	FP => victorious:[715,725]; score:1.000000; title:Victorious; score:0.012210
	FP => worth:[941,946]; score:1.000000; title:Net_worth; score:0.018393
 => works of art:[116,128]; score:1.000000; title:Work_of_art; score:0.119113
	FP => years:[234,239]; score:1.000000; title:Millennium; score:0.135546
	FP => Roman:[750,755]; score:1.000000; title:Roman_Britain; score:0.183054
	FP => Return:[13,19]; score:1.000000; title:Rate_of_return; score:0.038069
	FP => International:[1122,1135]; score:1.000000; title:International; score:0.069024
	FP => Monday:[415,421]; score:1.000000; title:Rick_Monday; score:0.010308
	FP => works:[982,987]; score:1.000000; title:Work_of_art; score:0.119113
	FP => ancient:[107,114]; score:1.000000; title:Ancient_history; score:0.167654
	FP => experts:[1051,1058]; score:1.000000; title:Expert; score:0.076825
	FP => exhibit:[358,365]; score:1.000000; title:Exhibition; score:0.149986
	FP => dollar:[1281,1287]; score:1.000000; title:Dollars_Trilogy; score:0.037979
	FP => concern:[1136,1143]; score:1.000000; title:Concern_Worldwide; score:0.019136
 => Italy:[135,140]; score:1.000000; title:Italy; score:0.191084
	FP => work:[786,790]; score:1.000000; title:Work_of_art; score:0.119113
	FP => sat:[202,205]; score:1.000000; title:Satellite; score:0.056509
	FP => J. Paul Getty Museum:[65,85]; score:1.000000; title:J._Paul_Getty_Museum; score:0.281693
	FP => Italy:[270,275]; score:1.000000; title:Italy; score:0.191084
	FP => Getty:[406,411]; score:1.000000; title:J._Paul_Getty_Museum; score:0.281693
	FP => thefts:[1176,1182]; score:1.000000; title:Theft; score:0.056234
	FP => Greek:[778,783]; score:1.000000; title:Greeks; score:0.137458
 => collection:[214,224]; score:1.000000; title:Collection_(museum); score:0.225173
	FP => flown:[261,266]; score:1.000000; title:Flight; score:0.036314
	FP => Museum:[3,9]; score:1.000000; title:J._Paul_Getty_Museum; score:0.281693
	FP => archaeological sites:[1241,1261]; score:1.000000; title:Archaeological_site; score:0.368850
	FP => private:[660,667]; score:1.000000; title:Private_(rank); score:0.067011
	FP => security:[876,884]; score:1.000000; title:Security; score:0.042238
	FP => this week:[276,285]; score:1.000000; title:BBC_News; score:0.043478
	FP => (AP):[52,56]; score:1.000000; title:Associated_Press; score:0.080070
	FP => Italian:[668,675]; score:1.000000; title:Italian_language; score:0.157228
	FP => museum:[1288,1294]; score:1.000000; title:Museum; score:0.325216
	FP => head:[705,709]; score:1.000000; title:Head_(company); score:0.053020
	FP => cup:[473,476]; score:1.000000; title:Cambridge_University_Press; score:0.102415
	FP => Brentwood:[1322,1331]; score:1.000000; title:Brentwood,_Tennessee; score:0.047919
	FP => excavation:[854,864]; score:1.000000; title:Excavation_(archaeology); score:0.455020
	FP => area:[1333,1337]; score:1.000000; title:Area_(band); score:0.047705
 => looting:[1228,1235]; score:1.000000; title:Looting; score:0.179368
	FP => billion:[1273,1280]; score:1.000000; title:Long_and_short_scales; score:0.006122
	FP => art:[1198,1201]; score:1.000000; title:Art; score:0.185561
	FP => Works:[29,34]; score:1.000000; title:Work_of_art; score:0.119113
	FP => museum:[898,904]; score:1.000000; title:Museum; score:0.325216
	FP => athlete:[726,733]; score:1.000000; title:Sportsperson; score:0.061162
 => antiquities:[344,355]; score:1.000000; title:Antiquities; score:0.281925
	FP => drinking:[464,472]; score:1.000000; title:Drinking; score:0.022156
 => archaeological site:[546,565]; score:1.000000; title:Archaeological_site; score:0.368850
	FP => collection:[676,686]; score:1.000000; title:Collection_(museum); score:0.225173
	FP => god:[587,590]; score:1.000000; title:God; score:0.068475
 => sculpture:[190,199]; score:1.000000; title:Sculpture; score:0.203298
	FP => priceless:[1188,1197]; score:1.000000; title:Ted_DiBiase,_Jr.; score:0.010158
	FP => scientific:[843,853]; score:1.000000; title:Science; score:0.103332
	FP => return:[1006,1012]; score:1.000000; title:Rate_of_return; score:0.038069
	FP => Italian:[1097,1104]; score:1.000000; title:Italian_language; score:0.157228
	FP => Getty:[989,994]; score:1.000000; title:J._Paul_Getty_Museum; score:0.281693
	FP => field:[1066,1071]; score:1.000000; title:Field_Museum_of_Natural_History; score:0.225181
	FP => officials:[1105,1114]; score:1.000000; title:Official; score:0.016760
	FP => hill:[1309,1313]; score:1.000000; title:Hill; score:0.064365
P/R/F:0.11666667/0.3888889/0.17948717; tpCount:7.0; fpCount:53.0; fnCount:11.0
[APW19981001_0866.htm]
***************** Gold Standard: ***********************
	FN => MTI:[268,271]; score:1.000000; title:Magyar Távirati Iroda; score:1.000000
 => nationalization:[398,413]; score:1.000000; title:Nationalization; score:1.000000
	FN => Vatican:[1302,1309]; score:1.000000; title:Holy See; score:1.000000
 => the Holocaust:[1024,1037]; score:1.000000; title:the Holocaust; score:1.000000
 => communist:[214,223]; score:1.000000; title:Communism; score:1.000000
 => social welfare:[824,838]; score:1.000000; title:Social welfare provision; score:1.000000
	FN => Hungarian Jewish:[122,138]; score:1.000000; title:History of the Jews in Hungary; score:1.000000
 => forints:[568,575]; score:1.000000; title:Hungarian forint; score:1.000000
	FN => Hungarian:[76,85]; score:1.000000; title:Hungary; score:1.000000

************************ System Result: ***************************
	FP => Jewish communities:[28,46]; score:1.000000; title:Judaism; score:0.108595
	FP => Jewish community:[601,617]; score:1.000000; title:Judaism; score:0.108595
	FP => property:[476,484]; score:1.000000; title:Property; score:0.066215
	FP => victim:[387,393]; score:1.000000; title:Victim_(film); score:0.000293
	FP => killed:[1013,1019]; score:1.000000; title:Murder; score:0.053209
	FP => Vatican:[1302,1309]; score:1.000000; title:Vatican_City; score:0.080229
	FP => buildings:[509,518]; score:1.000000; title:Building; score:0.052213
	FP => agreement:[1215,1224]; score:1.000000; title:Belfast_Agreement; score:0.128731
	FP => fell:[382,386]; score:1.000000; title:Fell; score:0.009388
	FP => financial:[291,300]; score:1.000000; title:Finance; score:0.068525
	FP => charity:[862,869]; score:1.000000; title:Charity_(practice); score:0.044787
	FP => money:[762,767]; score:1.000000; title:Money; score:0.060612
 => Holocaust:[1028,1037]; score:1.000000; title:The_Holocaust; score:0.139580
	FP => percentage:[643,653]; score:1.000000; title:Percentage; score:0.027712
 => social welfare:[824,838]; score:1.000000; title:Welfare; score:0.077790
	FP => real estate:[326,337]; score:1.000000; title:Real_estate; score:0.076316
	FP => kind:[1243,1247]; score:1.000000; title:Indianapolis_International_Airport; score:0.012197
	FP => Federation:[107,117]; score:1.000000; title:Federation; score:0.136589
	FP => Jewish community:[1166,1182]; score:1.000000; title:Judaism; score:0.108595
	FP => June 20:[1190,1197]; score:1.000000; title:June_20; score:0.063079
	FP => health service:[842,856]; score:1.000000; title:Health_care; score:0.079025
	FP => Communities:[141,152]; score:1.000000; title:Community; score:0.057718
	FP => year:[690,694]; score:1.000000; title:1927; score:0.073135
	FP => communists:[1053,1063]; score:1.000000; title:Communism; score:0.096867
	FP => collectively:[618,630]; score:1.000000; title:Collective; score:0.070576
	FP => education:[792,801]; score:1.000000; title:Education; score:0.069431
	FP => funding:[315,322]; score:1.000000; title:Funding; score:0.047316
	FP => current:[682,689]; score:1.000000; title:Current_TV; score:0.016739
	FP => forints:[713,720]; score:1.000000; title:Hungarian_forint; score:0.217673
	FP => Thursday:[173,181]; score:1.000000; title:Thursday_(band); score:0.008704
 => nationalization:[398,413]; score:1.000000; title:Nationalization; score:0.098549
	FP => Federation:[920,930]; score:1.000000; title:Federation; score:0.136589
	FP => communists:[426,436]; score:1.000000; title:Communism; score:0.096867
	FP => annually:[654,662]; score:1.000000; title:Year; score:0.039097
	FP => executive director:[894,912]; score:1.000000; title:Executive_director; score:0.054285
	FP => Jewish communities:[359,377]; score:1.000000; title:Judaism; score:0.108595
 => communist:[214,223]; score:1.000000; title:Communism; score:0.096867
	FP => collective:[185,195]; score:1.000000; title:Collective; score:0.070576
	FP => schools:[491,498]; score:1.000000; title:School; score:0.078271
	FP => MTI:[268,271]; score:1.000000; title:Muppet_Treasure_Island; score:0.001995
	FP => basis:[301,306]; score:1.000000; title:Basis_point; score:0.024524
	FP => wave:[1107,1111]; score:1.000000; title:Milwaukee_Wave; score:0.016556
	FP => nationalizations:[1115,1131]; score:1.000000; title:Nationalization; score:0.098549
	FP => agreement:[163,172]; score:1.000000; title:Belfast_Agreement; score:0.128731
	FP => era:[226,229]; score:1.000000; title:Equal_Rights_Amendment; score:0.049027
	FP => power:[1077,1082]; score:1.000000; title:Deity; score:0.020943
	FP => services:[813,821]; score:1.000000; title:Tertiary_sector_of_the_economy; score:0.013851
	FP => religious:[803,812]; score:1.000000; title:Religion; score:0.065830
 => forints:[568,575]; score:1.000000; title:Hungarian_forint; score:0.217673
	FP => agency:[260,266]; score:1.000000; title:International_Atomic_Energy_Agency; score:0.081176
P/R/F:0.1/0.5555556/0.16949153; tpCount:5.0; fpCount:45.0; fnCount:4.0
[APW19980627_0596.htm]
***************** Gold Standard: ***********************
	FN => Communist Party of India:[1021,1045]; score:1.000000; title:Communist Party of India; score:1.000000
	FN => Oxford University's Merton College:[826,860]; score:1.000000; title:Merton College, Oxford; score:1.000000
 => Indira Gandhi:[1178,1191]; score:1.000000; title:Indira Gandhi; score:1.000000
 => brain cancer:[191,203]; score:1.000000; title:Brain tumor; score:1.000000
	FN => Prasar Bharati:[529,543]; score:1.000000; title:Prasar Bharati; score:1.000000
 => journalism:[959,969]; score:1.000000; title:Journalism; score:1.000000
	FN => Indian newspapers:[323,340]; score:1.000000; title:List of newspapers in India; score:1.000000
 => journalist:[120,130]; score:1.000000; title:Journalist; score:1.000000
 => Politics:[261,269]; score:1.000000; title:Politics; score:1.000000
	FN => India:[98,103]; score:1.000000; title:India; score:1.000000
 => corporation:[562,573]; score:1.000000; title:Corporation; score:1.000000
 => Calcutta University:[788,807]; score:1.000000; title:University of Calcutta; score:1.000000

************************ System Result: ***************************
 => Indira Gandhi:[1178,1191]; score:1.000000; title:Indira_Gandhi; score:0.128448
	FP => Assam:[1390,1395]; score:1.000000; title:Assam; score:0.098687
	FP => magazines:[1304,1313]; score:1.000000; title:Magazine; score:0.119191
	FP => chief:[519,524]; score:1.000000; title:Chief_executive_officer; score:0.051817
	FP => graduated:[772,781]; score:1.000000; title:Graduation; score:0.065560
	FP => control:[601,608]; score:1.000000; title:Social_control; score:0.027295
 => journalism:[959,969]; score:1.000000; title:Journalism; score:0.119608
	FP => leading:[314,321]; score:1.000000; title:Leadership; score:0.043072
	FP => hospital:[218,226]; score:1.000000; title:Hospital; score:0.045237
	FP => weekly:[994,1000]; score:1.000000; title:Week; score:0.025702
	FP => censorship:[1275,1285]; score:1.000000; title:Censorship; score:0.080143
	FP => suffering:[175,184]; score:1.000000; title:Suffering; score:0.034075
	FP => journalist:[700,710]; score:1.000000; title:Journalist; score:0.135286
	FP => born:[1334,1338]; score:1.000000; title:Max_Born; score:0.029514
	FP => died:[210,214]; score:1.000000; title:Death; score:0.031420
	FP => Communist Party of India:[1021,1045]; score:1.000000; title:Communist_Party_of_India_(Marxist); score:0.108188
	FP => closed:[1116,1122]; score:1.000000; title:Closed_set; score:0.001623
	FP => England:[866,873]; score:1.000000; title:England; score:0.056445
	FP => correspondent:[975,988]; score:1.000000; title:Correspondent; score:0.084084
	FP => political:[1242,1251]; score:1.000000; title:Politics; score:0.121812
	FP => newspapers:[330,340]; score:1.000000; title:Newspaper; score:0.116820
	FP => weekly:[1138,1144]; score:1.000000; title:Week; score:0.025702
	FP => year:[484,488]; score:1.000000; title:University; score:0.098989
	FP => taught:[890,896]; score:1.000000; title:Teacher; score:0.065116
	FP => government:[590,600]; score:1.000000; title:Government; score:0.110275
	FP => columnist:[46,55]; score:1.000000; title:Columnist; score:0.084900
	FP => forte:[280,285]; score:1.000000; title:Will_Forte; score:0.013028
 => journalist:[120,130]; score:1.000000; title:Journalist; score:0.135286
 => corporation:[562,573]; score:1.000000; title:Corporation; score:0.061541
	FP => radio:[612,617]; score:1.000000; title:Radio; score:0.065735
	FP => edited:[437,443]; score:1.000000; title:Editing; score:0.103389
	FP => history:[897,904]; score:1.000000; title:History; score:0.074460
	FP => columns:[294,301]; score:1.000000; title:Column; score:0.047201
	FP => November 3:[1339,1349]; score:1.000000; title:November_3; score:0.035280
	FP => emergency rule:[1201,1215]; score:1.000000; title:State_of_emergency; score:0.059111
 => Politics:[261,269]; score:1.000000; title:Politics; score:0.121812
	FP => India's:[1360,1367]; score:1.000000; title:India; score:0.123194
 => brain cancer:[191,203]; score:1.000000; title:Brain_tumor; score:0.043270
	FP => CPI:[1072,1075]; score:1.000000; title:Communist_Party_of_India_(Marxist); score:0.108188
	FP => magazines:[347,356]; score:1.000000; title:Magazine; score:0.119191
	FP => government:[494,504]; score:1.000000; title:Government; score:0.110275
	FP => autonomous:[550,560]; score:1.000000; title:Autonomy; score:0.053854
	FP => died:[139,143]; score:1.000000; title:Death; score:0.031420
	FP => television:[622,632]; score:1.000000; title:Television; score:0.061988
	FP => Mainstream:[1127,1137]; score:1.000000; title:Mainstream; score:0.075507
	FP => top:[25,28]; score:1.000000; title:Top; score:0.020572
	FP => Calcutta University:[908,927]; score:1.000000; title:University_of_Calcutta; score:0.126609
	FP => top:[660,663]; score:1.000000; title:Top; score:0.020572
 => Calcutta University:[788,807]; score:1.000000; title:University_of_Calcutta; score:0.126609
	FP => 1930s:[935,940]; score:1.000000; title:1930s; score:0.038567
	FP => newspapers:[1289,1299]; score:1.000000; title:Newspaper; score:0.116820
	FP => Mainstream:[411,421]; score:1.000000; title:Mainstream; score:0.075507
	FP => Indian:[29,35]; score:1.000000; title:Indian_subcontinent; score:0.107711
	FP => member:[1091,1097]; score:1.000000; title:Member_of_Parliament; score:0.062648
	FP => government:[664,674]; score:1.000000; title:Government; score:0.110275
	FP => magazine:[400,408]; score:1.000000; title:Magazine; score:0.119191
	FP => award:[675,680]; score:1.000000; title:Award; score:0.051569
	FP => Oxford University:[826,843]; score:1.000000; title:University_of_Oxford; score:0.094245
	FP => dead:[57,61]; score:1.000000; title:Death; score:0.031420
	FP => Prime Minister:[1162,1176]; score:1.000000; title:Prime_minister; score:0.068345
	FP => India:[1219,1224]; score:1.000000; title:India; score:0.123194
