[VOA20001223.2000.0139]
***************** Gold Standard: ***********************
	FN => Slobodan Milosevic:[325,343]; score:1.000000; title:Slobodan Milošević; score:1.000000
	FN => Chicago O'Hare:[539,553]; score:1.000000; title:O'Hare International Airport; score:1.000000
 => Westchester County Airport:[1788,1814]; score:1.000000; title:Westchester County Airport; score:1.000000
	FN => Los Angeles International:[1664,1689]; score:1.000000; title:Los Angeles International Airport; score:1.000000

************************ System Result: ***************************
	FP => Transportation Department:[1018,1043]; score:1.000000; title:Department_of_Transportation,_Indonesia; score:1.000000
	FP => NYT:[92,95]; score:1.000000; title:Bagram_Air_Base; score:1.000000
 => South:[679,684]; score:1.000000; title:Southern_United_States; score:0.215481
	FP => New York:[1833,1841]; score:1.000000; title:New_York_Post; score:1.000000
	FP => New York:[572,580]; score:1.000000; title:New_York_Post; score:1.000000
	FP => Los Angeles International:[1664,1689]; score:1.000000; title:1910_Los_Angeles_International_Air_Meet_at_Dominguez_Field; score:1.000000
 => John Wayne Airport:[1736,1754]; score:1.000000; title:John_Wayne_Airport; score:1.000000
	FP => NYT:[48,51]; score:1.000000; title:Bagram_Air_Base; score:1.000000
 => Westchester County Airport:[1788,1814]; score:1.000000; title:Westchester_County_Airport; score:1.000000
	FP => Transportation Department:[4649,4674]; score:1.000000; title:Department_of_Transportation,_Indonesia; score:1.000000
	FP => Department of Transportation:[4828,4856]; score:1.000000; title:Department_of_Transportation,_Indonesia; score:1.000000
P/R/F:0.27272728/0.2/0.23076923; tpCount:3.0; fpCount:8.0; fnCount:12.0
[PRI20001122.2000.0320]
***************** Gold Standard: ***********************
	FN => Washington:[358,368]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => Yasser Arafat:[35,48]; score:1.000000; title:Yasser Arafat; score:1.000000
 => Corey Flintoff:[332,346]; score:1.000000; title:Corey Flintoff; score:1.000000
	FN => NPR news:[348,356]; score:1.000000; title:National Public Radio; score:1.000000

************************ System Result: ***************************
	FP => Northern Israeli:[197,213]; score:1.000000; title:Northern_Command_(Israel); score:1.000000
 => Corey Flintoff:[332,346]; score:1.000000; title:Corey_Flintoff; score:1.000000
P/R/F:0.5/0.25/0.33333334; tpCount:1.0; fpCount:1.0; fnCount:3.0
[20001015_AFP_ARB.0053.eng]
***************** Gold Standard: ***********************
	FN => Bangkok:[1700,1707]; score:1.000000; title:Bangkok; score:1.000000
	FN => Emirates:[1231,1239]; score:1.000000; title:United Arab Emirates; score:1.000000
	FN => Beirut:[2,8]; score:1.000000; title:Beirut; score:1.000000
	FN => Lebanon:[1089,1096]; score:1.000000; title:Lebanon; score:1.000000
	FN => AFP:[16,19]; score:1.000000; title:Agence France-Presse; score:1.000000
	FN => Mexico:[1362,1368]; score:1.000000; title:Mexico; score:1.000000

************************ System Result: ***************************
	FP => Machala:[1251,1258]; score:1.000000; title:Estadio_9_de_Mayo; score:1.000000
	FP => Machala:[930,937]; score:1.000000; title:Estadio_9_de_Mayo; score:1.000000
	FP => Machala:[1393,1400]; score:1.000000; title:Estadio_9_de_Mayo; score:1.000000
	FP => Kuwaiti:[1509,1516]; score:1.000000; title:Economy_of_Kuwait; score:1.000000
	FP => Machala:[574,581]; score:1.000000; title:Estadio_9_de_Mayo; score:1.000000
	FP => Continents Championship:[1328,1351]; score:1.000000; title:Four_Continents_Figure_Skating_Championships; score:1.000000
	FP => Agence France Presse:[895,915]; score:1.000000; title:Agence_France-Presse; score:1.000000
	FP => Machala:[1014,1021]; score:1.000000; title:Estadio_9_de_Mayo; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:8.0; fnCount:6.0
[PRI20001128.2000.0055]
***************** Gold Standard: ***********************
	FN => Washington State:[1925,1941]; score:1.000000; title:Washington (U.S. State); score:1.000000
	FN => NPR news:[18,26]; score:1.000000; title:National Public Radio; score:1.000000
	FN => Washington:[30,40]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => Al Gore:[863,870]; score:1.000000; title:Al Gore; score:1.000000
	FN => Miami Dade County:[513,530]; score:1.000000; title:Miami Dade County, Florida; score:1.000000
	FN => Democrats:[600,609]; score:1.000000; title:Democratic Party (United States); score:1.000000
	FN => Palm Beach County:[667,684]; score:1.000000; title:Palm Beach County, Florida; score:1.000000

************************ System Result: ***************************
	FP => Al Gore:[863,870]; score:1.000000; title:High_Performance_Computing_and_Communication_Act_of_1991; score:1.000000
	FP => Palm Beach County:[667,684]; score:1.000000; title:Jupiter_Island; score:1.000000
	FP => Sauls:[764,769]; score:1.000000; title:Christa_Sauls; score:1.000000
	FP => Corey Flintoff:[46,60]; score:1.000000; title:Corey_Flintoff; score:1.000000
	FP => KPLU:[2065,2069]; score:1.000000; title:Taylor_Eigsti; score:1.000000
	FP => US Senate:[2006,2015]; score:1.000000; title:United_States_Senate_elections,_2010; score:1.000000
	FP => Miami Dade County:[513,530]; score:1.000000; title:Burglar_alarm; score:1.000000
	FP => Corey:[389,394]; score:1.000000; title:Corey_Bell; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:8.0; fnCount:7.0
[NYT20001129.2040.0383]
***************** Gold Standard: ***********************
	FN => Supreme Court:[593,606]; score:1.000000; title:Supreme Court of Florida; score:1.000000
	FN => District Court of Appeal:[679,703]; score:1.000000; title:Florida District Courts of Appeal; score:1.000000
	FN => TALLAHASSEE:[323,334]; score:1.000000; title:Tallahassee, Florida; score:1.000000
	FN => Electoral College:[2896,2913]; score:1.000000; title:Electoral College (United States); score:1.000000
	FN => Fla.:[336,340]; score:1.000000; title:Florida; score:1.000000

************************ System Result: ***************************
	FP => Florida Supreme Court:[585,606]; score:1.000000; title:Joseph_Lancaster; score:1.000000
	FP => David Boies:[2321,2332]; score:1.000000; title:Perry_v._Schwarzenegger; score:1.000000
	FP => Al Gore:[370,377]; score:1.000000; title:High_Performance_Computing_and_Communication_Act_of_1991; score:1.000000
	FP => Florida Supreme Court:[2653,2674]; score:1.000000; title:Joseph_Lancaster; score:1.000000
	FP => Florida Supreme Court:[4157,4178]; score:1.000000; title:Joseph_Lancaster; score:1.000000
	FP => Sauls:[2364,2369]; score:1.000000; title:Christa_Sauls; score:1.000000
	FP => Fla.:[336,340]; score:1.000000; title:Seminole,_Florida; score:1.000000
	FP => NYT:[118,121]; score:1.000000; title:Bagram_Air_Base; score:1.000000
	FP => Sauls:[3047,3052]; score:1.000000; title:Christa_Sauls; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:9.0; fnCount:5.0
[VOA20001020.2100.1853]
***************** Gold Standard: ***********************
	FN => navy:[8,12]; score:1.000000; title:United States Navy; score:1.000000
 => Yemen:[93,98]; score:1.000000; title:Yemen; score:1.000000

************************ System Result: ***************************
 => Yemen:[93,98]; score:1.000000; title:Yemen; score:0.742570
P/R/F:1.0/0.5/0.6666667; tpCount:1.0; fpCount:0.0; fnCount:1.0
[20000815_AFP_ARB.0071.eng]
***************** Gold Standard: ***********************
	FN => Lebanon:[23,30]; score:1.000000; title:Lebanon; score:1.000000
	FN => Israel:[140,146]; score:1.000000; title:Israel; score:1.000000
	FN => Beirut:[2,8]; score:1.000000; title:Beirut; score:1.000000
	FN => AFP:[15,18]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
	FP => AFP:[15,18]; score:1.000000; title:UH-1N_Twin_Huey; score:1.000000
	FP => Matla:[1544,1549]; score:1.000000; title:MATLAB; score:1.000000
	FP => Agence France Presse:[823,843]; score:1.000000; title:Agence_France-Presse; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:3.0; fnCount:4.0
[20001115_AFP_ARB.0061.eng]
***************** Gold Standard: ***********************
	FN => Gaza:[2,6]; score:1.000000; title:Gaza; score:1.000000
	FN => AFP:[14,17]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
P/R/F:1.0/0.0/0.0; tpCount:0.0; fpCount:0.0; fnCount:2.0
[20001115_AFP_ARB.0065.eng]
***************** Gold Standard: ***********************
	FN => Alameen Khalifa Fahima:[1825,1847]; score:1.000000; title:Lamin Khalifah Fhimah; score:1.000000
	FN => Camp Zeist:[2,12]; score:1.000000; title:Zeist; score:1.000000
	FN => Holland:[14,21]; score:1.000000; title:Holland; score:1.000000
	FN => Amsterdam:[870,879]; score:1.000000; title:Amsterdam; score:1.000000
	FN => Soviet Union:[574,586]; score:1.000000; title:Soviet Union; score:1.000000
	FN => Abdulbasit al-Maqrahi:[1852,1873]; score:1.000000; title:Abdelbaset Ali Mohmed Al Megrahi; score:1.000000
	FN => Stockholm:[896,905]; score:1.000000; title:Stockholm; score:1.000000
	FN => Sweden:[841,847]; score:1.000000; title:Sweden; score:1.000000
	FN => Malta:[1912,1917]; score:1.000000; title:Malta; score:1.000000
	FN => Copenhagen:[881,891]; score:1.000000; title:Copenhagen; score:1.000000
	FN => AFP:[30,33]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
	FP => Libyans:[1816,1823]; score:1.000000; title:Demographics_of_Libya; score:1.000000
	FP => Camp Zeist:[114,124]; score:1.000000; title:Pan_Am_Flight_103_bombing_trial; score:1.000000
	FP => Camp Zeist:[2,12]; score:1.000000; title:Pan_Am_Flight_103_bombing_trial; score:1.000000
	FP => Ronald Sutherland:[1638,1655]; score:1.000000; title:Lord_Ronald_Gower; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:4.0; fnCount:11.0
[20001115_AFP_ARB.0030.eng]
***************** Gold Standard: ***********************
	FN => Nitsarim:[1026,1034]; score:1.000000; title:Netzarim (settlement); score:1.000000
	FN => Gaza:[2,6]; score:1.000000; title:Gaza; score:1.000000
	FN => Egypt:[490,495]; score:1.000000; title:Egypt; score:1.000000
	FN => AFP:[14,17]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
	FP => Gaza Strip:[175,185]; score:1.000000; title:Fatah–Hamas_conflict; score:1.000000
	FP => Kosovim:[754,761]; score:1.000000; title:Kosovo_Polje; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:2.0; fnCount:4.0
[NYT20001101.2212.0429]
***************** Gold Standard: ***********************
	FN => Washington:[2682,2692]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => Warner:[2045,2051]; score:1.000000; title:Warner Communications; score:1.000000
	FN => Merrill Lynch:[2465,2478]; score:1.000000; title:Merrill Lynch; score:1.000000
	FN => Time Warner:[508,519]; score:1.000000; title:Time Warner; score:1.000000
	FN => State Street Research:[862,883]; score:1.000000; title:State Street Corporation; score:1.000000
	FN => Boston:[887,893]; score:1.000000; title:Boston; score:1.000000
	FN => Roger McNamee:[2128,2141]; score:1.000000; title:Roger McNamee; score:1.000000
	FN => Time:[2036,2040]; score:1.000000; title:Time Inc.; score:1.000000
	FN => Comcast:[3974,3981]; score:1.000000; title:Comcast; score:1.000000
	FN => Disney:[1883,1889]; score:1.000000; title:The Walt Disney Company; score:1.000000
 => Sanford C. Bernstein:[1592,1612]; score:1.000000; title:Sanford Bernstein; score:1.000000
	FN => Janus Capital:[2748,2761]; score:1.000000; title:Janus Capital Group; score:1.000000
	FN => Capital Cities/ABC:[1921,1939]; score:1.000000; title:Capital Cities Communications; score:1.000000
	FN => NBC:[2665,2668]; score:1.000000; title:NBC; score:1.000000

************************ System Result: ***************************
	FP => Time Warner:[2976,2987]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => America Online:[3919,3933]; score:1.000000; title:ABS-CBN_News_and_Current_Affairs; score:1.000000
	FP => Time Warner:[1953,1964]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => John Schreiber:[2698,2712]; score:1.000000; title:John_Schreiber; score:1.000000
	FP => America Online:[3154,3168]; score:1.000000; title:ABS-CBN_News_and_Current_Affairs; score:1.000000
	FP => Reif:[2592,2596]; score:1.000000; title:Heinrich_Reif-Gintl; score:0.333333
	FP => America Online:[154,168]; score:1.000000; title:ABS-CBN_News_and_Current_Affairs; score:1.000000
	FP => Time Warner:[1870,1881]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => Time Warner:[526,537]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
 => Sanford C. Bernstein:[1592,1612]; score:1.000000; title:Sanford_Bernstein; score:1.000000
	FP => Stephen Case:[597,609]; score:1.000000; title:Stephen_Glass_(reporter); score:1.000000
	FP => Capital Cities/ABC:[1921,1939]; score:1.000000; title:American_Broadcasting_Company; score:0.248120
	FP => Time Warner:[328,339]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => Time Warner:[4101,4112]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => Haverty:[931,938]; score:1.000000; title:Joe_Haverty; score:1.000000
	FP => Time Warner:[3200,3211]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => Time Warner:[630,641]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => Haverty:[1388,1395]; score:1.000000; title:Joe_Haverty; score:1.000000
	FP => Time Warner:[183,194]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => Janus Capital:[2748,2761]; score:1.000000; title:Janus; score:1.000000
	FP => Time Warner:[508,519]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => Time Warner:[956,967]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => America Online:[570,584]; score:1.000000; title:ABS-CBN_News_and_Current_Affairs; score:1.000000
	FP => Time Warner:[1203,1214]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => Time Warner:[3371,3382]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
	FP => ALEX BERENSON:[16,29]; score:1.000000; title:Alex_Berenson; score:1.000000
	FP => Gerald Levin:[655,667]; score:1.000000; title:Gerald_M._Levin; score:1.000000
	FP => Time Warner:[2795,2806]; score:1.000000; title:Time_Warner_Cable_Stadium; score:1.000000
P/R/F:0.035714287/0.071428575/0.04761905; tpCount:1.0; fpCount:27.0; fnCount:13.0
[20001015_AFP_ARB.0229.eng]
***************** Gold Standard: ***********************
	FN => Riyadh:[164,170]; score:1.000000; title:Riyadh; score:1.000000
	FN => Baghdad:[123,130]; score:1.000000; title:Baghdad; score:1.000000
	FN => Riyadh International Airport:[370,398]; score:1.000000; title:King Khalid International Airport; score:1.000000
	FN => London:[2,8]; score:1.000000; title:London; score:1.000000
	FN => AFP:[16,19]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
	FP => Frenchman:[654,663]; score:1.000000; title:Michel_Houellebecq; score:1.000000
	FP => Swede:[682,687]; score:1.000000; title:Swede_Hanson_(wrestler); score:0.684932
	FP => Spaniard:[665,673]; score:1.000000; title:Spanish_Lady; score:0.130435
	FP => Saudis:[572,578]; score:1.000000; title:Ottoman–Saudi_War; score:1.000000
	FP => Jordanian:[446,455]; score:1.000000; title:Jordanian; score:1.000000
	FP => Yemenis:[597,604]; score:1.000000; title:Hydrogen; score:1.000000
	FP => Pakistanis:[583,593]; score:1.000000; title:Shia_Islam_in_Pakistan; score:1.000000
	FP => Omani:[707,712]; score:1.000000; title:Omani_Arabic; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:8.0; fnCount:5.0
[PRI20001031.2000.1824]
***************** Gold Standard: ***********************
	FN => Taiwan:[97,103]; score:1.000000; title:Taiwan; score:1.000000
	FN => BBC News:[6,14]; score:1.000000; title:BBC News; score:1.000000
	FN => London:[18,24]; score:1.000000; title:London; score:1.000000
	FN => Los Angeles:[107,118]; score:1.000000; title:Los Angeles; score:1.000000

************************ System Result: ***************************
P/R/F:1.0/0.0/0.0; tpCount:0.0; fpCount:0.0; fnCount:4.0
[20001115_AFP_ARB.0184.eng]
***************** Gold Standard: ***********************
	FN => Jerusalem:[2,11]; score:1.000000; title:Jerusalem; score:1.000000
	FN => West Bank:[1607,1616]; score:1.000000; title:West Bank; score:1.000000
	FN => AFP:[19,22]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
	FP => Shir:[1023,1027]; score:1.000000; title:Milk; score:0.095238
	FP => Gaza Strip:[1296,1306]; score:1.000000; title:Fatah–Hamas_conflict; score:1.000000
	FP => Fatah:[1584,1589]; score:1.000000; title:Fatah_al-Intifada; score:1.000000
	FP => Fatah:[1446,1451]; score:1.000000; title:Fatah_al-Intifada; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:4.0; fnCount:3.0
[NYT20001106.1705.0187]
***************** Gold Standard: ***********************
	FN => D.C.:[3951,3955]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => White House:[1175,1186]; score:1.000000; title:White House; score:1.000000
	FN => Arkansas:[881,889]; score:1.000000; title:Arkansas; score:1.000000
	FN => Tenn.:[330,335]; score:1.000000; title:Tennessee; score:1.000000
	FN => Green Bay:[3041,3050]; score:1.000000; title:Green Bay, Wisconsin; score:1.000000
	FN => Michigan:[2365,2373]; score:1.000000; title:Michigan; score:1.000000
	FN => Pennsylvania:[2378,2390]; score:1.000000; title:Pennsylvania; score:1.000000
	FN => Wisconsin:[2196,2205]; score:1.000000; title:Wisconsin; score:1.000000
	FN => CHATTANOOGA:[317,328]; score:1.000000; title:Chattanooga, Tennessee; score:1.000000
	FN => Washington:[544,554]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => Iowa:[2210,2214]; score:1.000000; title:Iowa; score:1.000000

************************ System Result: ***************************
	FP => Al Gore:[940,947]; score:1.000000; title:High_Performance_Computing_and_Communication_Act_of_1991; score:1.000000
	FP => Chattanooga:[3510,3521]; score:1.000000; title:Chattanooga_Central_High_School; score:1.000000
	FP => NYT:[118,121]; score:1.000000; title:Bagram_Air_Base; score:1.000000
	FP => CHATTANOOGA:[317,328]; score:1.000000; title:Chattanooga_Central_High_School; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:4.0; fnCount:11.0
[NYT20001109.1946.0315]
***************** Gold Standard: ***********************
	FN => Gainesville:[4314,4325]; score:1.000000; title:Gainesville, Florida; score:1.000000
	FN => University of Florida:[4289,4310]; score:1.000000; title:University of Florida; score:1.000000
	FN => Oregon:[2068,2074]; score:1.000000; title:Oregon; score:1.000000
	FN => WASHINGTON:[88,98]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => Ralph Nader:[101,112]; score:1.000000; title:Ralph Nader; score:1.000000
	FN => America:[469,476]; score:1.000000; title:United States; score:1.000000
 => Green Party:[3514,3525]; score:1.000000; title:Green Party of Florida; score:1.000000
	FN => Florida:[1390,1397]; score:1.000000; title:Florida; score:1.000000
	FN => Sierra Club:[4003,4014]; score:1.000000; title:Sierra Club; score:1.000000
	FN => Portland:[2286,2294]; score:1.000000; title:Portland; score:1.000000
	FN => White House:[1081,1092]; score:1.000000; title:White House; score:1.000000

************************ System Result: ***************************
	FP => Al Gore:[1378,1385]; score:1.000000; title:High_Performance_Computing_and_Communication_Act_of_1991; score:1.000000
	FP => John Ruth:[1636,1645]; score:1.000000; title:Second_Class_Male/Time_To_Go; score:1.000000
	FP => Sierra Club:[4003,4014]; score:1.000000; title:Elizabeth_May; score:1.000000
 => Florida Green Party:[3506,3525]; score:1.000000; title:Green_Party_of_Florida; score:1.000000
	FP => Dorothy Byrne:[3463,3476]; score:1.000000; title:Dorothy_Byrne_(mezzo-soprano); score:1.000000
P/R/F:0.2/0.09090909/0.125; tpCount:1.0; fpCount:4.0; fnCount:10.0
[NYT20001123.1511.0062]
***************** Gold Standard: ***********************
	FN => MSN network:[3113,3124]; score:1.000000; title:MSN; score:1.000000
	FN => Fidelity Investments:[932,952]; score:1.000000; title:Fidelity Investments; score:1.000000
	FN => Reader's Digest magazine:[2692,2716]; score:1.000000; title:Reader's Digest; score:1.000000
	FN => Helen Hunt:[2143,2153]; score:1.000000; title:Helen Hunt; score:1.000000
	FN => Reader's Digest Association:[2519,2546]; score:1.000000; title:Reader's Digest Association; score:1.000000
 => Empire Blue Cross Blue Shield:[3075,3104]; score:1.000000; title:Blue Cross Blue Shield Association; score:1.000000
	FN => Sprint Communications Co:[3698,3722]; score:1.000000; title:Sprint Nextel; score:1.000000
	FN => ABC:[285,288]; score:1.000000; title:American Broadcasting Company; score:1.000000
	FN => Times Square:[2404,2416]; score:1.000000; title:Times Square; score:1.000000
	FN => Volvo:[3293,3298]; score:1.000000; title:Volvo; score:1.000000
	FN => In Style Entertaining 2000 magazine:[1729,1764]; score:1.000000; title:InStyle; score:1.000000
	FN => Fox Sports:[766,776]; score:1.000000; title:Fox Sports (USA); score:1.000000
	FN => Jack Nicholson:[2127,2141]; score:1.000000; title:Jack Nicholson; score:1.000000
 => Greg Kinnear:[2155,2167]; score:1.000000; title:Greg Kinnear; score:1.000000
	FN => Roundabout Theater Company:[2346,2372]; score:1.000000; title:Roundabout Theatre Company; score:1.000000
 => Campbell Soup Co:[2214,2230]; score:1.000000; title:Campbell Soup Company; score:1.000000
	FN => PepsiCo:[1985,1992]; score:1.000000; title:Pepsico; score:1.000000
	FN => CBS:[4238,4241]; score:1.000000; title:CBS; score:1.000000
	FN => Sun Microsystems:[790,806]; score:1.000000; title:Sun Microsystems; score:1.000000
	FN => Brooklyn:[4633,4641]; score:1.000000; title:Brooklyn; score:1.000000
	FN => Land Rover:[3278,3288]; score:1.000000; title:Land Rover; score:1.000000
	FN => Microsoft:[3128,3137]; score:1.000000; title:Microsoft; score:1.000000
	FN => Ocean Spray Cranberries:[1435,1458]; score:1.000000; title:Ocean Spray (cooperative); score:1.000000
	FN => Houston Grand Opera:[4040,4059]; score:1.000000; title:Houston Grand Opera; score:1.000000
	FN => Levi:[2793,2797]; score:1.000000; title:Levi Strauss & Co.; score:1.000000
	FN => James L. Brooks:[2172,2187]; score:1.000000; title:James L. Brooks; score:1.000000
	FN => John Corbett:[3879,3891]; score:1.000000; title:John Corbett (actor); score:1.000000

************************ System Result: ***************************
	FP => STUART ELLIOTT:[26,40]; score:1.000000; title:Stuart_Elliott_(footballer_born_1978); score:1.000000
	FP => Fox Sports:[766,776]; score:1.000000; title:Fox_College_Sports; score:1.000000
	FP => Buick:[881,886]; score:1.000000; title:Barjack; score:1.000000
	FP => Avaya Communication:[3632,3651]; score:1.000000; title:Avaya_Communication_Manager; score:1.000000
 => Campbell Soup Co.:[2214,2231]; score:1.000000; title:Campbell_Soup_Company; score:1.000000
	FP => American Airlines:[2421,2438]; score:1.000000; title:Boeing_747; score:1.000000
	FP => Survivor II:[4271,4282]; score:1.000000; title:Survivor's_Law_II; score:1.000000
	FP => Sun Microsystems:[790,806]; score:1.000000; title:KLM_Open; score:1.000000
	FP => Aidan Shaw:[3917,3927]; score:1.000000; title:Sex_and_the_City_characters; score:0.666667
	FP => Cream of Mushroom:[2247,2264]; score:1.000000; title:List_of_soups; score:0.280000
	FP => Drew Carey Show:[367,382]; score:1.000000; title:List_of_The_Drew_Carey_Show_episodes; score:1.000000
	FP => Super Bowl XXXV:[4308,4323]; score:1.000000; title:Super_Bowl_XXXV; score:1.000000
	FP => James L. Brooks:[2172,2187]; score:1.000000; title:Room_222; score:1.000000
	FP => Spin City:[391,400]; score:1.000000; title:Spin_City; score:1.000000
 => Empire Blue Cross Blue Shield:[3075,3104]; score:1.000000; title:Blue_Cross_and_Blue_Shield_Association; score:1.000000
	FP => MSN:[3113,3116]; score:1.000000; title:Windows_Live_Messenger; score:0.483425
	FP => Citibank:[1049,1057]; score:1.000000; title:399_Park_Avenue; score:0.571429
	FP => Chad World:[527,537]; score:1.000000; title:Chad_Collyer; score:1.000000
	FP => Lucent Technologies:[3595,3614]; score:1.000000; title:Carly_Fiorina; score:1.000000
	FP => Houston Grand Opera:[4040,4059]; score:1.000000; title:Porgy_and_Bess; score:1.000000
	FP => Tropicana:[1963,1972]; score:1.000000; title:Tropicana_Resort_&_Casino; score:1.000000
 => Greg Kinnear:[2155,2167]; score:1.000000; title:Greg_Kinnear; score:1.000000
	FP => New York:[1222,1230]; score:1.000000; title:New_York_Post; score:1.000000
	FP => Arthur Godfrey:[3487,3501]; score:1.000000; title:Godfrey_Brown; score:1.000000
P/R/F:0.125/0.11111111/0.11764707; tpCount:3.0; fpCount:21.0; fnCount:24.0
[VOA20001129.2000.0364]
***************** Gold Standard: ***********************
	FN => legislature:[2981,2992]; score:1.000000; title:Florida Legislature; score:1.000000
	FN => Johns Hopkins University:[412,436]; score:1.000000; title:Johns Hopkins University; score:1.000000
	FN => Gore:[838,842]; score:1.000000; title:Al Gore; score:1.000000
	FN => Lawrence Tribe:[770,784]; score:1.000000; title:Laurence Tribe; score:1.000000
	FN => Supreme Court:[171,184]; score:1.000000; title:Supreme Court of the United States; score:1.000000
	FN => Joe O'Grossman:[345,359]; score:1.000000; title:Joel Grossman; score:1.000000
	FN => Baltimore:[400,409]; score:1.000000; title:Baltimore; score:1.000000
	FN => Washington:[59,69]; score:1.000000; title:Washington, D.C.; score:1.000000
