[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => ISM:[1667,3]; score:1.000000
 => Rockwell:[3162,8]; score:0.374006
 => President Bush:[2720,14]; score:0.351051
	FP => director:[1114,8]; score:0.228259
 => Ford:[4313,4]; score:0.051385
	FP => town:[3812,4]; score:0.937060
	FP => River north:[781,11]; score:0.974158
 => Ford:[1000,4]; score:0.675146
	FP => quietly:[142,7]; score:1.000000
	FP => Michigan National Guard:[2209,23]; score:1.028691
	FP => 1976:[1008,4]; score:0.753568
 => President Jimmy Carter:[963,22]; score:1.096284
 => Ford:[3314,4]; score:0.054560
	FP => eulogy:[948,6]; score:0.466069
 => Gerald R. Ford Presidential Library and Museum:[1764,46]; score:1.049691
	FP => Grand Rapids:[2051,12]; score:1.422203
	FP => bridge:[1729,6]; score:0.124151
	FP => close friend:[1032,12]; score:1.000000
	FP => golf:[3328,4]; score:1.004336
	FP => cathedral:[3429,9]; score:0.521088
 => Grand Rapids airport:[4121,20]; score:1.000000
 => Kissinger:[3440,9]; score:0.994648
	FP => hearse:[4302,6]; score:1.001942
 => Grand Rapids airport:[1312,20]; score:1.000000
	FP => final salute:[1817,12]; score:1.000000
 => Ford:[3861,4]; score:0.178451
 => Rancho Mirage:[4355,13]; score:1.175515
	FP => golfer:[3298,6]; score:0.176163
 => Richard Norton Smith:[1073,20]; score:1.211967
	FP => state:[2819,5]; score:0.056692
	FP => defense secretary:[912,17]; score:1.117786
 => Soviets:[3527,7]; score:0.895313
 => Ford:[37,4]; score:0.488997
	FP => solemnity:[3210,9]; score:0.949163
	FP => casket:[232,6]; score:0.388800
 => Gerald R. Ford:[242,14]; score:1.071220
 => President Bush:[3061,14]; score:0.230906
 => Egypt:[3597,5]; score:1.152535
 => Ford.:[1551,5]; score:0.130222
 => Calif:[4370,5]; score:0.647126
	FP => Brokaw:[3830,6]; score:0.931957
 => Washington:[2683,10]; score:0.000000
 => Ford:[2874,4]; score:1.084566
	FP => casket:[2304,6]; score:0.240978
	FP => majority rule:[3624,13]; score:0.629092
 => Israel:[3586,6]; score:1.235055
	FP => Ford museum:[1130,11]; score:1.017429
	FP => intellect:[1450,9]; score:0.397699
	FP => eulogy:[3849,6]; score:0.212435
 => Kissinger:[3758,9]; score:1.019445
	FP => moonlight:[175,9]; score:0.942504
	FP => subterfuge:[3984,10]; score:1.000000
 => President Ford:[2069,14]; score:1.080700
	FP => Ford:[3147,4]; score:0.392091
	FP => church:[2576,6]; score:0.056795
	FP => eulogy:[3088,6]; score:0.674854
	FP => repose:[2325,6]; score:1.000000
 => America':[2528,8]; score:0.845612
	FP => museum:[800,6]; score:0.734400
 => Henry Kissinger:[2826,15]; score:1.260168
	FP => Taber:[2112,5]; score:0.332470
 => Michigan:[1511,8]; score:1.036277
 => Washington National Cathedral:[1373,29]; score:1.129389
	FP => GRAND RAPIDS:[113,12]; score:0.748381
 => President Bush:[3124,14]; score:0.101098
	FP => presidential library:[1146,20]; score:1.173202
	FP => museum:[814,6]; score:0.739059
	FP => Grand Rapids:[2171,12]; score:1.176083
 => University of Michigan:[4170,22]; score:0.781851
	FP => sweat:[1882,5]; score:0.442257
 => Michigan:[4104,8]; score:1.139996
 => Michigan:[12,8]; score:0.922290
 => Jennifer Granholm:[1525,17]; score:1.298716
 => Ford:[1930,4]; score:0.167044
 => Donald Rumsfeld:[833,15]; score:1.250065
 => University of Michigan:[1900,22]; score:0.815724
 => Tom Brokaw:[2784,10]; score:1.247710
 => Mich.:[127,5]; score:0.844897
	FP => nuclear arms:[3497,12]; score:0.962972
 => DeVos Place convention center:[1690,29]; score:1.000000
	FP => plain brown wrapper:[1489,19]; score:1.000000
P/R/F:0.5/0.6184211/0.5529412; tpCount:47.0; fpCount:47.0; fnCount:29.0
[TvN16442287.txt]
***************** Gold Standard: ***********************
	FN => Joy Bauer:[203,9]; score:1.000000
	FN => New Year's resolution:[120,21]; score:1.000000
	FN => Annual Scientific Meeting:[2461,25]; score:1.000000
	FN => Joy's Healthy Resolutions:[320,25]; score:1.000000
	FN => Joy Bauer:[55,9]; score:1.000000
	FN => New Year:[505,8]; score:1.000000
	FN => Whole Grain:[2270,11]; score:1.000000
	FN => NAASO:[2489,5]; score:1.000000
 => LDL-Cholesterol:[835,15]; score:1.000000
 => HDL-Cholesterol:[868,15]; score:1.000000
	FN => American Journal of Clinical Nutrition:[1276,38]; score:1.000000
	FN => Joy Bauer:[3297,9]; score:1.000000
	FN => Sara Lee Food & Beverage:[1938,24]; score:1.000000
	FN => Whole Wheat:[2250,11]; score:1.000000

************************ System Result: ***************************
	FP => Blackberries:[1453,12]; score:1.050267
	FP => Annual Scientific Meeting:[2461,25]; score:0.944463
	FP => millet:[1771,6]; score:1.077517
	FP => Learn:[1803,5]; score:1.000000
	FP => heart disease:[1173,13]; score:0.518588
	FP => experiment:[2419,10]; score:1.077302
	FP => calories:[2995,8]; score:0.393445
	FP => cholesterol:[599,11]; score:1.091563
	FP => whole grains:[1597,12]; score:1.125499
	FP => Nutritionist:[190,12]; score:0.965115
	FP => calories:[3131,8]; score:0.696117
	FP => starch:[1658,6]; score:1.195844
 => HDL-Cholesterol:[868,15]; score:1.000000
	FP => Antioxidants:[1094,12]; score:1.168522
	FP => July 2006:[1316,9]; score:0.491618
	FP => Strawberries:[1482,12]; score:0.560569
	FP => pounds:[3204,6]; score:0.539213
	FP => Cranberries:[1516,11]; score:1.355210
	FP => bread:[1830,5]; score:0.760491
	FP => spoon:[2600,5]; score:1.136804
	FP => cancer:[1162,6]; score:1.272741
	FP => whole grain:[2160,11]; score:1.140988
	FP => pasta:[1707,5]; score:1.266270
	FP => bread:[2219,5]; score:0.968904
	FP => 2007:[1611,4]; score:0.757735
	FP => brown rice:[1683,10]; score:1.203426
	FP => blood sugar:[629,11]; score:1.019925
	FP => aisle:[2225,5]; score:0.494685
	FP => plant:[1075,5]; score:0.910874
	FP => Joy Bauer:[55,9]; score:1.000000
	FP => antioxidants:[1372,12]; score:0.537698
	FP => Raspberries:[1532,11]; score:0.753268
	FP => calories:[3162,8]; score:0.691774
	FP => Know:[474,4]; score:1.000000
	FP => Cloves:[1564,6]; score:0.986963
	FP => doctor:[542,6]; score:0.513931
	FP => bread:[1726,5]; score:0.813466
	FP => free radicals:[1223,13]; score:0.477347
	FP => spoon:[2757,5]; score:1.091717
	FP => Blueberries:[1548,11]; score:1.078996
	FP => Joy Bauer:[203,9]; score:1.000000
	FP => blood pressure:[564,14]; score:0.911425
	FP => nutrition:[3279,9]; score:1.371068
	FP => the New Year:[501,12]; score:1.000000
	FP => healthy eating:[3257,14]; score:1.003237
	FP => Food & Beverage:[1947,15]; score:1.000000
	FP => ante:[1011,4]; score:0.937906
	FP => Antioxidants:[1019,12]; score:1.105910
	FP => faro:[1779,4]; score:0.803453
	FP => New Year:[120,8]; score:0.067446
	FP => spoon:[2645,5]; score:0.926070
	FP => grain:[1750,5]; score:0.999772
	FP => calories:[2937,8]; score:0.619160
	FP => whole wheat:[1695,11]; score:1.186855
	FP => pasta:[2524,5]; score:1.212929
	FP => bread:[2016,5]; score:1.090230
	FP => bread:[1893,5]; score:1.104096
	FP => whole grain:[1714,11]; score:1.256695
	FP => calories:[3092,8]; score:0.559627
	FP => Artichokes:[1499,10]; score:0.881392
	FP => mmHg:[791,4]; score:1.174794
	FP => 2006:[2456,4]; score:0.615960
 => LDL-Cholesterol:[835,15]; score:1.000000
	FP => American Journal of Clinical Nutrition:[1276,38]; score:1.000000
	FP => Walnuts:[1470,7]; score:1.402941
	FP => 2007:[29,4]; score:0.664154
	FP => comfortably:[2884,11]; score:1.000000
	FP => diet:[1441,4]; score:0.636483
	FP => nutritionist:[42,12]; score:0.183144
P/R/F:0.028985508/0.14285715/0.04819277; tpCount:2.0; fpCount:67.0; fnCount:12.0
[USN16443053.txt]
***************** Gold Standard: ***********************
	FN => The Associated Press:[372,20]; score:1.000000
 => New York:[2410,8]; score:1.000000
 => New York:[2603,8]; score:1.000000
	FN => D.C.:[492,4]; score:1.000000
	FN => Minneapolis-St. Paul:[509,20]; score:1.000000
	FN => La.:[653,3]; score:1.000000
 => San Francisco:[3736,13]; score:1.000000
	FN => S.D.:[560,4]; score:1.000000
 => Laramie County:[570,14]; score:1.000000
 => Michael Chertoff:[1981,16]; score:1.000000
	FN => Tammy Lapp:[4983,10]; score:1.000000
 => U.S. territories:[765,16]; score:1.000000
 => Homeland Security Department:[4299,28]; score:1.000000
 => Homeland Security:[1953,17]; score:1.000000
	FN => American Samoa:[4798,14]; score:1.000000
 => New York:[2106,8]; score:1.000000
 => Congress:[1275,8]; score:1.000000
 => WASHINGTON:[126,10]; score:1.000000
 => Congress:[4092,8]; score:1.000000
 => Chicago:[4637,7]; score:1.000000
	FN => N.D.:[5051,4]; score:1.000000
 => Homeland Security:[1833,17]; score:1.000000
 => Sioux Falls:[547,11]; score:1.000000
 => Cleveland:[4646,9]; score:1.000000
 => Morton County:[5036,13]; score:1.000000
 => Chicago:[620,7]; score:1.000000
	FN => Wyo.:[586,4]; score:1.000000
 => Charles Schumer:[1720,15]; score:1.000000
 => U.S.:[13,4]; score:1.000000
 => San Diego:[498,9]; score:1.000000
 => Baton Rouge:[4660,11]; score:1.000000
 => Columbus:[531,8]; score:1.000000
 => Cleveland:[629,9]; score:1.000000
 => Mandan:[658,6]; score:1.000000
 => Homeland Security Department:[1193,28]; score:1.000000
 => Mandan:[4763,6]; score:1.000000
 => Baton Rouge:[640,11]; score:1.000000
 => Washington:[480,10]; score:1.000000
	FN => Los Angeles:[3585,11]; score:1.000000
	FN => U.S.:[154,4]; score:1.000000
	FN => American Samoa:[676,14]; score:1.000000
	FN => N.D.:[666,4]; score:1.000000
	FN => Ohio:[541,4]; score:1.000000
	FN => Russ Knocke:[1861,11]; score:1.000000
 => Mandan:[5025,6]; score:1.000000
	FN => World Trade Center:[2287,18]; score:1.000000
 => Hurricane Katrina:[2638,17]; score:1.000000
	FN => N.D.:[4771,4]; score:1.000000

************************ System Result: ***************************
 => New York:[2603,8]; score:0.401074
	FP => radio:[2696,5]; score:1.364952
	FP => Democrats:[1295,9]; score:0.860741
	FP => draft:[399,5]; score:0.114221
 => San Francisco:[3736,13]; score:0.709834
 => Homeland Security Department:[4299,28]; score:1.060788
	FP => emergency workers:[1056,17]; score:1.003893
 => New York:[2106,8]; score:0.384845
	FP => N.D.:[5051,4]; score:0.000000
 => Homeland Security:[1833,17]; score:0.040381
	FP => lagged:[1153,6]; score:1.000000
 => Cleveland:[4646,9]; score:0.784747
 => Morton County:[5036,13]; score:1.148247
 => Chicago:[620,7]; score:1.189441
	FP => firefighters:[2261,12]; score:0.579566
	FP => emergency communications:[98,24]; score:0.892606
	FP => Sept. 11 terrorist attacks:[294,26]; score:1.074550
 => Mandan:[658,6]; score:0.350428
 => Baton Rouge, La:[640,15]; score:1.000000
	FP => television:[4127,10]; score:1.512925
 => Mandan:[4763,6]; score:0.237199
	FP => Los Angeles:[3585,11]; score:0.724138
	FP => American Samoa:[676,14]; score:1.106586
 => Mandan:[5025,6]; score:0.630930
 => Hurricane Katrina:[2638,17]; score:1.253076
 => New York:[2410,8]; score:0.444743
	FP => U.S. metropolitan areas:[154,23]; score:1.000000
	FP => American Samoa:[4798,14]; score:1.153426
 => Sioux Falls:[547,11]; score:0.218011
	FP => first responders:[2441,16]; score:0.577669
	FP => first responders:[3978,16]; score:0.314711
	FP => reached:[4518,7]; score:1.000000
	FP => emergency workers:[881,17]; score:1.003838
	FP => U.S.:[2572,4]; score:0.992702
 => U.S.:[13,4]; score:0.562344
 => Baton Rouge:[4660,11]; score:0.578349
 => Cleveland:[629,9]; score:1.166250
	FP => interoperable:[2042,13]; score:1.023728
	FP => governance:[4953,10]; score:0.736389
	FP => 9/11:[1560,4]; score:1.417085
	FP => emergency agencies:[1384,18]; score:0.982621
	FP => ear:[1593,3]; score:0.813315
	FP => emergency communications systems:[4024,32]; score:1.000000
	FP => police radio:[2348,12]; score:0.000000
	FP => interoperable:[4888,13]; score:0.757166
 => Michael Chertoff:[1981,16]; score:1.279941
	FP => public safety:[27,13]; score:1.081296
	FP => deaf:[1588,4]; score:1.020901
	FP => Lawmakers:[4251,9]; score:1.000000
 => WASHINGTON:[126,10]; score:0.317915
	FP => emergency agencies:[2183,18]; score:0.998642
	FP => governance:[3721,10]; score:0.342249
 => Columbus, Ohio:[531,14]; score:1.283426
 => Washington, D.C.:[480,16]; score:1.160322
	FP => interoperable:[1608,13]; score:0.993981
	FP => The Associated Press:[372,20]; score:1.112466
	FP => federal grant:[3918,13]; score:0.951224
 => Homeland Security Secretary:[1953,27]; score:0.885133
 => Laramie County:[570,14]; score:0.936516
 => U.S. territories:[765,16]; score:0.453700
 => Congress:[1275,8]; score:0.390906
 => Congress:[4092,8]; score:0.360979
 => Chicago:[4637,7]; score:1.247935
	FP => World Trade Center towers:[2287,25]; score:1.110564
	FP => Thirteen:[2563,8]; score:0.029391
	FP => Knocke:[1866,6]; score:1.000000
	FP => —:[2534,1]; score:1.000000
	FP => radio spectrum:[4181,14]; score:0.418067
 => San Diego:[498,9]; score:0.773047
	FP => governance:[3798,10]; score:0.345979
 => Homeland Security Department:[1193,28]; score:1.051486
	FP => emergency communications:[4902,24]; score:0.841455
	FP => public safety:[4221,13]; score:0.882922
	FP => Tammy:[4983,5]; score:0.000000
	FP => state:[3962,5]; score:0.000000
	FP => communication problems:[2668,22]; score:1.000000
	FP => emergency communications systems:[3642,32]; score:1.000000
	FP => Sept. 11 attacks:[3884,16]; score:1.031245
 => Sen. Charles Schumer:[1715,20]; score:1.000000
	FP => N.D.:[4771,4]; score:0.000000
P/R/F:0.3875/0.6458333/0.484375; tpCount:31.0; fpCount:49.0; fnCount:17.0
[Hea16384904.txt]
***************** Gold Standard: ***********************
 => Sweden:[2071,6]; score:1.000000
 => London:[2424,6]; score:1.000000
	FN => Hodgkinâ€™s lymphoma:[2516,18]; score:1.000000
 => New York:[1564,8]; score:1.000000
 => Ohio State University:[2619,21]; score:1.000000
 => Mayo Clinic:[818,11]; score:1.000000
	FN => University of Missouri:[2783,22]; score:1.000000
	FN => Santa Baby:[453,10]; score:1.000000
 => Stony Brook University:[1538,22]; score:1.000000
 => Mayo Clinic:[1208,11]; score:1.000000
 => Goteborg University:[2048,19]; score:1.000000

************************ System Result: ***************************
	FP => glasses:[1612,7]; score:0.153952
	FP => writer:[110,6]; score:0.508438
	FP => wine:[687,4]; score:1.373211
	FP => alcohol:[2131,7]; score:0.600210
	FP => bay:[2001,3]; score:0.191548
 => London:[2424,6]; score:0.982113
	FP => mice:[2230,4]; score:0.255866
	FP => alcohol:[1114,7]; score:0.191812
	FP => heart disease:[2976,13]; score:0.451398
	FP => breast:[3193,6]; score:0.168565
	FP => —:[1054,1]; score:1.000000
	FP => glass:[678,5]; score:0.317176
	FP => —:[36,1]; score:1.000000
	FP => alcohol:[619,7]; score:0.172441
 => Goteborg University:[2048,19]; score:1.000000
	FP => heart disease:[957,13]; score:0.879562
	FP => alcohol:[888,7]; score:0.196485
	FP => alcohol:[2936,7]; score:0.084425
	FP => lymphoma:[3162,8]; score:1.244773
	FP => microphone:[545,10]; score:0.699588
	FP => side effect:[1035,11]; score:0.436397
	FP => blackmail:[1867,9]; score:0.584385
	FP => water:[2251,5]; score:0.207502
	FP => microphone:[3380,10]; score:0.845610
	FP => fend:[1778,4]; score:1.000000
	FP => weight gain:[1829,11]; score:0.168159
	FP => alcohol:[3489,7]; score:0.159010
	FP => brain damage:[3082,12]; score:0.996196
	FP => liver:[997,5]; score:0.584401
	FP => alcohol:[2472,7]; score:0.000000
 => The Mayo Clinic:[1204,15]; score:0.921550
	FP => cancer:[972,6]; score:1.088856
	FP => laboratory rats:[2742,15]; score:1.000000
 => Mayo Clinic:[818,11]; score:1.099390
	FP => University of Missouri:[2783,22]; score:1.156260
	FP => colorectal cancer:[1659,17]; score:1.097318
	FP => karaoke:[433,7]; score:1.012463
	FP => heart disease:[1787,13]; score:0.626573
	FP => online health:[2315,13]; score:1.000000
	FP => karaoke:[3526,7]; score:1.020812
	FP => skinny jeans:[1068,12]; score:1.107734
	FP => liver:[1802,5]; score:0.835635
	FP => mice:[2094,4]; score:0.241721
 => Stony Brook University:[1538,22]; score:1.019280
	FP => alcohol:[1749,7]; score:0.115385
	FP => alcohol:[3287,7]; score:0.000000
	FP => —:[403,1]; score:1.000000
	FP => cancer:[2552,6]; score:0.948658
	FP => —:[661,1]; score:1.000000
	FP => lower risk:[2179,10]; score:1.000000
	FP => quality time:[331,12]; score:1.055432
 => Ohio State University:[2619,21]; score:0.799782
	FP => bar:[2413,3]; score:0.099774
	FP => colorectal cancer:[1980,17]; score:1.032902
 => Sweden:[2071,6]; score:0.959938
	FP => stack:[2364,5]; score:0.038227
	FP => gift cards:[164,10]; score:0.286452
	FP => alcohol:[2820,7]; score:0.007281
	FP => dementia:[3045,8]; score:1.041139
	FP => medical journals:[2294,16]; score:0.954905
	FP => —:[713,1]; score:1.000000
	FP => Myriad:[47,6]; score:0.044890
	FP => cirrhosis:[980,9]; score:1.079530
	FP => lower risk:[2487,10]; score:1.000000
	FP => —:[3534,1]; score:1.000000
	FP => just one:[3576,8]; score:1.000000
	FP => need to:[281,7]; score:1.000000
	FP => liver cancer:[3204,12]; score:0.889995
